region	bytes_sent
US/California	6310921400282
AWS/us-east-1	2297229266400
NL/North Holland	1983890586335
CN/Shanghai	670567068334
VPN	655079446547
HK/Hong Kong	654857664875
US/New York	317579299176
CA/British Columbia	262018170880
AWS/us-east-2	131097683726
US/Connecticut	74311530436
FR/Île-de-France	20781998301
FR/Provence-Alpes-Côte d'Azur	8849248639
US/Maryland	5736381226
US/Virginia	4409079725
US/Pennsylvania	1662067984
CA/Quebec	1317745593
US/Georgia	1281045433
GitHub	1074395749
US/Rhode Island	698925935
GB/England	162591800
DE/Bavaria	86538656
IN/Telangana	42173853
JP/Tokyo	41012952
AWS/ap-southeast-1	17785552
CH/Zurich	17055548
IN/West Bengal	16060088
HU/Budapest	13827188
