region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
SWE/W	107226764344	36	35	1
JPN/13	2139818241	9	2	1
VPN	56619950672	1102	184	75
USA	18731556057	3560	21	11
MEX/CMX	456968908	1044	106	84
USA/OK	40655725508	22	21	1
AWS/ap-southeast-1	286327080	57	57	0
CHN	41605992906	4266	0	16
AWS/us-east-1	40876097810	4910	55	20
USA/MA	95516534504	2084	52	62
USA/PA	40657449599	64	22	1
ESP/AN	2285885545	9	3	3
USA/MD	44463847569	806	85	30
AWS/us-east-2	34075107	3	3	0
BEL/VLG	10146632137	14	14	0
CHN/ZJ	5832322465	17	11	6
USA/NY	5661336124	816	34	21
DEU/BW	2419841194	722	1	24
GH-actions	36915204114	5322	236	215
USA/CA	4611317364	679	54	18
USA/VA	40521708127	12	12	0
BEL	22981509755	164	30	7
GBR/ENG	53913084	5	5	0
JPN/23	13936809354	36	3	1
USA/NH	1338123096	3348	248	194
USA/VT	176996722	445	33	7
GCP/us-west2	33666329	236	0	1
ITA	83951141	52	2	4
AUT/5	104387947	149	3	3
CHE/VD	3882224	22	2	2
USA/TN	230483123	64	1	1
USA/IL	3992900	24	2	2
FRA/IDF	33850990	151	11	7
BRA/RS	7402404	1	1	0
VNM/43	8122992	1	1	0
VEN/G	9826200	1	1	0
IDN/YO	10088232	2	2	0
LBY	3733956	1	1	0
COL/DC	8974596	1	1	0
SEN/DK	917112	1	1	0
BGD	13691172	2	2	0
ITA/25	933173578	143	5	4
SGP	3505028	11	3	3
MAR/07	13363632	1	1	0
IRQ/AR	7271388	1	1	0
LKA/1	13691172	1	1	0
VNM/HN	21552132	3	3	0
USA/RI	32978169	28	2	1
GCP/us-central1	1158804	4	1	1
FIN/18	454806658	408	16	1
GCP/us-west4	18413005	17	1	1
GCP/us-west1	18675037	17	1	1
GCP/asia-east1	18937069	17	1	1
