week_start	sub-sub-01/sub-sub-01_ses-None.nwb
2025-05-19	3840816
2025-05-26	3840816
2025-06-09	2880612
2025-07-28	39552
2025-08-04	999756
2025-08-11	19776
2025-08-18	39552
2025-08-25	39552
2025-09-01	39552
2025-09-08	19776
2025-09-15	19776
2025-09-22	59328
2025-09-29	59328
2025-10-06	3142756
2025-10-13	59328
2025-10-27	39552
2025-11-03	19776
2025-11-10	19776
2025-11-17	19776
2025-11-24	19776
2025-12-15	1920408
2026-01-05	960204
2026-01-12	6721544
2026-01-19	960204
2026-02-16	960204
2026-02-23	960204
2026-03-16	1920408
2026-03-30	960204
