date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2021-09-02	298785776	21	3	1
2021-09-05	167842080	3	3	0
2021-09-08	149392888	2	2	0
2021-09-12	149392888	2	2	0
2021-09-18	149392888	2	2	0
2021-09-19	448178664	6	6	0
2021-09-20	149392888	2	2	0
2021-09-21	149392888	2	2	0
2021-09-22	149392888	2	2	0
2021-09-25	448178664	6	6	0
2021-09-26	298785776	4	4	0
2021-09-27	597571552	8	8	0
2021-09-30	1892341880	25	25	0
2021-10-01	1195143104	16	16	0
2021-10-02	3884215088	52	52	0
2021-10-03	149392888	2	2	0
2021-10-04	448178664	6	6	0
2021-10-06	149392888	2	2	0
2021-10-09	149392888	2	2	0
2021-10-10	149392888	2	2	0
2021-10-11	149392888	2	2	0
2021-10-13	329292887	6	4	1
2021-10-15	597571552	8	8	0
2021-10-16	273182592	4	4	0
2021-10-18	299588128	5	5	0
2021-10-19	148590536	1	1	0
2021-10-22	448178664	6	6	0
2021-10-23	30865244	2	2	0
2021-10-25	5616464	7	7	0
2021-10-26	298785776	4	4	0
2021-10-27	448178664	6	6	0
2021-10-28	149392888	2	2	0
2021-10-30	149392888	2	2	0
2021-10-31	298785776	4	4	0
2021-11-01	149392888	2	2	0
2021-11-02	298785776	4	4	0
2021-11-07	298785776	4	4	0
2021-11-08	297983424	3	3	0
2021-11-09	437687681	6	6	0
2021-11-10	149392888	2	2	0
2021-11-11	597571552	8	8	0
2021-11-16	298785776	4	4	0
2021-11-17	298785776	4	4	0
2021-11-18	448178664	6	6	0
2021-11-19	149392888	2	2	0
2021-11-21	149392888	2	2	0
2021-11-22	448178664	6	6	0
2021-11-24	1045750216	14	14	0
2021-11-25	149392888	2	2	0
2021-11-26	448981016	7	7	0
2021-11-28	149392888	2	2	0
2021-11-29	448178664	6	6	0
2021-11-30	448178664	6	6	0
2021-12-01	1643321768	22	22	0
2021-12-02	298785776	4	4	0
2021-12-03	149392888	2	2	0
2021-12-04	149392888	2	2	0
2021-12-05	597571552	8	8	0
2021-12-06	149392888	2	2	0
2021-12-07	1045750216	14	14	0
2021-12-08	896357328	12	12	0
2021-12-09	746964440	10	10	0
2021-12-13	298785776	4	4	0
2021-12-14	149392888	2	2	0
2021-12-15	2240893320	30	30	0
2021-12-17	746964440	10	10	0
2021-12-18	448178664	6	6	0
2021-12-19	149392888	2	2	0
2021-12-20	298785776	4	4	0
2021-12-21	149392888	2	2	0
2021-12-22	597571552	8	8	0
2021-12-24	160680752	4	4	0
2021-12-26	298785776	4	4	0
2021-12-27	149392888	2	2	0
2021-12-28	298785776	4	4	0
2021-12-29	149392888	2	2	0
2021-12-30	448178664	6	6	0
2021-12-31	298785776	4	4	0
2022-01-01	298785776	4	4	0
2022-01-03	298785776	4	4	0
2022-01-04	746964440	10	10	0
2022-01-05	896357328	12	12	0
2022-01-06	1344535992	18	18	0
2022-01-07	448178664	6	6	0
2022-01-08	448178664	6	6	0
2022-01-10	149392888	2	2	0
2022-01-15	298785776	4	4	0
2022-01-19	298785776	4	4	0
2022-01-20	297983424	3	3	0
2022-01-24	298785776	4	4	0
2022-01-25	148590536	1	1	0
2022-01-26	149392888	2	2	0
2022-01-27	149392888	2	2	0
2022-02-01	149392888	2	2	0
2022-02-03	149392888	2	2	0
2022-02-04	149392888	2	2	0
2022-02-07	149392888	2	2	0
2022-02-09	298785776	4	4	0
2022-02-10	1075387257	16	16	0
2022-02-11	448178664	6	6	0
2022-02-16	149392888	2	2	0
2022-02-22	149392888	2	2	0
2022-02-23	149392888	2	2	0
2022-02-24	149392888	2	2	0
2022-02-25	149392888	2	2	0
2022-02-26	298785776	4	4	0
2022-02-27	3137250648	42	42	0
2022-02-28	597571552	8	8	0
2022-03-01	874840162	13	13	0
2022-03-02	298785776	4	4	0
2022-03-03	298785776	4	4	0
2022-03-04	448178664	6	6	0
