week_start	sub-Jenkins/sub-Jenkins_ses-large_desc-test_ecephys.nwb	sub-Jenkins/sub-Jenkins_ses-large_desc-train_behavior+ecephys.nwb
2021-08-30	2407056	250925808
2021-09-06	802352	148590536
2021-09-13	2407056	297181072
2021-09-20	3209408	742952680
2021-09-27	22465856	4011944472
2021-10-04	3209408	742952680
2021-10-11	4814112	495301788
2021-10-18	3209408	178653428
2021-10-25	6418816	445771608
2021-11-01	802352	297181072
2021-11-08	3209408	881052233
2021-11-15	5616464	891543216
2021-11-22	8825872	1337314824
2021-11-29	7221168	1337314824
2021-12-06	10430576	1634495896
2021-12-13	10430576	2080267504
2021-12-20	4814112	742952680
2021-12-27	4011760	1040133752
2022-01-03	9628224	2526039112
2022-01-10	802352	445771608
2022-01-17	802352	445771608
2022-01-24	802352	297181072
2022-01-31	802352	148590536
2022-02-07	4814112	1188724288
2022-02-14	802352	148590536
2022-02-21	12035280	1783086432
2022-02-28	12837632	2503719594
2022-03-07	9628224	2228858040
2022-03-14	14442336	2228858040
2022-03-21	10430576	2377448576
2022-03-28	10430576	2823220184
2022-04-04	5616464	1040133752
2022-04-11	3229734	631075518
2022-04-18	802352	148590536
2022-04-25	0	148590536
2022-05-02	6418816	1090721027
2022-05-09	1604704	518189592
2022-05-16	60536	148590536
2022-05-23	802352	89870280
2022-05-30	2407056	0
2022-06-06	802352	0
2022-06-13	802352	148590536
2022-06-20	2407056	297181072
2022-06-27	802352	148590536
2022-07-11	24070560	3947240016
2022-07-18	2407056	148590536
2022-07-25	5616464	742952680
2022-08-01	20861152	1931676968
2022-08-08	13639984	297181072
2022-08-15	4814112	0
2022-08-22	1604704	148590536
2022-08-29	0	445771608
2022-09-05	0	1188724288
2022-09-12	1604704	148590536
2022-09-26	1604704	445771608
2022-10-03	5616464	445771608
2022-10-10	802352	148590536
2022-10-17	3209408	594362144
2022-10-24	802352	148590536
2022-10-31	994486	508009495
2022-11-14	1604704	445771608
2022-11-21	1604704	148590536
2022-11-28	802352	148590536
2022-12-05	802352	148590536
2022-12-12	802352	331917803
2022-12-19	802352	148590536
2023-01-02	0	196869877
2023-01-23	1604704	445771608
2023-01-30	4011760	742952680
2023-02-06	0	64073035
2023-02-13	802352	118887821
2023-02-20	802352	297181072
2023-02-27	0	163078658
2023-03-06	3209408	325617577
2023-03-13	3209408	257575084
2023-03-20	8023520	1040133752
2023-03-27	5616464	742952680
2023-04-03	4814112	1495884700
2023-04-10	802352	1130460471
2023-04-17	0	1516247091
2023-04-24	802352	1176103623
2023-05-01	1604704	2117045512
2023-05-08	0	2626859208
2023-05-15	3209408	3013827301
2023-05-22	2462992	1792530335
2023-05-29	3913352	2314957131
2023-06-05	2427552	1681356033
2023-06-12	4178080	1535224381
2023-06-19	3667712	0
2023-06-26	6329616	1728217514
2023-07-03	2455400	1935606609
2023-07-10	9621576	2807343672
2023-07-17	2369080	1851625251
2023-07-24	1544512	1810560786
2023-07-31	3816184	467766451
2023-08-07	1415200	1696657056
2023-08-14	1484744	1077217136
2023-08-21	2207928	1986206268
2023-08-28	3283376	2408820036
2023-09-04	774152	2462096948
2023-09-11	734568	1280786900
2023-09-18	1584760	2112231736
2023-09-25	2395560	1048020172
2023-10-02	261952	1799253316
2023-10-09	3403336	2015411164
2023-10-16	10430576	2248569860
2023-10-23	802352	215086436
2023-10-30	2407056	1236536363
2023-11-06	105648	2370117272
2023-11-13	2555768	1055126568
2023-11-20	5414912	148590536
2023-11-27	905184	148590536
2023-12-04	901704	236056408
2023-12-11	4814112	742952680
2023-12-18	0	148590536
2024-01-01	802352	297181072
2024-01-08	859304	148590536
2024-01-15	802352	333878824
2024-01-22	2595008	300986144
2024-01-29	0	148590536
2024-02-12	0	148590536
2024-02-19	2407056	0
2024-02-26	2407056	445771608
2024-03-04	5616464	757142620
2024-03-11	2389712	2039165452
2024-03-18	4814112	1130625828
2024-03-25	30984528	350845868
2024-04-01	0	436611556
2024-04-08	28884672	889987644
2024-04-15	82642256	1025713316
2024-04-22	43822160	1462556232
2024-04-29	61781104	532528272
2024-05-06	95479888	497454992
2024-05-13	16047040	1030617316
2024-05-20	77828144	467014144
2024-05-27	77025792	666702352
2024-06-03	73014032	667289560
2024-06-10	26477616	528882044
2024-06-17	1604704	742952680
2024-06-24	802352	148590536
2024-07-01	1604704	297181072
2024-07-08	6287744	174152108
2024-07-15	2407056	455195296
