week_start	Neurophysiology
2023-09-11	2023481545
2023-09-18	277558873
2023-09-25	187638656
2023-10-09	431712
2023-10-16	49498445
2023-10-23	534920942
2023-10-30	271612190
2023-11-06	216187022
2023-11-13	221249722
2023-11-20	159523484
2023-11-27	145971463
2023-12-04	172435945
2023-12-11	1211885514
2023-12-18	388790054
2024-01-01	162200800
2024-01-08	630054785
2024-01-15	260992573
2024-01-22	2122691645
2024-01-29	2988789282
2024-02-05	2173621108
2024-02-12	300654954
2024-02-19	126700903
2024-02-26	4127850579
2024-03-04	256889936
2024-03-11	3598755253
2024-03-18	4652290450
2024-03-25	3577441058
2024-04-01	1481089051
2024-04-08	158699808
2024-04-15	1453277665
2024-04-22	42853075
2024-04-29	51420282
2024-05-06	171406873
2024-05-13	164744310
2024-05-20	138965682
2024-05-27	246626302
2024-06-03	1658490813
2024-06-10	300810330
2024-06-17	397650501
2024-06-24	148001267
2024-07-01	40098232
2024-07-08	3707812219
2024-07-15	650989025
2024-07-22	1905097672
2024-07-29	191842732
2024-08-05	550625904
2024-08-12	252370206
2024-08-19	30874085
2024-08-26	2493308097
2024-09-02	2434844216
2024-09-09	933958330
2024-09-16	1761637368
2024-09-23	2123371115
2024-09-30	3485602929
2024-10-07	2488120496
2024-10-14	1340752970
2024-10-21	4956427349
2024-10-28	2707935119
2024-11-04	3611884214
2024-11-11	753592995
2024-11-18	2456558616
2024-11-25	1251653506
2024-12-02	1831910478
2024-12-09	5176370133
2024-12-16	3097355592
2024-12-23	68828238
2024-12-30	314908404
2025-01-06	785290188
2025-01-13	3762073083
2025-01-20	1877494896
2025-01-27	749476078
2025-02-03	1404297381
2025-02-10	3557287351
2025-02-17	1999798913
2025-02-24	4599659413
2025-03-03	1093306260
2025-03-10	1627930051
2025-03-17	1153705275
2025-03-24	1683748010
2025-03-31	1388859290
2025-04-07	1605048783
2025-04-14	651732556
2025-04-21	1154479499
2025-04-28	1532716205
2025-05-05	917119964
2025-05-12	809542140
2025-05-19	189730235
2025-05-26	715301727
2025-06-02	1839948383
2025-06-09	1113987231
2025-06-16	1105421694
2025-06-23	2031786189
2025-06-30	434770572
2025-07-07	3112513378
2025-07-14	2016963572
2025-07-21	3740877700
2025-07-28	2337884052
2025-08-04	989039440
2025-08-11	1793756809
2025-08-18	2229782513
2025-08-25	535834320
2025-09-01	438226197
2025-09-08	358808048
2025-09-15	2559232799
2025-09-22	901621184
2025-09-29	3926754974
2025-10-06	4624454911
2025-10-13	4994235458
2025-10-20	3296541218
2025-10-27	8516105460
2025-11-03	9814030664
2025-11-10	3519869372
2025-11-17	11972890255
2025-11-24	2743243537
2025-12-01	6873095988
2025-12-08	40718384698
2025-12-15	9109420904
2025-12-22	4058366610
2025-12-29	1118324007
2026-01-05	5127566133
2026-01-12	12705766560
2026-01-19	11168251310
2026-01-26	9499179163
2026-02-02	8418590301
2026-02-09	2299087534
2026-02-16	7997728506
2026-02-23	13801795609
2026-03-02	7464763600
2026-03-09	1085499207
2026-03-16	5360534524
2026-03-23	4470385672
2026-03-30	20448628367
2026-04-06	7466265086
2026-04-13	4954856156
2026-04-20	8212767531
2026-04-27	4331845463
2026-05-04	4787211484
2026-05-11	1555688325
2026-05-18	4731008433
2026-05-25	2255108916
2026-06-01	6040233470
2026-06-08	3942938604
2026-06-15	648577739
2026-06-22	828034895
2026-06-29	1788430549
2026-07-06	1905847260
2026-07-13	1448767339
