week_start	sub-Rat406/sub-Rat406_ses-Rat406-PFC.nwb	sub-Rat424/sub-Rat424_ses-Rat424-MFB.nwb	sub-Rat425/sub-Rat425_ses-Rat425-MFB.nwb	sub-Rat438/sub-Rat438_ses-Rat438-MFB.nwb	sub-Rat439/sub-Rat439_ses-Rat439-MFB.nwb	sub-Rat445/sub-Rat445_ses-Rat445-MFB.nwb	sub-Rat458/sub-Rat458_ses-Rat458-PFC.nwb	sub-Rat463/sub-Rat463_ses-Rat463-PFC.nwb	sub-Rat467/sub-Rat467_ses-Rat467-PFC.nwb	sub-Rat482/sub-Rat482_ses-Rat482-PFC.nwb	sub-Rat495/sub-Rat495_ses-Rat495-PFC.nwb	sub-Rat504/sub-Rat504_ses-Rat504-MFB.nwb	sub-Rat506/sub-Rat506_ses-Rat506-MFB.nwb	sub-Rat511/sub-Rat511_ses-Rat511-MFB.nwb	sub-Rat513/sub-Rat513_ses-Rat513-MFB.nwb
2026-03-16	543840	0	2332832	25848940	10692128	4846592	2020576	0	0	1910336	6000280	4495904	0	0	0
2026-03-23	707120	2261080	954408	9391092	8232360	2423296	0	0	0	0	0	0	0	0	0
2026-03-30	0	0	0	822988	822988	0	0	0	0	0	0	0	0	0	0
2026-04-20	543840	0	2332832	29556176	10692128	0	2020576	0	0	1083168	2553712	2375952	0	0	0
2026-05-11	271920	0	1038416	0	5218064	0	3158856	0	403040	827168	0	2119952	6703440	0	5026456
2026-05-18	1529120	0	2332832	53774096	19712672	2423296	4041152	5031680	2245600	1496752	7045392	7803832	10011416	8999440	0
2026-05-25	3736960	10710708	4888856	11260016	4578832	14488104	4450572	3436032	4657920	4251888	6814748	4631284	4131492	4065984	5168136
2026-06-01	1087680	5289460	1038416	16287796	3526144	9101596	1927400	1001216	806080	827168	2065968	4287532	0	8225904	0
2026-06-08	707120	11016432	1992824	1093296	1027788	0	0	935808	0	0	0	2375952	0	0	10267096
2026-06-15	1599680	0	0	4978608	3264112	2551296	0	1001216	0	827168	0	1780564	0	0	16258512
2026-06-22	815760	7180848	3890456	21200896	10324672	3340408	2020576	0	806080	1910336	2553712	6133604	0	0	0
2026-06-29	815760	0	0	7325048	8610176	0	0	0	806080	0	1276856	1187976	0	0	0
