week_start	dataset_description.json	derivatives/fitparmms/Siemens/sub-MITU01/ses-MR/anat/sub-MITU01_ses-MR_PDmap.json	derivatives/fitparmms/Siemens/sub-MITU01/ses-MR/anat/sub-MITU01_ses-MR_PDmap.nii.gz	derivatives/fitparmms/Siemens/sub-MITU01/ses-MR/anat/sub-MITU01_ses-MR_Sse.json	derivatives/fitparmms/Siemens/sub-MITU01/ses-MR/anat/sub-MITU01_ses-MR_Sse.nii.gz	derivatives/fitparmms/Siemens/sub-MITU01/ses-MR/anat/sub-MITU01_ses-MR_T1map.json	derivatives/fitparmms/Siemens/sub-MITU01/ses-MR/anat/sub-MITU01_ses-MR_T1map.nii.gz	derivatives/fitparmms/Siemens/sub-MITU01/ses-MR/anat/sub-MITU01_ses-MR_T2starmap.nii.gz	derivatives/fitparmms/Siemens/sub-MITU01/ses-MR/anat/sub-MITU01_ses-MR_flip-1_VFA.json	derivatives/fitparmms/Siemens/sub-MITU01/ses-MR/anat/sub-MITU01_ses-MR_flip-1_VFA.nii.gz	derivatives/fitparmms/Siemens/sub-MITU01/ses-MR/anat/sub-MITU01_ses-MR_flip-2_VFA.json	derivatives/fitparmms/Siemens/sub-MITU01/ses-MR/anat/sub-MITU01_ses-MR_flip-2_VFA.nii.gz	derivatives/fitparmms/Siemens/sub-MITU01/ses-MR/anat/sub-MITU01_ses-MR_flip-3_VFA.json	derivatives/fitparmms/Siemens/sub-MITU01/ses-MR/anat/sub-MITU01_ses-MR_flip-3_VFA.nii.gz	derivatives/fitparmms/Siemens/sub-MITU01/ses-MR/anat/sub-MITU01_ses-MR_flip-4_VFA.json	derivatives/fitparmms/Siemens/sub-MITU01/ses-MR/anat/sub-MITU01_ses-MR_flip-4_VFA.nii.gz
2021-05-17	0	318	4934149429	902	4909147911	453	1863940394	4282346937	415	4846943048	224	4786106354	224	4839874929	448	4865845121
2021-07-26	0	0	54280943310	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-08-02	0	0	38722925	0	0	0	0	0	0	0	0	9572212708	0	0	0	0
2021-08-16	0	0	4958704109	0	0	0	8446814501	0	0	0	0	0	0	0	0	0
2021-08-30	0	0	0	0	0	0	1220193429	0	0	0	0	0	0	0	0	0
2021-09-06	0	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-09-13	0	0	9868298858	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-10-11	0	0	32551073	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-11-15	0	0	13438241	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-11-22	0	0	26379221	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-11-29	0	0	82704404	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-12-13	0	0	63510348	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-01-31	0	318	0	1804	576888404	453	383790948	629065368	415	379809108	224	495843100	448	549844605	448	0
2022-03-14	0	0	192087136	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-28	0	0	108304172	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-04-25	844	0	10053677	0	7332753	0	10153692	9091868	0	9987313	0	9854585	0	6337293	0	10783681
2022-07-11	422	318	4948815377	451	4926434768	453	1878606342	4297012885	415	4861608996	224	4800772302	224	4854540877	224	4882468338
2022-07-25	0	0	0	0	0	0	0	0	415	0	0	0	0	0	0	0
2022-08-01	0	0	0	0	0	0	0	0	0	0	0	0	224	0	224	0
