week_start	Microscopy	Miscellaneous
2021-05-17	35328354123	2984
2021-07-26	54280943310	0
2021-08-02	9610935633	0
2021-08-16	13405518610	0
2021-08-30	1220193429	0
2021-09-06	0	318
2021-09-13	9868298858	0
2021-10-11	32551073	0
2021-11-15	13438241	0
2021-11-22	26379221	0
2021-11-29	82704404	0
2021-12-13	63510348	0
2022-01-31	3015241533	4110
2022-03-14	192087136	0
2022-03-28	108304172	0
2022-04-25	73594862	844
2022-07-11	35450259885	2731
2022-07-25	0	415
2022-08-01	0	448
2022-08-08	35328354123	1868
2022-08-22	35328354123	2309
2022-08-29	0	422
2022-09-12	67108864	0
2022-11-07	1863940394	453
2023-02-20	68601585	415
2023-04-10	0	415
2023-05-22	6370944	0
2023-06-19	7863665	0
2023-08-28	7830952	0
2023-10-16	10153692	415
2023-10-30	9689144	224
2023-11-13	7764588	0
2024-01-01	11281880	0
2024-01-08	11680064	0
2024-01-22	15661904	0
2024-02-05	7830952	0
2024-02-12	15661904	0
2024-03-04	9423688	0
2024-04-22	0	422
2024-05-27	0	422
2024-06-10	0	318
2024-07-08	0	422
2024-07-22	0	422
2024-08-26	231942180	6234
2024-09-02	6579397980	2650
2024-09-09	628315651	224
2024-09-23	15661904	224
2024-10-21	62646788	3182
2024-11-11	0	2172
2024-11-18	0	318
2025-04-07	0	422
2025-04-21	0	422
2025-07-21	0	415
2025-07-28	4786106354	901
2025-08-04	4839874929	993
2025-08-11	20793224929	422
2025-08-18	4909147911	0
2025-08-25	0	904
2025-09-01	9216496366	422
2025-09-29	0	1804
2025-11-03	9888236	0
2025-12-01	11746428	0
2025-12-15	70750878762	13367
2025-12-22	0	224
2025-12-29	0	318
2026-01-05	4846943048	0
2026-01-12	2770518226	9438
2026-01-19	19880223931	677
2026-01-26	18842477649	873
2026-03-02	6798089823	0
2026-03-16	40548404	2362
2026-03-23	43202964	0
2026-03-30	60258512	224
2026-04-06	0	224
2026-04-20	75986780	2680
2026-04-27	0	224
2026-05-11	0	451
2026-05-18	29664708	2815
2026-06-15	6702764	837
2026-06-22	3849112	4235
2026-06-29	1061824	3971
2026-07-06	3782748	4903
2026-07-13	22630124	3179
2026-07-20	0	2700
2026-07-27	0	2917
