region	bytes_sent
US/California	70778619470
AWS/us-east-1	35328357951
NL/North Holland	35328356854
US/Massachusetts	15813816097
US/Vermont	12763456920
AWS/us-east-2	9720255783
US/New York	5267422513
US/Oklahoma	4934149429
US/Georgia	4934149429
US/Missouri	4934149429
IE/Leinster	4934149429
US/South Carolina	4934149429
US/South Dakota	4934149429
US/Wisconsin	4934149429
US/Kansas	4934149429
US/Connecticut	3084133823
US/New Hampshire	3015245643
BR/São Paulo	1889821869
US/North Carolina	1863940394
VPN	473265739
US/Pennsylvania	192087136
RU/Moscow	159368746
AWS/ap-southeast-1	97555820
ES/Madrid	82704404
AM/Lori	82423150
KR/Incheon	63510348
BD/Mymensingh Division	32551073
UA/Odessa	26379221
PL/Warmia-Masuria	13438241
CN/Shanghai	639
HK/Hong Kong	415
