week_start	sub-Animal-1-2-and-3/sub-Animal-1-2-and-3.nwb
2024-07-01	138099580
2024-07-08	604520188
2024-07-22	610284892
2024-07-29	150032788
2024-08-19	151357459
2024-08-26	160518548
2024-09-16	219516484
2024-09-23	39932308
2024-10-21	12905076
2024-12-02	116478356
2025-01-20	150032788
2025-01-27	150032788
2025-05-26	150032788
2025-07-21	52428800
2025-10-06	108786876
2025-12-15	257006660
2026-01-12	300065576
2026-02-16	10694356
2026-03-23	4127004
2026-03-30	4127004
2026-04-06	8450532
