date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2024-07-01	163134388	21	3	1
2024-07-02	63587976	62	1	1
2024-07-09	61360704	62	1	1
2024-07-25	150032788	1	1	0
2024-07-26	150032788	1	1	0
2024-07-28	10153740	1	1	0
2024-08-19	165183016	68	2	1
2024-08-26	39932308	8	0	1
2024-08-27	150032788	1	1	0
2024-09-17	150032788	1	1	0
2024-09-20	69483696	62	1	1
2024-09-25	39932308	8	0	1
2024-10-22	12905076	1	1	0
2024-10-28	39932308	8	0	1
2024-12-02	150032788	18	0	1
2025-01-24	150032788	1	1	0
2025-02-01	150032788	1	1	0
2025-03-10	9105612	1	1	0
2025-05-26	150032788	1	1	0
2025-07-26	150032788	3	0	1
2025-08-28	150032788	1	1	0
2025-10-08	125884464	65	2	2
2025-12-15	150032788	29	0	1
2025-12-16	4127004	1	1	0
2025-12-17	150032788	1	1	0
2025-12-18	150032788	1	1	0
2025-12-19	4127004	1	1	0
2026-01-16	450098364	6	0	1
2026-01-23	300065576	2	2	0
2026-02-20	14821360	6	2	2
2026-03-03	6023884	17	1	1
2026-03-19	17621652	2	2	0
2026-03-26	4331804	3	1	1
2026-04-03	4127004	1	1	0
2026-04-10	9884132	13	1	1
2026-04-21	31247316	2	2	0
2026-04-23	917112	1	1	0
2026-04-26	1113636	1	1	0
2026-04-28	4397312	3	1	1
2026-05-01	10219248	1	1	0
2026-05-02	59415756	1	1	0
2026-05-12	150032788	1	1	0
2026-05-13	4331804	3	1	1
2026-05-14	1187420	3	1	1
2026-05-15	4192512	1	1	0
2026-05-16	4462820	3	1	1
2026-05-18	14092496	5	3	1
2026-05-19	154430100	4	2	1
2026-05-20	4528328	3	1	1
2026-05-21	150032788	1	1	0
2026-05-22	4462820	3	1	1
2026-05-27	1371880	6	1	1
2026-05-28	2436560	10	2	2
2026-05-30	1121912	3	1	1
2026-05-31	925388	3	1	1
2026-06-01	3804888	20	2	2
2026-06-03	4127704	15	3	2
2026-06-04	1056404	3	1	1
2026-06-07	859880	3	1	1
2026-06-08	990896	3	1	1
2026-06-09	859880	3	1	1
2026-06-10	3546408	17	2	2
2026-06-11	925388	3	1	1
2026-06-12	1121912	3	1	1
2026-06-13	2456900	9	2	2
2026-06-14	1056404	3	1	1
2026-06-16	859880	3	1	1
2026-06-17	859880	3	1	1
2026-06-20	1187420	3	1	1
2026-06-21	1056404	3	1	1
2026-06-22	1121912	3	1	1
2026-06-26	3676724	5	3	1
2026-06-27	1121912	3	1	1
2026-06-29	150032788	1	1	0
2026-06-30	1121912	3	1	1
2026-07-04	1187420	3	1	1
2026-07-05	16024112	5	0	1
2026-07-06	279132030	103	2	2
2026-07-07	220945938	122	5	2
2026-07-08	859880	3	1	1
2026-07-09	794372	3	1	1
2026-07-11	925388	3	1	1
2026-07-12	925388	3	1	1
2026-07-14	1056404	3	1	1
2026-07-19	150958176	4	2	1
2026-07-21	1121912	3	1	1
2026-07-22	925388	3	1	1
2026-07-23	1252928	3	1	1
2026-07-24	1187420	3	1	1
2026-07-25	925388	3	1	1
2026-07-27	990896	3	1	1
2026-08-07	2760312	14	1	1
2026-08-11	150032788	1	1	0
