region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA	2195780294850	59959	0	7
NLD	6384427828172	300691	6	10
USA/MA	9737645035212	187783	3	51
AWS/us-east-1	4520246169230	538922	72	30
VPN	6398299139858	574	141	44
GitHub	38827355274	60778	302	236
CAN/QC	438511111	85	0	11
AWS/ap-southeast-1	183487908	33	33	0
GBR/ENG	669371992	64	2	10
TWN/TPE	4412171415513	27	11	14
USA/NV	84243288	11	11	0
USA/MD	111469212	154	21	14
USA/IL	202043924	23	8	2
MEX/CMX	54696916	224	40	26
JPN/26	56011976	197	21	10
NOR/50	300742666	58	0	3
RUS	49627272	70	3	1
USA/VA	412099584	86	2	2
CHE/VD	2866500	14	2	1
GCP/asia-south1	1326712	5	1	1
USA/NY	2574921423	2375	14	1
USA/DC	1619858284	22	7	2
USA/CA	4365267920	81	11	7
USA/PA	30592236	2	2	0
ITA/25	190881628	86	3	1
VNM/13	1048128	1	1	0
CHN	2798619182283	49785	0	5
SGP	786096	1	1	0
IRQ/BG	851604	1	1	0
AWS/us-east-2	62914560	12	0	2
JPN/13	7915104	11	1	1
USA/RI	41943040	8	0	1
FRA/IDF	7272088	16	4	3
