date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2025-06-19	15871863934	1896	0	13
2025-06-26	87322164	22	22	0
2025-07-27	1791994814	35	0	1
2025-07-28	2440744910	48	0	2
2025-07-29	1015910020	20	0	1
2025-07-30	1095762898	21	0	1
2025-07-31	2996710722	58	0	2
2025-08-07	1792185514	35	0	1
2025-08-15	1029558560	20	0	1
2025-08-18	1297769502	25	0	1
2025-09-01	1779874982	34	0	1
2025-09-06	1190768306	23	0	1
2025-09-07	1029558560	20	0	1
2025-09-09	2948753712	58	0	2
2025-11-11	15843171430	11	11	0
2025-12-16	65835540	11	11	0
2025-12-17	1791994814	342	0	1
2025-12-18	15843171430	11	11	0
2025-12-19	119421084	11	11	0
2025-12-20	1900593122	363	0	1
2025-12-27	1297769502	248	0	1
2026-01-05	1015910020	194	0	1
2026-01-16	4031253760	6	0	1
2026-01-17	9566879884	12	0	2
2026-01-18	5996054194	12	0	2
2026-01-28	2887948412	552	0	2
2026-02-01	2922686278	559	0	2
2026-02-03	1029558560	197	0	1
2026-02-05	2996710722	573	0	2
2026-02-19	458752	14	0	5
2026-02-20	98304	3	0	0
2026-02-24	1792185514	35	0	1
2026-03-02	196608	6	0	3
2026-03-09	407983706	55	0	11
2026-03-18	389641466	55	0	11
2026-03-19	66294096	8	8	0
2026-04-21	87846228	8	8	0
2026-05-17	55550784	11	0	1
2026-05-18	42121644	8	8	0
2026-06-07	9629676	2	2	0
2026-06-10	22731276	2	2	0
2026-06-12	13625664	3	3	0
2026-06-17	5044116	1	1	0
2026-06-26	10546788	8	8	0
2026-07-08	11463900	1	1	0
2026-07-09	18997320	8	8	0
2026-07-26	4096	1	0	1
