week_start	Video
2025-06-16	15871863934
2025-06-23	87322164
2025-07-21	1791994814
2025-07-28	7549128550
2025-08-04	1792185514
2025-08-11	1029558560
2025-08-18	1297769502
2025-09-01	4000201848
2025-09-08	2948753712
2025-11-10	15843171430
2025-12-15	19721015990
2025-12-22	1297769502
2026-01-05	1015910020
2026-01-12	19594187838
2026-01-26	5810634690
2026-02-02	4026269282
2026-02-16	557056
2026-02-23	1792185514
2026-03-02	196608
2026-03-09	407983706
2026-03-16	455935562
2026-04-20	87846228
2026-05-11	55550784
2026-05-18	42121644
2026-06-01	9629676
2026-06-08	36356940
2026-06-15	5044116
2026-06-22	10546788
2026-07-06	30461220
