date	bytes_sent	number_of_requests	number_of_downloads
2026-06-25	21875120986	2620	<50
2026-06-26	36777104964	4460	<50
2026-06-27	168532068279	20400	60
2026-06-28	1341969	<50	<50
2026-06-29	23350255050	2800	<50
2026-06-30	10824087539	1300	<50
2026-07-07	2924997037	680	<50
2026-07-08	4627192856	1260	260
2026-07-09	31889594513	180	120
2026-07-10	261276249908	280	160
2026-07-11	44199319	160	<50
2026-07-12	44599839	160	<50
2026-07-13	14022510	60	<50
2026-07-14	38979686	140	<50
2026-07-15	32834584	120	<50
2026-07-16	34134684869	2260	140
2026-07-17	41009035	140	<50
2026-07-18	22576182	80	<50
2026-07-19	414567	<50	<50
