region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
VPN	2954932176	1990	685	133
AWS/us-east-1	665323404	279	279	0
GCP/us-central1	70147728	14	14	0
GitHub	1475748196	5626	675	543
CAN/ON	398883664	141	141	0
CHN	1825810532	687	451	142
USA/MA	631416936	233	88	98
GCP/us-west1	4860632	1	1	0
AWS/ap-southeast-1	362732176	183	183	0
USA/MD	133385656	160	30	15
USA	482237800	173	173	0
HKG/KKC	35994112	8	8	0
USA/NY	393582120	859	104	71
HKG	198938588	72	72	0
CHE/VD	203240540	640	65	31
VNM/SG	39977556	11	11	0
VNM/HN	30280624	10	10	0
IDN/JI	851604	1	1	0
BGD/F	4860632	1	1	0
UKR/46	4860632	1	1	0
JAM	4860632	1	1	0
AWS/us-east-2	262958576	88	88	0
FRA/IDF	50884976	218	26	16
BEL/VLG	192918232	69	69	0
KOR/11	192918232	69	69	0
AWS/ap-south-1	4860632	1	1	0
GBR/ENG	396722016	142	142	0
BRA/PR	13107904	3	3	0
BRA/SP	14927876	6	6	0
USA/CA	249220900	122	83	5
VNM/66	3759744	1	1	0
VNM	8739680	4	4	0
ECU/P	5200920	2	2	0
VNM/HP	17669216	4	4	0
VEN/A	7803456	2	2	0
BGD/E	4043712	1	1	0
MEX/CMX	118222288	462	94	74
SGP	30724292	10	7	1
EST/37	737792	2	2	0
VNM/56	368896	1	1	0
MAR	368896	1	1	0
KAZ/19	368896	1	1	0
USA/FL	25825408	29	29	0
USA/GA	4071376	1	1	0
MEX/MEX	4071376	1	1	0
DEU/NW	4574196	24	3	3
MAR/06	5736564	3	3	0
IDN	917112	1	1	0
NPL	8619216	2	2	0
MAR/03	7861416	2	2	0
ECU/T	4071376	1	1	0
PAK/SD	12124536	4	4	0
HND/CR	464904	1	1	0
ZAF/GP	10831664	5	5	0
PAK	464904	1	1	0
ZAF/EC	394288	1	1	0
USA/VT	190070188	531	60	17
AWS/us-west-2	19215740	48	6	2
USA/WA	11481880	10	2	2
VNM/18	453688	1	1	0
BOL/S	3311520	1	1	0
SEN/DK	12522044	5	5	0
BRA/SC	3311520	1	1	0
KAZ/15	3916200	1	1	0
VEN/V	3916200	1	1	0
UKR/61	3940896	1	1	0
ARG/B	11663912	4	4	0
JAM/08	2751336	1	1	0
BRA/BA	9714384	3	3	0
BGR/02	2937912	1	1	0
AZE/BA	2030748	1	1	0
MEX/NLE	2937912	1	1	0
USA/NH	3232027036	8392	936	384
IRQ/MA	3625952	1	1	0
MEX/COL	3717992	1	1	0
BRA/PE	475528	1	1	0
USA/PA	48656192	1350	2	2
USA/MS	6339152	1	1	0
USA/NC	24980576	13	5	1
JPN/13	6339152	1	1	0
ROU/B	1556840	10	0	1
GCP/us-west4	6339152	2	0	1
CHN/SH	9964736	2	2	0
GUY/DE	1113636	1	1	0
JOR/AM	2423796	2	2	0
UZB/SA	1048128	1	1	0
USA/HI	12678304	2	2	0
DEU/SN	6339152	1	1	0
VNM/21	1048128	1	1	0
USA/IL	10977620	28	4	2
BRA/MS	3782344	1	1	0
BRA/RS	10060628	3	3	0
BGD	14417728	5	5	0
PSE	3782344	1	1	0
TUR/31	1113636	1	1	0
VNM/69	7870048	2	2	0
KAZ/79	3174560	1	1	0
COL/MAG	3174560	1	1	0
NGA/FC	3096592	1	1	0
DZA/16	3096592	1	1	0
PRY/11	4198904	1	1	0
IDN/ST	3625584	1	1	0
RUS/LIP	3625584	1	1	0
IRQ/AR	452728	1	1	0
SAU/02	4048368	1	1	0
VNM/22	7920840	2	2	0
PER/LMA	4048368	1	1	0
TUN/53	1113636	1	1	0
RUS/TUL	4048368	1	1	0
BRA/MG	5893344	2	2	0
UZB/TK	5159888	3	3	0
BRA/PA	551552	1	1	0
USA/VA	551552	1	1	0
BRB/08	551552	1	1	0
UKR/63	551552	1	1	0
KEN/29	551552	1	1	0
CHL/RM	551552	1	1	0
SYR/DI	3790040	1	1	0
CRI/SJ	6776576	2	2	0
UKR/30	459784	1	1	0
HND/SB	459784	1	1	0
DEU/NI	2951840	1	1	0
VNM/61	3100640	1	1	0
VEN/O	3100640	1	1	0
VEN/S	3100640	1	1	0
AGO/LUA	3100640	1	1	0
VNM/DN	1341508	2	2	0
ARG/C	489904	1	1	0
MEX/MIC	489904	1	1	0
ECU/C	4602016	1	1	0
CHL/AR	3340908	1	1	0
VNM/39	4996792	2	2	0
VNM/52	4547840	1	1	0
NLD/ZH	537712	1	1	0
PAK/PB	929416	2	2	0
COL/DC	417480	1	1	0
KAZ/10	3284496	1	1	0
IRQ/BG	8899176	3	3	0
VNM/29	448952	1	1	0
BRA/ES	448952	1	1	0
VNM/57	3666072	1	1	0
IDN/SA	1113636	1	1	0
SRB/VO	3666072	1	1	0
COL/ANT	4315072	2	2	0
IDN/YO	8866564	3	3	0
MEX/JAL	3812272	1	1	0
MAR/07	2751336	1	1	0
TUN/11	566016	1	1	0
GAB/1	3654120	1	1	0
ITA/25	3654120	1	1	0
IND/GJ	2986536	1	1	0
VEN/M	2986536	1	1	0
KEN/30	4202688	1	1	0
AUT	4203792	1	1	0
TUR/34	528456	1	1	0
COL/CAL	528456	1	1	0
MEX/BCN	4086288	1	1	0
ECU/G	4086288	1	1	0
VNM/26	4086288	1	1	0
BLR/HM	566736	1	1	0
ETH/AA	566736	1	1	0
ALB/11	566736	1	1	0
UKR	507584	1	1	0
NOR/03	2988176	1	1	0
NGA/OY	2988176	1	1	0
IRQ	1113636	1	1	0
SRB/00	2988176	1	1	0
BOL/L	4247536	1	1	0
VNM/43	4247536	1	1	0
LBN/BA	460168	1	1	0
ARG/J	460168	1	1	0
COL/CAU	511936	1	1	0
TUR/55	1023872	2	2	0
KAZ/75	3872472	1	1	0
RUS/MOW	3872472	1	1	0
RUS/IRK	3872472	1	1	0
