region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
GitHub	23006067376	29892	118	299
AWS/us-east-2	448878216	3260	1	18
USA/NV	444232140	38	1	2
PRT/11	1746934016	8	8	0
USA/NJ	262918732	20	0	1
AWS/us-east-1	246770544	31	4	1
USA/CA	467557196	24	9	4
USA/MD	18329292	16	4	3
AWS/us-west-2	13374128	16	4	2
CAN/QC	235669856	5	1	2
HKG/KKC	218366752	27	0	1
IND/MH	436733504	2	2	0
USA	228188624	43	1	1
GBR/ENG	3930601536	18	18	0
USA/VA	159877504	57	3	4
VPN	845800052	22	16	2
USA/MA	695754738	23	0	3
NOR/50	242243456	56	0	2
CHE/AG	8719016	4	1	1
AWS/ap-southeast-1	43468420	6	6	0
USA/RI	25954656	6	0	1
NLD	218366752	1	1	0
CHN	655100256	6	0	1
VNM/HN	4114568	1	1	0
BGD	8162772	1	1	0
JPN/13	14451652	8	2	1
PRT	35032366	8	1	1
VNM/SG	436733504	2	2	0
USA/WA	4604448	4	1	1
USA/CT	218366752	1	1	0
IRQ/NI	11480972	1	1	0
CHE/VD	220939248	9	3	1
USA/NM	218366752	1	1	0
BRA/GO	12808252	1	1	0
EST/37	218366752	1	1	0
MEX/CMX	4547716	16	4	4
CHN/SH	218366752	1	1	0
VNM	9954600	1	1	0
DEU/NW	1087156	4	1	1
SAU/01	1061824	1	1	0
USA/GA	4247296	1	1	0
BRA/SP	2986380	1	1	0
PRY/10	3716384	1	1	0
CHN/BJ	1219884	4	1	1
ARG/E	1128188	1	1	0
USA/IL	1219884	4	1	1
FRA/IDF	11383208	16	4	3
