region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
VPN	2087946806197	9605	9357	63
MEX/CMX	52827364616	10815	141	2067
AWS/us-east-1	1050402219640	125129	4979	990
USA	439752050569	75392	1171	439
USA/MA	1409847265688	28372	24	1413
CHN	1731766203792	141998	13	1146
CAN/QC	308721791146	2063	294	504
USA/VA	226079153444	930	651	3
AWS/ap-southeast-1	16213426524	2566	2566	0
USA/CA	1018078017412	4172	2034	998
USA/IL	102112600396	578	561	2
ARG/B	239955804	74	74	0
VNM/56	59677788	10	10	0
AWS/us-west-2	44654223760	87	51	2
NLD	403672177820	18698	325	333
GCP/us-west1	4413539856	4	4	0
BRA/SP	403594788	112	112	0
USA/NY	4442294288	277	51	4
HKG/KKC	28691085736	3447	0	66
GH-actions	37672790368	124733	7305	6947
UKR/30	795070596	140	140	0
VEN/A	52209876	15	15	0
HKG	387545328	97	97	0
USA/NJ	37863624	10	10	0
ARE/AZ	91252644	14	14	0
GBR/ENG	2910738724	70	70	0
AWS/us-east-2	15520578608	3812	45	16
VNM/SG	449319372	130	130	0
ZAF/KZN	45790092	15	15	0
UKR/32	8188500	2	2	0
GCP/us-east1	57319500	7	7	0
IND/UP	22993308	9	9	0
VNM/HN	505590744	131	131	0
ZAF/GP	99703176	40	40	0
CHL/RM	588863888	36	36	0
BRA/RJ	195344856	39	39	0
JPN/13	25961928	25	16	1
KOR/41	31969344440	75	63	2
ISL/1	2816844	3	3	0
TUR/34	27644376	12	12	0
BRA/MG	143462520	49	49	0
VNM/44	2947860	3	3	0
VNM/46	1048128	1	1	0
UZB/SA	65770032	9	9	0
ZAF/WC	65770032	21	21	0
BRA/PE	231918828	5	5	0
IRQ/BG	106253976	36	36	0
BGD	484562676	80	80	0
KEN/30	66883668	21	21	0
EGY/C	76578852	14	14	0
UKR/63	13953204	3	3	0
GIN/D	1375668	1	1	0
KAZ/75	5437164	5	5	0
KOR/11	32860888	11	4	1
DOM/06	2489304	1	1	0
SAU/03	3144384	3	3	0
SYC	166914384	48	48	0
IRQ	32622984	17	17	0
IDN	44414424	11	11	0
SGP	162132300	45	45	0
USA/TX	1018485728	24	24	0
UZB/TK	151192464	20	20	0
JOR/AM	222268644	40	40	0
USA/TN	55616292	6	6	0
ARG/M	10088232	5	5	0
VNM/20	32426460	6	6	0
COL/CAL	1113636	1	1	0
PHL/00	48934476	9	9	0
JOR	39042768	8	8	0
NOR/46	20962560	3	3	0
BOL/S	38322180	4	4	0
KEN	13101600	6	6	0
ALB/11	45986616	4	4	0
IND/CH	11725932	4	4	0
ZWE/HA	3799464	4	4	0
CHL/VS	18080208	6	6	0
BRA/SC	86536068	25	25	0
NPL	46248648	10	10	0
MAR/06	33409080	13	13	0
COL/DC	82147032	27	27	0
SAU/04	13887696	6	6	0
ETH/AA	22141705	16	15	1
BLR/HM	13298124	2	2	0
BRA/RN	28430472	6	6	0
DZA/31	7533420	6	6	0
GBR/SCT	28233948	2	2	0
IRQ/NI	19783416	8	8	0
MEX/GRO	2816844	2	2	0
PER/LMA	16180476	7	7	0
ROU	104157720	6	6	0
CHL/AP	16966572	2	2	0
IND/RJ	90036664	10	10	0
DEU/NW	42318168	13	13	0
MEX/MEX	60987948	11	11	0
PAK/PB	112542744	65	65	0
BRA/BA	87060132	23	23	0
DEU/NI	15328872	2	2	0
FRA/IDF	302874472	250	40	13
PAK/SD	112149696	31	31	0
ARE/AJ	2227272	2	2	0
MAR/04	36029400	15	15	0
UKR/26	1048128	1	1	0
UKR/51	21617640	6	6	0
GTM/20	16508016	1	1	0
FRA/GES	17752668	1	1	0
ZAF/NW	12315504	5	5	0
BRA/MA	15132348	5	5	0
IND/PB	14346252	10	10	0
VNM/DN	136649688	19	19	0
VNM/33	10022724	4	4	0
VNM/54	9236628	4	4	0
AZE/BA	20438496	6	6	0
NPL/P3	9760692	3	3	0
BRA/MT	42121644	5	5	0
ARG/F	2292780	2	2	0
VNM/29	13101600	3	3	0
