region	bytes_sent
US/California	7417983148
US/Massachusetts	1833478508
AWS/us-east-1	1024760602
US/Georgia	967654138
US/New York	851753974
US/New Jersey	835049434
IN/Tamil Nadu	308863556
VPN	285937636
US/Oklahoma	244404060
US/Texas	181913824
GCP/us-central1	154147248
GitHub	139678558
US/Connecticut	120864948
CN/Beijing	77215888
US/Maryland	77215888
AWS/us-east-2	76009642
US/Florida	53887421
US/Pennsylvania	40352928
US/Washington	26137692
US/District of Columbia	18931812
GB/England	15656412
AWS/ap-southeast-1	15656412
