week_start	sub-P1-20240820-A1/sub-P1-20240820-A1_obj-1hx1u9o_image.nwb	sub-P1-20240820-A1/sub-P1-20240820-A1_obj-1u2miyw_image.nwb	sub-P1-20240820-A2/sub-P1-20240820-A2_obj-1e8mn21_image.nwb	sub-P1-20240820-A2/sub-P1-20240820-A2_obj-wv0lrw_image.nwb	sub-P1-20240820-A3/sub-P1-20240820-A3_obj-1pdtivh_image.nwb	sub-P1-20240820-A3/sub-P1-20240820-A3_obj-q2pfn9_image.nwb	sub-P1-20240820-B1/sub-P1-20240820-B1_obj-172ab5s_image.nwb	sub-P1-20240820-B1/sub-P1-20240820-B1_obj-1sbau89_image.nwb	sub-P1-20240820-B2/sub-P1-20240820-B2_obj-1e4kmzi_image.nwb	sub-P1-20240820-B2/sub-P1-20240820-B2_obj-vgy0q_image.nwb	sub-P1-20240820-B3/sub-P1-20240820-B3_obj-1oi9e3d_image.nwb	sub-P1-20240820-B3/sub-P1-20240820-B3_obj-9xf582_image.nwb	sub-P1-20240828-A1/sub-P1-20240828-A1_obj-14lrke9_image.nwb	sub-P1-20240828-A1/sub-P1-20240828-A1_obj-1yaz4j1_image.nwb	sub-P1-20240828-A2/sub-P1-20240828-A2_obj-1k343dc_image.nwb	sub-P1-20240828-A2/sub-P1-20240828-A2_obj-b9u55z_image.nwb	sub-P1-20240828-A3/sub-P1-20240828-A3_obj-18a4d18_image.nwb	sub-P1-20240828-A3/sub-P1-20240828-A3_obj-j17hqq_image.nwb	sub-P1-20240828-B1/sub-P1-20240828-B1_obj-1mn1x1_image.nwb	sub-P1-20240828-B1/sub-P1-20240828-B1_obj-md3mie_image.nwb	sub-P1-20240828-B2/sub-P1-20240828-B2_obj-18es2eb_image.nwb	sub-P1-20240828-B2/sub-P1-20240828-B2_obj-83fgw1_image.nwb	sub-P1-20240828-B3/sub-P1-20240828-B3_obj-1mbvn7p_image.nwb	sub-P1-20240828-B3/sub-P1-20240828-B3_obj-2uqeee_image.nwb	sub-P1-20241002-A1/sub-P1-20241002-A1_obj-1dak8h6_image.nwb	sub-P1-20241002-A1/sub-P1-20241002-A1_obj-1lf7pp_image.nwb	sub-P1-20241002-A1/sub-P1-20241002-A1_obj-7qgmgn_image.nwb	sub-P1-20241002-A2/sub-P1-20241002-A2_obj-13seqjo_image.nwb	sub-P1-20241002-A2/sub-P1-20241002-A2_obj-1ll0bog_image.nwb	sub-P1-20241002-A2/sub-P1-20241002-A2_obj-3ykjx4_image.nwb	sub-P1-20241002-A3/sub-P1-20241002-A3_obj-1mglt5k_image.nwb	sub-P1-20241002-A3/sub-P1-20241002-A3_obj-7vi8ex_image.nwb	sub-P1-20241002-A3/sub-P1-20241002-A3_obj-az4j1x_image.nwb	sub-P1-20241002-B2/sub-P1-20241002-B2_obj-ha0fu_image.nwb	sub-P1-20241002-B2/sub-P1-20241002-B2_obj-iks4o0_image.nwb	sub-P1-20241002-B2/sub-P1-20241002-B2_obj-j1pxjn_image.nwb	sub-P1-20241002-B3/sub-P1-20241002-B3_obj-17aj8p6_image.nwb	sub-P1-20241002-B3/sub-P1-20241002-B3_obj-1wmn3rz_image.nwb	sub-P1-20241002-B3/sub-P1-20241002-B3_obj-2q4sye_image.nwb	sub-P2-20240820-A1/sub-P2-20240820-A1_obj-1k1xs0e_image.nwb	sub-P2-20240820-A1/sub-P2-20240820-A1_obj-4e732x_image.nwb	sub-P2-20240820-A2/sub-P2-20240820-A2_obj-17p4xsx_image.nwb	sub-P2-20240820-A2/sub-P2-20240820-A2_obj-1hjsmzf_image.nwb	sub-P2-20240820-A3/sub-P2-20240820-A3_obj-10mtqug_image.nwb	sub-P2-20240820-A3/sub-P2-20240820-A3_obj-yvv0ol_image.nwb	sub-P2-20240828-A1/sub-P2-20240828-A1_obj-14iqmgs_image.nwb	sub-P2-20240828-A1/sub-P2-20240828-A1_obj-6lmppy_image.nwb	sub-P2-20240828-A2/sub-P2-20240828-A2_obj-1vfjd8d_image.nwb	sub-P2-20240828-A2/sub-P2-20240828-A2_obj-89pthz_image.nwb	sub-P2-20240828-A3/sub-P2-20240828-A3_obj-1ncr72b_image.nwb	sub-P2-20240828-A3/sub-P2-20240828-A3_obj-loqiqz_image.nwb	sub-P2-20240828-B1/sub-P2-20240828-B1_obj-1hdso44_image.nwb	sub-P2-20240828-B1/sub-P2-20240828-B1_obj-omkguv_image.nwb	sub-P2-20240828-B2/sub-P2-20240828-B2_obj-19vfisy_image.nwb	sub-P2-20240828-B2/sub-P2-20240828-B2_obj-1i1sjeg_image.nwb	sub-P2-20240828-B3/sub-P2-20240828-B3_obj-1omhf5v_image.nwb	sub-P2-20240828-B3/sub-P2-20240828-B3_obj-xclkjn_image.nwb	sub-P2-20241004-A1/sub-P2-20241004-A1_obj-1hxhedd_image.nwb	sub-P2-20241004-A1/sub-P2-20241004-A1_obj-1swg5n1_image.nwb	sub-P2-20241004-A1/sub-P2-20241004-A1_obj-m7wpl4_image.nwb	sub-P2-20241004-A2/sub-P2-20241004-A2_obj-1m3sr8l_image.nwb	sub-P2-20241004-A2/sub-P2-20241004-A2_obj-1ro9n9i_image.nwb	sub-P2-20241004-A2/sub-P2-20241004-A2_obj-e6et87_image.nwb	sub-P2-20241004-A3/sub-P2-20241004-A3_obj-1r52mln_image.nwb	sub-P2-20241004-A3/sub-P2-20241004-A3_obj-u7iy0l_image.nwb	sub-P2-20241004-A3/sub-P2-20241004-A3_obj-xp12eo_image.nwb	sub-P2-20241004-B1/sub-P2-20241004-B1_obj-16cji_image.nwb	sub-P2-20241004-B1/sub-P2-20241004-B1_obj-19buq6u_image.nwb	sub-P2-20241004-B1/sub-P2-20241004-B1_obj-wgdpku_image.nwb	sub-P2-20241004-B2/sub-P2-20241004-B2_obj-1qytqbk_image.nwb	sub-P2-20241004-B2/sub-P2-20241004-B2_obj-5zpfly_image.nwb	sub-P2-20241004-B2/sub-P2-20241004-B2_obj-wnxlt5_image.nwb	sub-P2-20241004-B3/sub-P2-20241004-B3_obj-1ku0ddi_image.nwb	sub-P2-20241004-B3/sub-P2-20241004-B3_obj-ab9up6_image.nwb	sub-P2-20241004-B3/sub-P2-20241004-B3_obj-m2yejw_image.nwb	sub-P3-20241004-A1/sub-P3-20241004-A1_obj-18ynyfq_image.nwb	sub-P3-20241004-A1/sub-P3-20241004-A1_obj-1xm4jmi_image.nwb	sub-P3-20241004-A1/sub-P3-20241004-A1_obj-gk4dkb_image.nwb	sub-P3-20241004-A2/sub-P3-20241004-A2_obj-15xoh2v_image.nwb	sub-P3-20241004-A2/sub-P3-20241004-A2_obj-sk5eqe_image.nwb	sub-P3-20241004-A2/sub-P3-20241004-A2_obj-ws19dh_image.nwb	sub-P3-20241004-A3/sub-P3-20241004-A3_obj-14qmmno_image.nwb	sub-P3-20241004-A3/sub-P3-20241004-A3_obj-163y9if_image.nwb	sub-P3-20241004-A3/sub-P3-20241004-A3_obj-7u8eps_image.nwb
2025-12-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472839126	0	0	0	0	0	0	0	179414582	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	17228604	0	438871686	167772160	7991976	460651245	441699402	0	438187241	169848498	6681816	14215236	460449674	10284756	11856948	337892850	0	5895720	18211224	321539117	466243233	7074864	456251145	0	7009356	0	0	0	437188681	0	1221062468	0	0	4127004	11070852	0	765191690	433678110	9957216	843911384	352369835	346682454	428811409	331658985	13494648	437524731	0	6681816	442240109	20372988	6485292	325276505	448461515	6878340	445702786	317497845	0	6681816	347775030	10284756	0	14084220	0	10088232	438856418	14608284	6681816	441474489	6354276	9957216	336434470	0	712350152	439418984	9891708	340392964	469434120	0	0	353310931	456757076	329302698	726526085	10743312
2025-12-22	0	0	0	0	125829120	246415360	0	0	0	0	0	0	0	0	0	173015040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231872230	0	0	168234853	0	221894127	0	0	0	0	0	0	0	169614829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89128960	0	0	0	0	0	0	0	397238040	0	0	0	0	0	0	0	0	0	0	0
2025-12-29	0	0	0	0	0	0	235919162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270160145	0	0	0	0	0	0	0	220200960	0	0	0	0	0	0	0	0	0	0	0	204472320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167316896	0	0	0	277872640	0	0	0	0
2026-01-05	0	0	0	0	0	0	0	0	230834809	0	0	184193515	0	0	0	0	0	0	0	0	0	167772160	0	0	0	0	0	0	262144000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231763471	0	0	0	0	0	382730240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-12	431525549	0	0	330641631	326523032	431958741	0	0	0	990071910	0	0	0	0	0	963818002	0	0	0	0	446197785	0	0	0	0	0	0	706690201	0	0	1504177988	0	0	0	0	436344550	0	0	325521253	0	1001226701	0	0	0	0	0	0	0	853031898	0	0	0	0	0	0	0	0	0	1018956114	0	0	0	693040086	0	867891116	0	0	0	0	0	315729462	0	688828300	0	0	0	717430632	469967136	0	0	0	0	1424097634	0
2026-01-19	0	882476750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254731165	0	0	0	0	330301440	0	0	0	131072000	0	0	349065498	0	0	0	0	0	0	0	220200960	139707653	0	214116119	0	197100955	0	0	0	0	260377395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	383361108	0	1285728709	0	272629760	0	0	0	0	398458880	0	0	0	456130560	0
2026-01-26	230686720	0	174568162	0	0	0	0	142311310	0	0	0	0	190446954	0	247182373	0	6130631	131072000	0	0	283115520	0	0	151589196	0	298844160	0	0	0	157286400	0	0	0	196709413	0	0	377749354	0	0	251729222	0	209715200	0	0	0	0	145477760	0	0	89128960	169347906	73400320	0	0	0	123511285	152043520	0	0	296919131	256901120	0	0	0	0	153634078	295617257	207776641	0	0	0	210122903	0	0	137693912	0	0	152043520	0	0	193986560	0	0	115343360
2026-02-02	0	0	0	0	0	0	0	0	0	0	278266658	0	0	136314880	0	0	0	0	162529280	185224237	0	0	0	0	0	0	146648072	0	0	0	0	0	0	0	0	0	0	157286400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104857600	199229440	0	0	0	152043520	0	0	157286400	0	0	0	0	0	0	137139569	0	0	0	0	0	0	0	0	0	0	0	0	120586240	0	0
2026-02-16	11742484	7279664	17302388	14542776	17564420	409600	7336896	204800	204800	20258524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-23	4127004	4192512	4258020	1016031	204800	0	0	0	0	0	0	0	781674	0	0	0	4543715	0	0	0	0	6288768	0	631116	0	3664090	0	0	786521	7428844	0	811999	788047	0	0	0	0	0	0	0	648687	0	0	0	0	4258020	0	0	0	4769000	4904030	4897909	4258020	0	0	0	0	0	0	0	0	0	0	0	0	0	623337	0	0	0	788022	0	0	0	846552	4757180	0	4520052	0	611651	0	0	4905421	0
2026-03-02	626349	3406416	4258020	0	0	0	4520052	0	0	0	0	0	0	4903473	0	0	0	4258020	4782084	5072061	0	0	4454544	0	0	0	0	0	0	0	0	4389036	0	4520052	0	4988902	0	627522	4905033	0	0	0	0	0	0	0	766080	697755	0	0	0	0	0	0	4520052	0	0	4520052	4127004	0	4127004	4127004	0	3668448	4323528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	803498	0	0
2026-03-09	0	0	0	0	0	0	0	0	0	0	0	4127004	0	0	767013	4127004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4192512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3428130	0	0	0	0	0	5041749	0	0	8516040	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-16	0	0	0	0	0	7729944	0	0	0	0	0	11791440	0	0	0	0	0	0	0	0	0	12315504	0	0	7402404	0	0	0	0	0	17490636	0	0	0	0	8122992	0	0	0	0	0	0	0	0	0	0	0	0	6878340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10350264	6419784	0	0	0	0	0	7467912	0	0	0	0	12512028	0	0	0	9433152	0	0	0	0
2026-03-23	0	0	204800	10219248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3930480	0	0	0	493474	0	0	0	475418	0	0	0	0	0	0	0	3471924	0	0	0	0	0	0	0	0	0	0	0	0	4127004	0	0	0	0	0	0	0	0	0	0	3930480	0	0	0	0	0	0	0	0	0	0	7598928	0	0	0	0	0	7664436
2026-03-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9957217	0	8778072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4061496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1048128	7598928
2026-04-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4127004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
