region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
GitHub	136784540	41913	23	154
USA/NH	568258344	1026	114	103
USA/VT	44679768	81	9	6
VPN	566541076	84	12	9
AWS/us-east-2	99449248	2502	0	15
GCP/us-central1	719474976	9	9	0
CHN	283848296	87	3	3
USA/MD	24579000	30	5	3
AWS/us-east-1	154966552	25	5	5
GBR/ENG	1039241632	13	13	0
TWN/NWT	72582864	2	2	0
USA/NY	144527178	138	7	4
USA/VA	221772524	136	4	4
USA/CA	13545609	242	2	5
MEX/CMX	14466604	41	7	6
CAN/QC	13082688	4	0	2
USA/RI	19624032	6	0	1
NOR/50	183157632	56	0	2
USA/MA	336007118	34	5	4
ESP	6541344	2	0	1
JPN/13	9236996	9	1	1
CHN/GD	79941664	1	1	0
SRB/00	79941664	1	1	0
CHN/ZJ	79941664	1	1	0
USA	7099692	8	2	1
GCP/us-west4	6541344	2	0	1
GCP/us-west1	79941664	1	1	0
IDN/JI	115578016	2	2	0
USA/HI	79941664	1	1	0
IND/MH	79941664	1	1	0
EST/37	79941664	1	1	0
CHE/VD	3165424	15	2	2
VNM/HN	851604	1	1	0
BRA/CE	2227272	1	1	0
IND/HR	1113636	1	1	0
USA/IL	6575628	7	1	1
USA/DC	4274572	5	1	1
FRA/IDF	24804104	23	4	3
