week_start	sub-Elon/sub-Elon_ses-ORTest-Session-YB-2022-08-08_ecephys.nwb
2023-04-17	743268104
2023-04-24	1120055784
2023-05-01	2091364804
2023-05-08	1914405792
2023-05-15	1979586252
2023-05-22	1280313640
2023-05-29	1154941768
2023-06-05	1214108016
2023-06-12	849630648
2023-06-19	14098800
2023-06-26	1393185116
2023-07-03	1334919864
2023-07-10	1554929896
2023-07-17	1438650500
2023-07-24	1248948564
2023-07-31	287827376
2023-08-07	1165564740
2023-08-14	1377785800
2023-08-21	1476544512
2023-08-28	1661662532
2023-09-04	1449727480
2023-09-11	1138356340
2023-09-18	1226425852
2023-09-25	1126338496
2023-10-02	1290136984
2023-10-09	1133245724
2023-10-16	966308508
2023-10-23	425256236
2023-10-30	1156413028
2023-11-06	968732304
2023-11-13	784387472
2023-11-20	10345004
2023-11-27	290824
2023-12-04	6692208
2023-12-11	80047848
2024-01-01	159883328
2024-01-22	94944100
2024-02-12	59350248
2024-03-04	414440748
2024-03-11	1061164196
2024-03-18	437492616
2024-03-25	407818996
2024-04-01	296398188
2024-04-08	677528972
2024-04-15	677268656
2024-04-22	1134006464
2024-04-29	830684804
2024-05-06	670618220
2024-05-13	711150364
2024-05-20	708440096
2024-05-27	774896308
2024-06-03	721667244
2024-06-10	274897664
2024-06-24	79941664
2024-07-08	21081712
2024-07-22	79941664
2024-07-29	168726908
2024-08-26	95336044
2024-09-09	45789408
2024-09-16	7521556
2024-09-23	19624032
2024-10-21	6541344
2024-11-18	4520052
2025-06-23	6854400
2025-07-14	209424704
2025-09-08	27512864
2025-09-15	79941664
2025-09-22	14150464
2025-09-29	786464
2025-10-06	35224064
2025-10-13	10023460
2025-10-20	4454544
2025-10-27	380756812
2025-11-03	131172600
2025-11-10	54047780
2025-11-17	24042908
2025-11-24	17230444
2025-12-01	20112428
2025-12-08	19653872
2025-12-15	115711608
2025-12-29	4913468
2026-01-05	28956008
2026-01-19	7731416
2026-01-26	74510948
2026-02-02	15067944
2026-02-09	11454812
2026-02-16	23121272
2026-02-23	24042540
2026-03-16	13037564
2026-03-23	8372960
