region	bytes_sent
GitHub	23760545658714
US/California	2141820087532
CN/Shanghai	1541101064482
US/Washington	1300757761310
AWS/us-east-2	1254486129119
KR/Seoul	824346732601
GCP/us-central1	713971412348
NL/North Holland	618059173835
GCP/us-east1	600674364448
US/Tennessee	592513145985
US/New York	533447916594
US/Texas	486500823100
AWS/us-east-1	484963410447
US/Georgia	484645193733
US/Maryland	482246203837
US/New Mexico	477562344354
US/Michigan	295878682261
GCP/northamerica-northeast1	252430312408
VPN	234564419269
GCP/us-east4	223929774312
GCP/europe-west4	186024490562
GCP/us-west4	160701522612
FR/Île-de-France	142625414040
GCP/asia-east1	140717331587
CH/Vaud	108370616665
RO/București	93412292405
GCP/us-west3	78356967020
GCP/us-west1	76958624076
GB/England	65472035450
JP/Osaka	63209121177
BR/Rio de Janeiro	62618877320
DE/Hesse	61395342376
US/Oregon	40992376406
US/Pennsylvania	39589490962
US/Virginia	29356388408
HK/Hong Kong	27785877108
AWS/us-west-2	22690868224
CA/British Columbia	19014654521
CN/Beijing	16879392082
US/Massachusetts	13842224061
US/Hawaii	12620667708
AU/New South Wales	12283116350
US/Indiana	10775522375
DE/North Rhine-Westphalia	10589266792
US/Florida	9230693392
CA/Quebec	8841096729
SG/Singapore	8365385502
NO/Oslo	8296604618
JP/Hokkaido	8198798726
DE/Lower Saxony	7567136804
US/North Carolina	7197188596
EG/Cairo	7102780398
AT/Vienna	6076676888
PT/Lisbon	6026032613
TW/Taiwan	5493711516
AWS/ap-northeast-1	5305761932
US/Arkansas	4919183696
DE/Baden-Wurttemberg	4265540661
TR/Istanbul	4231617491
IL/Central District	4156753905
FR/Provence-Alpes-Côte d'Azur	3851525038
IR/Tehran	3693000224
US/Connecticut	3252536936
GR/Central Macedonia	3112980949
GCP/asia-southeast1	3098392296
US/New Jersey	3071442940
ES/Balearic Islands	3071442940
DE/Bavaria	3051495068
JP/Tokyo	3042313637
IN/Punjab	3005661790
GB/Scotland	2938984128
BE/Wallonia	2917934804
CN/Guangdong	2856232912
US/Illinois	2856232912
CH/Zurich	2571676694
CA/Ontario	2557510547
UA/Kiev	2480498885
US/Rhode Island	2113101137
SE/Stockholm	2062950784
CH/Basel-City	2062950784
IN/Maharashtra	1942137878
FR/Auvergne-Rhône-Alpes	1578414611
PH/Metro Manila	1475849236
US/Wisconsin	1327742923
LB/Beyrouth	1324424723
HK/Eastern	1297082755
CH/Saint Gallen	1297082755
MX/Mexico City	1297082755
IN/Telangana	1297082755
ES/Valencia	1183416130
US/Colorado	829683805
CH/Bern	581005027
CH/Geneva	421320493
AWS/ap-southeast-1	411987712
IT/Lazio	266595117
HU/Budapest	145167788
VN/Ho Chi Minh	144070411
VN/Kiên Giang Province	144070411
PE/Lima Province	116237160
CZ/Prague	92013217
PT/Viseu	85636077
DE/Thuringia	81295900
IN/Tamil Nadu	65368540
IL/Tel Aviv	56741220
KR/Daegu	50522615
PT/Porto	33295816
PL/Mazovia	29631057
US/Vermont	21202829
NZ/Otago	12343704
