week_start	sub-2021-11-29/sub-2021-11-29_ses-20211129T125113_ecephys.nwb	sub-2021-11-30/sub-2021-11-30_ses-20211130T130033_ecephys.nwb	sub-2021-12-01/sub-2021-12-01_ses-20211201T130935_ecephys.nwb	sub-2021-12-06/sub-2021-12-06_ses-20211206T125036_ecephys.nwb	sub-2021-12-07/sub-2021-12-07_ses-20211207T130508_ecephys.nwb	sub-2021-12-14/sub-2021-12-14_ses-20211214T130223_ecephys.nwb	sub-2021-12-15/sub-2021-12-15_ses-20211215T121446_ecephys.nwb	sub-2021-12-16/sub-2021-12-16_ses-20211216T125308_ecephys.nwb	sub-2021-12-17/sub-2021-12-17_ses-20211217T125429_ecephys.nwb	sub-2023-03-22/sub-2023-03-22_ses-20230322T121325_ecephys.nwb	sub-2023-04-27/sub-2023-04-27_ses-20230427T125350_ecephys.nwb	sub-2023-04-28/sub-2023-04-28_ses-20230428T122513_ecephys.nwb	sub-2023-05-01/sub-2023-05-01_ses-20230501T130910_ecephys.nwb	sub-2023-05-04/sub-2023-05-04_ses-20230504T114738_ecephys.nwb	sub-2023-05-05/sub-2023-05-05_ses-20230505T113505_ecephys.nwb	sub-2023-05-08/sub-2023-05-08_ses-20230508T120132_ecephys.nwb	sub-2023-06-07/sub-2023-06-07_ses-20230607T122751_ecephys.nwb	sub-2023-06-27/sub-2023-06-27_ses-20230627T121304_ecephys.nwb	sub-2023-08-01/sub-2023-08-01_ses-20230801T123418_ecephys.nwb	sub-2023-08-03/sub-2023-08-03_ses-20230803T121250_ecephys.nwb	sub-2023-08-08/sub-2023-08-08_ses-20230808T115323_ecephys.nwb	sub-2023-08-09/sub-2023-08-09_ses-20230809T115035_ecephys.nwb
2026-02-23	238018308	209117332	176142466	242420922	250511014	248462596	249070684	268870996	262690423	8771985120	7262973252	7833332876	8157525381	5276860297	9263608589	8719188504	10309078724	8876200368	8293561565	9252443732	8428643632	8274622928
2026-03-02	0	8092352	6221194	7455890	9071094	0	11262552	0	8666537	4262904	0	0	0	4964331	5375615	0	0	5864092	0	9553316	0	4881876
2026-03-09	9552896	8997568	6700538	9831570	8989286	7452502	7307468	7428493	9247889	8210104	5830544	5918555	11233334	5406839	5973631	15680952	6064084	6576740	12252986	6468040	6473822	6438160
2026-03-16	27578868	0	0	0	0	21159084	0	0	0	0	0	17752668	0	0	13822188	15459888	0	0	25220580	0	0	0
2026-03-23	110945280	96096732	84499962	117776882	117322058	111984186	117278668	122577009	122627073	4379201904	3621977744	3971083275	4072145775	2631370587	4632338197	4352580956	5163151716	4431241824	4140057427	4618959300	4205170778	4130620656
2026-03-30	287724880	207256720	180643796	252820572	254223840	223968372	234557336	289256234	279923210	9200279760	7460199388	7903008098	8571175926	5310405910	9672984258	8896534276	10463020020	9132717888	8672925314	9453827792	8541190700	8350839332
2026-04-06	0	0	0	0	0	0	0	0	22005655	0	0	0	0	0	20955935	0	4435419282	0	0	0	0	0
2026-04-20	37601592	0	0	0	0	25417104	0	0	0	0	0	25613628	0	0	19062828	31509348	0	0	0	0	0	0
2026-04-27	720588	5175132	4127004	917112	720588	720588	4258020	5240640	6878340	4782084	5502672	0	4651068	5109624	2751336	4651068	982620	4192512	1048128	5109624	917112	0
2026-05-11	0	0	80168158	0	0	0	0	0	0	1708092	0	0	4942903	527359912	0	0	0	0	4963355	0	0	1540968
2026-05-18	120526000	2383116	19566908	2456900	11396978	120664346	13522928	5797808	14988409	6396448	5855040	24150007	5789532	7085415	18170544	17686140	8434200	2900456	11488728	2317608	2252100	9261456
2026-05-25	115330452	10189308	86474178	10355494	6175004	6437036	6109496	9951461	5912972	8724616	6993612	5400972	10510596	5400972	4286807	8292648	7049936	8726196	5531988	6996004	6748338	5531988
2026-06-01	6272916	4242168	12691012	4848292	15395080	21824506	4651768	4651768	24828232	11291096	20291628	4438692	4242168	4438692	4242168	24072480	5600644	5342356	3980136	4176660	19165928	3980136
2026-06-08	5450628	41231612	4656256	6446012	55718376	5233764	2391392	46996430	2522408	27031468	11226696	9830966	2055576	49352352	2252100	2799612	15722580	3031472	2055576	17118664	34220004	1990068
2026-06-15	1027788	1158804	29872416	1064680	20127508	1261204	1064680	1130188	1130188	7849292	1158804	896772	9481394	18036564	962280	1367052	1318276	1450228	1027788	1027788	1093296	1027788
2026-06-22	4106664	962280	44308808	41252996	1130188	3947032	42106932	1326712	46790058	1232984	1027788	4434204	1027788	962280	13499478	4380420	1383784	1515736	962280	962280	18780456	1027788
2026-06-29	106613476	34531844	0	0	45076064	111984186	0	0	45790886	10494032	9675760	0	0	6309870	0	0	0	0	0	0	0	0
2026-07-06	756863291	708635505	616739063	774281375	517416027	498825440	517437747	575784681	533067145	82321540	97182952	5593008	89251118	65656532	100589368	100940356	97763928	97831308	89357530	89311676	89265924	2317608
2026-07-13	35346664	1027788	1130188	42104600	1064680	41684184	1064680	1064680	1130188	1232984	1027788	9261734	1027788	1027788	11075682	14008416	14207780	14215268	1158804	1027788	1027788	9424848
2026-07-20	0	0	0	0	0	0	43346060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-07-27	107575756	97124520	81232838	112937566	118452246	113114374	144448308	123838213	123953785	4380434888	3623136548	3908633811	8145253830	2632332867	9250867686	4353882500	5146520580	8863802860	4164534217	4619987088	4206198566	8262203592
2026-08-03	129526624	0	30077848	0	80247300	20635020	77626980	38256672	110708520	0	64328856	18199160	129865528	0	67669764	147028624	36380612	62560140	54044100	0	209195716	122172420
