region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
CHN	77891600	192	192	0
USA	33174544	84	84	0
VPN	162976432	428	376	24
CHL/RM	1169056	5	5	0
GitHub	426551888	2079	577	481
AWS/ap-southeast-1	44905960	112	112	0
AWS/us-east-1	46213616	115	115	0
USA/VA	35409040	88	88	0
USA/CA	99124300	392	166	112
USA/MA	103538094	439	0	89
USA/NY	60347840	257	103	23
CHE/VD	44466000	225	57	55
AWS/us-east-2	3000176	7	7	0
JPN/26	64820160	162	162	0
USA/IL	15992096	50	38	3
MEX/CMX	46026872	207	67	47
DNK/84	1059168	3	3	0
GCP/us-east1	434248	1	1	0
FRA/IDF	15856448	83	25	13
DEU/NW	2344424	12	4	4
GCP/us-central1	1830784	6	6	0
CAN/BC	2080680	30	4	3
USA/PA	158912	16	0	1
NLD/ZH	415912	1	1	0
ESP	415912	1	1	0
USA/NC	918832	2	2	0
USA/MI	450096	3	1	1
EST/37	225048	1	1	0
