week_start	sub-BH585/sub-BH585_ses-20240913T163500_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T164900_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T170800_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T173100_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T175400_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T181500_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T182900_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T184300_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T190400_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T192600_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T200000_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T201400_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T211800_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T213200_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T214500_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T220700_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T222800_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T224900_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T230200_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T231600_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T233700_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240913T235900_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240914T002000_ecephys+ogen.nwb	sub-BH585/sub-BH585_ses-20240914T003300_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T170500_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T172100_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T174200_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T175300_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T180500_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T181900_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T183600_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T185700_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T193200_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T194600_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T200700_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T202900_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T204300_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T205800_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T212000_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T214200_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T215600_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T221000_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T223200_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T225300_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T230500_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T231700_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240906T233800_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240907T000000_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240907T001100_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240907T002300_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240907T004400_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240907T010500_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240907T011800_ecephys+ogen.nwb	sub-BH597/sub-BH597_ses-20240907T014000_ecephys+ogen.nwb
2025-08-25	0	0	0	0	353632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	992008	0	0	0	280440	0	0	0	434248	278544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225048	0	0	0	0	0	0
2025-09-01	0	0	0	0	0	280896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269200	0	0	0	0	529800	0	0	0	0	0	0	0	0	0	0	0
2025-09-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	477024	486336	342080	0	0	0	0	0	0	0	0	0	0	304240	271496	0	0	0	0	0	0	0	0	0	0	0	0	0	405696	0	0	0	0	0	358248	0	0	0
2025-10-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-10	4633968	733376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2659032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	831824	1059168	1332192	1178448	707264	561792	899152	922560	1570848	1515000	2559200	1625256	1251336	780400	893536	650848	477024	972672	1026240	1069632	1004144	1011696	348824	1984016	1005840	886344	510768	560880	814632	304240	814488	1736992	278544	1007304	1071768	674160	725760	538400	894096	246504	706224	526768	1589400	1364328	811392	1380080	892800	450096	480672	665088	716496	1837584	595856	679032
2025-12-22	0	0	0	0	0	0	449576	0	0	0	0	0	417112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446400	0	0	0	0	0	0	226344
2025-12-29	0	0	444064	0	0	0	0	0	0	0	0	0	0	390200	0	0	0	0	0	0	0	0	348824	0	0	0	0	0	271544	0	0	0	0	0	0	337080	0	0	0	246504	0	263384	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-05	415912	0	0	0	0	0	0	0	0	0	0	0	0	0	446768	0	0	0	0	0	0	0	0	0	0	295448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	332544	0	0	0	0
2026-01-12	831824	1412224	1332192	1178448	1060896	842688	899152	1383840	1570848	2020000	1535520	1083504	1251336	1170600	893536	976272	954048	972672	684160	0	502072	3035088	1046472	1984016	1508760	886344	510768	841320	814632	912720	542992	434248	557088	335768	1071768	337080	725760	538400	596064	246504	470816	263384	1059600	454776	1217088	2070120	1339200	450096	240336	332544	716496	918792	893784	452688
2026-01-19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	684160	0	502072	0	0	0	502920	0	0	0	0	0	0	0	0	0	0	0	241920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280440	0	0	0	0	278544	0	0	0	0	0	0	0	0	0	0	0	405696	690040	0	225048	240336	0	0	918792	0	0
2026-02-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1313040	886344	766152	841320	814632	912720	814488	434248	557088	0	0	0	0	0	0	0	235408	0	0	0	0	0	0	0	0	0	0	0	0	226344
2026-02-23	0	0	785728	0	0	0	0	0	0	0	511840	0	0	390200	791136	0	0	0	342080	0	399672	0	0	0	0	590896	510768	280440	0	0	0	331848	557088	335768	0	0	0	538400	0	246504	470816	0	0	0	0	690040	0	0	240336	0	0	406792	297928	452688
2026-03-02	831824	353056	0	785632	0	280896	449576	1281440	842432	0	0	878704	314712	0	0	0	851648	0	0	0	0	909296	348824	377608	1192480	0	0	560880	271544	608480	271496	0	0	0	714512	337080	241920	0	596064	0	470816	0	529800	807152	405696	0	790400	225048	0	0	358248	0	0	0
2026-03-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	665088	0	0	0	0
2026-03-16	0	353056	444064	392816	0	0	899152	461280	523616	1010000	511840	1083504	834224	390200	0	0	0	0	0	0	0	505848	697648	0	0	0	0	0	0	0	0	434248	0	0	0	0	0	0	298032	246504	235408	263384	0	0	0	0	446400	0	0	0	0	0	0	226344
2026-03-23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	502072	0	0	0	502920	590896	0	0	814632	0	0	0	0	0	0	0	0	0	298032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405696	0	0	0	0	0	0	0	0	0
2026-04-06	0	353056	0	0	0	0	0	0	0	0	0	0	0	0	446768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-13	0	353056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	454776	0	0	0	0	0	0	0	0	0	0
2026-04-20	0	0	0	392816	0	0	0	0	0	505000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	434248	0	0	0	0	0	0	0	246504	0	0	0	0	0	0	446400	0	0	0	0	0	0	0
