week_start	sub-C31/sub-C31_behavior+ecephys.nwb	sub-C31/sub-C31_ses-sub-C31-ses-221118_behavior+ecephys.nwb	sub-C31/sub-C31_ses-sub-C31-ses-221123_behavior+ecephys.nwb	sub-C31/sub-C31_ses-sub-C31-ses-221201_behavior+ecephys.nwb	sub-C31/sub-C31_ses-sub-C31-ses-221214_behavior+ecephys.nwb	sub-C31/sub-C31_ses-sub-C31-ses-230210_behavior+ecephys.nwb	sub-C31/sub-C31_ses-sub-C31-ses-230216_behavior+ecephys.nwb	sub-C31/sub-C31_ses-sub-C31-ses-230303_behavior+ecephys.nwb	sub-C31/sub-C31_ses-sub-C31-ses-230526_behavior+ecephys.nwb	sub-C31/sub-C31_ses-sub-C31-ses-230602_behavior+ecephys.nwb	sub-C31/sub-C31_ses-sub-C31-ses-230609_behavior+ecephys.nwb	sub-C31/sub-C31_ses-sub-C31-ses-230623_behavior+ecephys.nwb	sub-C31/sub-C31_ses-sub-C31-ses-230630_behavior+ecephys.nwb	sub-C31/sub-C31_ses-sub-C31-ses-230707_behavior+ecephys.nwb	sub-V198/sub-V198_ses-sub-V198-ses-230525_behavior+ecephys.nwb	sub-V198/sub-V198_ses-sub-V198-ses-230601_behavior+ecephys.nwb	sub-V198/sub-V198_ses-sub-V198-ses-230608_behavior+ecephys.nwb	sub-V198/sub-V198_ses-sub-V198-ses-230615_behavior+ecephys.nwb	sub-V198/sub-V198_ses-sub-V198-ses-230622_behavior+ecephys.nwb	sub-V198/sub-V198_ses-sub-V198-ses-230629_behavior+ecephys.nwb
2026-05-25	36242680758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-06-01	157206180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-06-08	342450984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-06-15	864338496	9779514512	18429101004	33214683880	57644399188	48865718348	38958216296	54599703876	20928128676	103060093808	108890680768	106359792932	111955732300	75105731072	73576202580	51088042152	57628276104	24841064376	23496108848	26348349400
2026-06-22	9772242392	9771656916	11575976	19178692	10011360	41913669960	38962261940	54592013976	20942852124	9737964	9606948	12096252	138686380	11182928	9672456	11572188	11965236	24577809632	23249480540	26043800324
2026-06-29	8046120	7391040	9217688	7714792	7587564	8500888	8042332	9672456	7911316	9737964	9606948	9672456	9606948	8628116	9737964	9541440	9606948	8107840	9475932	9541440
2026-07-06	926168517	592905037	612456929	724218849	185998588	191109736	171213828	201272404	154404604	219963972	219752816	202283820	198516380	215128844	201295644	253469924	184808492	193746608	176188136	177599084
2026-07-13	26598520	259585536	201679032	256881176	258244968	363169940	298089388	429287168	277088884	375594076	427064700	47007532	374716840	404088536	22866220	22302172	47521448	21720608	43240104	22858484
2026-07-20	7707212	7718580	9283196	8238856	7718580	8173348	7976824	41465832	8238856	9999996	9475932	390516260	9606948	8759132	26245980	9934488	9279408	8107840	9606948	29184496
2026-07-27	2890128	2186592	2465176	2456900	2252100	2456900	2718932	12185124	2260376	2997516	2866500	2669976	3063024	2530684	2604468	2866500	2997516	2522408	2800992	40161020
2026-08-03	381680	6665964	4000096	0	0	0	0	0	0	0	3989112	0	0	0	57209068	51721364	0	0	0	0
2026-08-10	747283001	500528961	543583269	767995669	0	0	0	0	0	0	0	0	0	0	5949644	5112920	0	0	0	0
