week_start	Miscellaneous
2021-05-10	2542027975752
2021-05-24	185662168
2021-06-07	139306332
2021-06-14	46435444
2022-01-24	49208437
2022-07-11	2600338907678
2022-08-08	2542027975752
2022-08-22	2542027975111
2022-08-29	641
2022-12-26	528049340
2024-07-22	13007985
2024-08-26	18583202
2024-09-09	3545467040566
2024-10-14	95299345
2024-11-04	8893417
2025-01-20	641
2025-02-03	26611964
2025-05-12	113418060
2025-08-11	8207062514337
2025-08-18	4360027940016
2025-08-25	13490373829185
2025-09-01	641
2025-09-29	9893944
2025-12-15	83155828
2025-12-29	11628326480926
2026-01-12	1923
2026-01-26	2542027975752
2026-02-23	2542027975111
2026-03-23	51100280
2026-04-13	6769128
2026-04-20	10155615
2026-06-15	1128829
2026-06-22	2824515327844
2026-06-29	1282
2026-07-06	1282
2026-07-13	641
2026-07-20	641
2026-07-27	641
