week_start	CHANGES	README	dataset_description.json	derivatives/labels/dataset_description.json	derivatives/labels/sub-21G2022/micr/sub-21G2022_sample-21G2022_BF_seg-axon-manual.png	derivatives/labels/sub-21G2022/micr/sub-21G2022_sample-21G2022_BF_seg-axonmyelin-manual.png	derivatives/labels/sub-21G2022/micr/sub-21G2022_sample-21G2022_BF_seg-myelin-manual.png	derivatives/labels/sub-21G2031/micr/sub-21G2031_sample-21G2031_BF_seg-axon-manual.png	derivatives/labels/sub-21G2031/micr/sub-21G2031_sample-21G2031_BF_seg-axonmyelin-manual.png	derivatives/labels/sub-21G2031/micr/sub-21G2031_sample-21G2031_BF_seg-myelin-manual.png	derivatives/labels/sub-21G207/micr/sub-21G207_sample-21G207_BF_seg-axon-manual.png	derivatives/labels/sub-21G207/micr/sub-21G207_sample-21G207_BF_seg-axonmyelin-manual.png	derivatives/labels/sub-21G207/micr/sub-21G207_sample-21G207_BF_seg-myelin-manual.png	derivatives/labels/sub-22G131440x1/micr/sub-22G131440x1_sample-22G1314_BF_seg-axon-manual.png	derivatives/labels/sub-22G131440x1/micr/sub-22G131440x1_sample-22G1314_BF_seg-axonmyelin-manual.png	derivatives/labels/sub-22G131440x1/micr/sub-22G131440x1_sample-22G1314_BF_seg-myelin-manual.png	derivatives/labels/sub-22G1315/micr/sub-22G1315_sample-22G1315_BF_seg-axon-manual.png	derivatives/labels/sub-22G1315/micr/sub-22G1315_sample-22G1315_BF_seg-axonmyelin-manual.png	derivatives/labels/sub-22G1315/micr/sub-22G1315_sample-22G1315_BF_seg-myelin-manual.png	derivatives/labels/sub-22G132040x3/micr/sub-22G132040x3_sample-22G1320_BF_seg-axon-manual.png	derivatives/labels/sub-22G132040x3/micr/sub-22G132040x3_sample-22G1320_BF_seg-axonmyelin-manual.png	derivatives/labels/sub-22G132040x3/micr/sub-22G132040x3_sample-22G1320_BF_seg-myelin-manual.png	derivatives/labels/sub-22G132340x1/micr/sub-22G132340x1_sample-22G1323_BF_seg-axon-manual.png	derivatives/labels/sub-22G132340x1/micr/sub-22G132340x1_sample-22G1323_BF_seg-axonmyelin-manual.png	derivatives/labels/sub-22G132340x1/micr/sub-22G132340x1_sample-22G1323_BF_seg-myelin-manual.png	derivatives/labels/sub-22G13240x5/micr/sub-22G13240x5_sample-22G132_BF_seg-axon-manual.png	derivatives/labels/sub-22G13240x5/micr/sub-22G13240x5_sample-22G132_BF_seg-axonmyelin-manual.png	derivatives/labels/sub-22G13240x5/micr/sub-22G13240x5_sample-22G132_BF_seg-myelin-manual.png	participants.tsv	samples.json	samples.tsv	sub-21G2022/micr/sub-21G2022_sample-21G2022_BF.json	sub-21G2022/micr/sub-21G2022_sample-21G2022_BF.tif	sub-21G2031/micr/sub-21G2031_sample-21G2031_BF.tif	sub-21G204/micr/sub-21G204_sample-21G204_BF.tif	sub-21G207/micr/sub-21G207_sample-21G207_BF.tif	sub-22G1311/micr/sub-22G1311_sample-22G1311_BF.tif	sub-22G131440x1/micr/sub-22G131440x1_sample-22G1314_BF.tif	sub-22G1315/micr/sub-22G1315_sample-22G1315_BF.tif	sub-22G1319/micr/sub-22G1319_sample-22G1319_BF.tif	sub-22G1320/micr/sub-22G1320_sample-22G1320_BF.tif	sub-22G132040x3/micr/sub-22G132040x3_sample-22G1320_BF.tif	sub-22G132340x1/micr/sub-22G132340x1_sample-22G1323_BF.tif	sub-22G13240x5/micr/sub-22G13240x5_sample-22G132_BF.tif	sub-22G1328/micr/sub-22G1328_sample-22G1328_BF.tif	sub-22G1329/micr/sub-22G1329_sample-22G1329_BF.tif
2025-10-27	3080	2640	965	1204	332600	650996	610048	288476	612448	576308	226044	524348	491216	348532	547892	509908	284468	655952	614708	162844	309332	290352	286924	468416	437968	314752	526820	492876	2048	1772	3232	2898	17012160	16488096	15703058	17339706	17136260	13205780	17340774	13205780	16219148	13205780	13271288	11813592	15171020	15891608
2025-11-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-24	1540	1056	386	602	166300	325498	305024	144238	306224	288154	113022	262174	245608	174266	273946	254954	142234	327976	307354	81422	154666	145176	143462	234208	218984	157376	263410	246438	1024	1329	1616	3528	9085692	9085692	9086750	9085698	8882252	8882252	9086766	8882252	8882252	8882252	8882252	6871272	8882252	8882252
2025-12-01	770	528	193	301	83150	162749	152512	72119	153112	144077	56511	131087	122804	87133	136973	127477	71117	163988	153677	40711	77333	72588	71731	117104	109492	78688	131705	123219	512	443	808	1764	9085692	4542846	4543375	4542849	4441126	4441126	4543383	4441126	4441126	4441126	4441126	3435636	4441126	4441126
2025-12-08	3080	2112	386	1204	332600	650996	610048	288476	612448	576308	226044	524348	491216	348532	547892	509908	284468	655952	614708	162844	309332	290352	286924	468416	437968	314752	526820	492876	2048	1772	3232	5292	18171384	18171384	13630125	13628547	13323378	13323378	9086766	8882252	8882252	8882252	8882252	6871272	8882252	8882252
2025-12-15	9240	6336	2123	3612	997800	1952988	1830144	865428	1837344	1728924	678132	1573044	1596452	1045596	1643676	1529724	924521	1967856	1997801	488532	927996	943644	860772	1405248	1423396	944256	1712165	1478628	6144	5316	10504	20160	54514152	54514152	54520500	49971339	48538264	48852386	49560834	48852386	48852386	48538264	48852386	37791996	48472756	48852386
2025-12-22	0	528	0	0	0	162749	0	0	153112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4542846	0	0	0	0	0	0	4441126	0	0	0	0	0	0
2025-12-29	0	0	0	0	0	0	0	0	0	0	0	0	0	87133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4542846	0	0	0	0	0	0	0	0	0	3435636	0	0
2026-01-05	0	0	0	0	83150	0	0	72119	0	0	0	0	0	0	136973	0	0	0	0	0	0	0	0	0	0	78688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-12	2310	1584	579	903	249450	488247	457536	216357	459336	432231	226044	393261	736824	261399	410919	382431	213351	491964	461031	122133	231999	217764	215193	351312	656952	236064	395115	369657	1536	1329	2424	378	13628538	0	0	13628547	0	0	13630149	13323378	0	0	0	0	0	0
2026-01-19	1540	528	386	301	83150	162749	152512	72119	153112	288154	56511	131087	122804	87133	136973	254954	71117	163988	153677	81422	77333	72588	71731	117104	109492	78688	131705	246438	1024	443	808	1890	4542846	4542846	4543375	4542849	4441126	17764504	4543383	4441126	4441126	4441126	22205630	3435636	4441126	8882252
2026-01-26	0	0	0	301	0	0	152512	0	0	0	0	131087	0	0	0	0	0	163988	0	0	77333	0	71731	117104	0	0	0	0	0	443	0	0	0	0	4543375	4542849	4441126	4441126	4543383	0	0	4441126	0	0	0	0
2026-02-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4441126	0	0	0	4441126	0
2026-02-16	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	4542846	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-09	0	0	0	0	0	162749	0	0	153112	0	0	131087	0	0	136973	0	0	163988	0	0	0	0	0	117104	0	0	131705	0	0	0	0	0	4542846	4542846	0	4542849	0	4441126	4543383	0	0	0	4441126	3435636	0	0
2026-03-16	0	1056	0	0	0	325498	0	0	306224	0	0	0	245608	174266	0	0	142234	0	307354	0	0	145176	0	0	218984	0	263410	0	0	0	1616	0	9085692	9085692	0	0	0	0	0	8882252	0	0	0	6871272	0	4441126
2026-03-23	0	0	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	8882252	4441126	0	0	0	0
2026-03-30	5390	3696	1544	602	166300	325498	305024	144238	306224	288154	113022	262174	245608	174266	273946	254954	142234	327976	307354	81422	154666	145176	143462	234208	218984	157376	263410	246438	3072	2658	8080	4032	9085692	9085692	9086750	9085698	8882252	8882252	13630149	8882252	13323378	8882252	8882252	6871272	8882252	8882252
2026-04-06	1540	1584	579	602	83150	162749	152512	72119	153112	144077	56511	131087	122804	87133	136973	127477	71117	163988	153677	40711	77333	72588	71731	117104	109492	78688	131705	123219	1536	886	808	2142	4542846	4542846	4543375	4542849	4441126	4441126	4543383	4441126	4441126	4441126	4441126	3435636	4441126	8882252
