week_start	Microscopy	Miscellaneous
2025-10-27	213004050	10582067
2025-11-03	0	126
2025-11-24	123359886	5293195
2025-12-01	66222789	2646376
2025-12-08	159499746	10583354
2025-12-15	690684187	32417502
2025-12-22	8983972	316389
2025-12-29	7978482	87133
2026-01-05	0	370930
2026-01-12	54210612	8687613
2026-01-19	97208951	3083461
2026-01-26	26952985	714499
2026-02-02	8882252	0
2026-02-16	4542846	319
2026-03-09	30489812	996718
2026-03-16	38366034	2131426
2026-03-23	13323378	427
2026-03-30	132344395	5311188
2026-04-06	66121069	2650734
2026-04-13	88531213	2649760
2026-04-20	33924908	1964177
2026-04-27	13323378	808
2026-05-04	34930938	1074051
2026-05-11	66222792	2646888
2026-05-18	116773764	5874976
2026-05-25	14797740	587609
2026-06-01	4441126	2839
2026-06-08	207265793	8707876
2026-06-15	16205730	2465142
2026-06-22	10546788	2121148
2026-06-29	8983972	662703
2026-07-06	98305760	4603536
2026-07-13	4441126	2641057
2026-07-20	54819136	3540608
2026-08-10	0	3889
