	date	bytes_sent
0	2021-06-08	1818028649
1	2021-08-06	3228687467
2	2021-09-14	2610858659
3	2021-09-28	14919543
4	2021-09-30	2740975083
5	2021-10-30	455420248
6	2021-12-21	1666374252
7	2022-01-07	44058116
8	2022-02-10	739092125
9	2022-03-15	1427072002
10	2022-04-13	404509650
11	2022-04-14	37307604
12	2022-04-16	567024589
13	2022-04-17	356124012
14	2022-04-25	2516301
15	2022-05-17	3319081
16	2022-05-19	52163856
17	2022-06-27	26545600
18	2022-07-12	1102062247
19	2022-07-13	2923238651
20	2022-07-14	3008225462
21	2022-07-15	508963496
22	2022-07-27	16441034
23	2022-07-31	67108864
24	2022-08-01	369411129
25	2022-08-02	701100030
26	2022-08-03	572685978
27	2022-08-04	60305782
28	2022-08-05	5242880
29	2022-08-07	154223035
30	2022-08-08	681656863
31	2022-08-09	979891328
32	2022-08-10	577564420
33	2022-08-11	661529007
34	2022-08-12	738908459
35	2022-08-13	443665771
36	2022-08-14	436730153
37	2022-08-16	26151054
38	2022-08-18	68956849
39	2022-08-19	41440343
40	2022-08-20	12265145
41	2022-08-21	80539268
42	2022-08-22	64567253
43	2022-08-23	116617267
44	2022-08-24	724602994
45	2022-08-25	1103829772
46	2022-08-26	1286487313
47	2022-08-27	1556903236
48	2022-08-28	1501058987
49	2022-08-29	739274376
50	2022-08-30	232397762
51	2022-08-31	1821261811
52	2022-09-01	320734057
53	2022-09-06	13486304
54	2022-09-10	85323004
55	2022-09-11	43413642
56	2022-09-12	6474906200
57	2022-10-03	3450511657
58	2022-10-04	2833111264
59	2022-10-20	5790437577
60	2022-10-25	1396916375
61	2022-12-18	4196753570
62	2023-01-04	6948103525
63	2023-01-05	46075918
64	2023-02-01	28868340
65	2023-02-07	5256445929
66	2023-02-17	41541447
67	2023-02-19	22470714
68	2023-02-20	44070242
69	2023-02-21	67108864
70	2023-02-22	23792531
71	2023-02-26	65413617
72	2023-04-11	76385898
73	2023-04-12	110789073
74	2023-04-13	161906849
75	2023-04-14	37320568
76	2023-04-15	97086833
77	2023-04-16	71399208
78	2023-04-17	2230513135
79	2023-04-18	3084115439
80	2023-04-19	258609613
81	2023-05-09	86693953
82	2023-05-23	6165693
83	2023-05-25	6312544
