region	bytes_sent
GitHub	377088624569
US/California	190299857030
AWS/us-east-2	17679732288
DE/North Rhine-Westphalia	77257460685
NL/Flevoland	41166234671
US/Maryland	38725818734
VN/Ho Chi Minh	121979611
AU/South Australia	223015633031
AWS/us-east-1	75726195821
VPN	60248952536
DE/State of Berlin	30101603162
GB/England	1279712216
GCP/us-west1	39693043757
US/Virginia	51045975048
US/Rhode Island	233388772
US/Tennessee	45155757376
CA/Ontario	65488402838
PT/Lisbon	359609169
CA/Quebec	89245639930
US/Washington	55235187581
US/Massachusetts	4592792721
US/New Mexico	20681925387
AWS/ap-southeast-1	8705763325
NL/North Holland	30376324143
US/Missouri	11753012472
HK/Hong Kong	3998202115
CN/Shanghai	16755985864
IN/Maharashtra	98684176
UA/Kyiv City	53520036
NO/Oslo	1416525255
IE/Leinster	60191320
US/Pennsylvania	358603480
AU/Queensland	31921084
US/Georgia	349675553
EG/Cairo	8959140
GCP/us-east1	66587252
UA/Chernivtsi	9755508
AU/Victoria	21634664
US/Alabama	12210976
US/New York	732428730
GCP/us-central1	1548944417
IT/Piedmont	50584028
FR/Île-de-France	40494
NL/South Holland	44058116
HU/Baranya	459057215
US/Wisconsin	132806141
NZ/Wellington Region	7897316
US/Indiana	5951440
US/West Virginia	15394380
AWS/ap-northeast-2	36782920
NL/North Brabant	33746820
UA/Kiev	20110956
VN/Da Nang	7698224
US/Arizona	11812792
IN/Delhi	8428228
NZ/Auckland	32680240
US/Texas	13756680
US/Florida	37915535
DE/Thuringia	30133680
NZ/Bay of Plenty	10153740
IE/Connacht	13036092
DZ/Oran	9302136
FR/Normandy	6747324
NO/Vestland	4061496
RU/Novosibirsk Oblast	9490052
GCP/asia-east1	2249391
BR/Paraná	13471892
US/Oklahoma	12741888
CN/Zhejiang	48893535
CN/Beijing	8892776
US/New Jersey	25351048
IN/Rajasthan	6157752
