week_start	Microscopy	Miscellaneous
2021-04-19	226730764	1158
2021-06-21	226730764	74056
2021-09-27	1049887	0
2022-06-27	562667	0
2022-07-11	236364604	1158
2022-07-25	5958834	0
2022-08-01	50168284	400
2022-08-08	170603646	758
2022-08-22	234080200	1158
2022-08-29	59883697	0
2022-09-05	1140895	0
2022-11-21	21507	0
2023-02-13	3539202	0
2023-02-20	5845919	0
2023-04-10	29727374	0
2023-05-08	1555199	0
2023-09-11	171586	0
2023-10-16	8003024	0
2023-10-23	12002777	51
2023-10-30	10265988	92
2023-11-06	809959	0
2023-12-18	0	153
2024-02-26	1886433	0
2024-03-04	929836	289
2024-03-25	0	289
2024-04-01	685768	0
2024-04-08	196690	0
2024-04-15	0	289
2024-04-22	1794225	670
2024-05-06	1159356	408
2024-05-13	606260	289
2024-05-20	1882253	0
2024-06-03	0	578
2024-06-10	43169694	4924
2024-06-17	1888453	863
2024-06-24	0	51
2024-07-08	0	867
2024-07-15	929836	0
2024-07-22	228613017	74341
2024-07-29	16762740	4311
2024-08-05	10794046	4014
2024-08-12	16329	4303
2024-08-19	580289	2019
2024-08-26	73435503	8767
2024-09-02	86091656	2244
2024-09-09	64143168	1009
2024-09-16	3455129	1714
2024-09-23	14980670	5791
2024-09-30	3748278	1401
2024-10-07	1730192	1718
2024-10-14	4781390	863
2024-10-21	4878946	863
2024-10-28	228200588	74634
2024-11-04	4453750	1441
2024-11-11	16855361	2015
2024-11-18	12352300	7789
2024-11-25	16196297	3452
2024-12-02	28694807	910
2025-02-10	562667	0
2025-02-17	992532	0
2025-03-17	0	584
2025-07-21	10358122	0
2025-07-28	65497519	342
2025-08-04	46856251	150
2025-08-11	58591426	411335
2025-08-18	21248844	289
2025-08-25	26160327	0
2025-09-01	40499238	320
2025-09-08	41375213	1999
2025-09-29	0	136
2025-10-06	1873660	0
2025-10-20	0	92
2025-11-17	325884	0
2025-11-24	178426	0
2025-12-01	1179318	0
2025-12-08	5181535	0
2025-12-15	924675586	296224
2025-12-22	27218871	400
2025-12-29	16154999	0
2026-01-05	18539824	438
2026-01-12	330335413	3474
2026-01-19	45755159	289
2026-01-26	78553041	31
2026-02-02	28376926	0
2026-02-23	1682945	0
2026-03-02	5603656	0
2026-03-09	2516922	0
2026-03-16	164510991	1085
2026-03-23	19730411	257
2026-03-30	15582179	1140
2026-04-06	17629242	0
2026-04-13	7407573	92
2026-04-20	156333661	892
2026-04-27	8274275	0
2026-05-04	1799939	867
2026-05-11	6831451	0
