region	bytes_sent
GitHub	32417263768
US/Rhode Island	10498274347
VPN	10359562331
GB/England	7134393968
AWS/us-east-2	6827652568
US/California	6319635262
US/Massachusetts	4040537108
GCP/us-east1	3717070638
AWS/us-east-1	3310926833
US/New York	3283049057
GCP/us-central1	3024525457
PT/Lisbon	2803612984
US/Maryland	1491735440
TR/Kahramanmaraş	1481132997
CA/Ontario	1400542717
TW/Taiwan	1218408045
KR/Seoul	1218408045
US/New Mexico	975789016
JP/Kyoto	975789016
NL/North Holland	975789016
DK/Capital Region	975789016
DE/Hesse	975789016
IN/Maharashtra	783768776
CA/Quebec	528851776
US/Georgia	493633260
US/Florida	449328656
US/North Carolina	430789892
US/Virginia	402700360
GCP/us-east4	401960105
ES/Madrid	355483249
VN/Kiên Giang Province	345390192
VN/Ho Chi Minh	345390192
SE/Stockholm	283989252
DE/Rheinland-Pfalz	248655220
US/Louisiana	240255004
IT/Lombardy	240255004
IL/Central District	240255004
DE/Baden-Wurttemberg	216343962
CN/Shanghai	192940820
CH/Vaud	171656536
US/Michigan	82519952
US/Texas	54781153
AWS/ap-southeast-1	21290100
HU/Budapest	19372742
GR/Central Macedonia	17884629
MX/Mexico City	8843580
