asset_path	bytes_sent	number_of_requests	number_of_downloads
sub-7/sub-7_ses-20200213T113524_ophys.nwb	42339915771	5974	263
sub-164/sub-164_ses-20200124T161514_ophys.nwb	16179840913	43442	79
sub-9/sub-9_ses-20200204T154200_ophys.nwb	16949356466	4134	114
sub-163/sub-163_ses-20200212T160655_ophys.nwb	26838017915	7663	148
sub-8/sub-8_ses-20200204T180138_ophys.nwb	32671050712	64087	220
sub-164/sub-164_ses-20200124T161514_image+ophys.nwb	14377304668	1575	95
sub-164/sub-164_ses-20200124T161514_image+ophys/dfbe7f63-8653-4084-aa84-c282ffcd7871_external_file_0.mkv	7683204895	169	47
