week_start	sub-163/sub-163_ses-20200212T160655_ophys.nwb	sub-164/sub-164_ses-20200124T161514_image+ophys.nwb	sub-164/sub-164_ses-20200124T161514_image+ophys/dfbe7f63-8653-4084-aa84-c282ffcd7871_external_file_0.mkv	sub-164/sub-164_ses-20200124T161514_ophys.nwb	sub-7/sub-7_ses-20200213T113524_ophys.nwb	sub-8/sub-8_ses-20200204T180138_ophys.nwb	sub-9/sub-9_ses-20200204T154200_ophys.nwb
2021-11-08	240255004	0	0	192940820	81471376	427174336	297866296
2021-11-15	0	0	0	0	0	163255520	0
2022-04-11	289923928	0	0	244441728	468937648	218003104	249749848
2022-05-16	0	0	0	169808	0	0	0
2022-07-11	152983368	0	0	137989444	72663313	158738880	164087497
2022-07-25	0	0	0	0	182134672	163255520	0
2022-08-01	0	0	0	117440512	3353921568	3101854880	0
2022-08-08	0	0	0	0	3642693440	3265110400	0
2022-08-15	172277014	0	0	155661270	2212107087	1279494523	223558533
2022-08-22	49288	0	0	193165148	546936536	326688032	197467304
2022-08-29	480818008	0	0	1737017436	1093120392	163561848	227066468
2022-09-05	480510008	0	0	1942862381	1639212048	489766560	591609000
2022-09-19	0	0	0	192940820	182134672	163255520	0
2022-09-26	1201275020	0	0	771763280	910673360	653022080	394406000
2022-10-03	240255004	0	0	192940820	182134672	163255520	0
2022-10-10	0	0	0	0	182134672	0	0
2022-10-17	0	0	0	192940820	182134672	0	0
2022-10-24	480510008	0	0	0	182134672	163255520	394406000
2022-10-31	0	0	0	0	182134672	163255520	0
2022-11-07	274464294	0	0	0	0	163255520	0
2022-11-14	240255004	0	0	0	0	6370944	0
2022-12-05	176422968	0	0	165680680	247559856	137767360	174205040
2022-12-12	0	0	0	0	377370913	462351557	289005895
2023-01-02	91712289	0	0	82985892	133222447	100605948	330790918
2023-02-13	207180959	0	0	257653071	410985822	379293783	76083981
2023-03-06	240255004	0	0	0	0	0	0
2023-03-27	0	0	0	192940820	0	0	197203000
2023-04-03	511119692	0	0	963242781	620420343	689403185	403081914
2023-04-10	170118955	0	0	189664560	282638703	261798531	144900635
2023-04-17	745747214	0	0	1829060372	443371399	744156434	226858299
2023-04-24	131097971	0	0	547487992	1188846510	1006149287	213252796
2023-05-01	1773624779	0	0	876476955	1135352546	839973168	904877105
2023-05-08	1852200748	0	0	853744057	449672337	1034681337	1049512449
2023-05-15	1528026568	0	0	1394202983	1202912091	877736878	707646829
2023-05-22	625496639	0	0	1101719071	1722677720	638633952	612123934
2023-05-29	343986234	0	0	810109274	1807238614	692522348	455641264
2023-06-05	1096299567	0	0	302309639	400297385	668063931	943368998
2023-06-12	470375893	0	0	1032555487	1284772554	183890892	651313063
2023-06-19	641258476	0	0	789334870	102879060	654414072	226734980
2023-06-26	1301053216	58720256	389530754	347539460	546668948	376437232	1141917805
2023-07-03	1436449064	0	0	22449480	487445028	1182222876	465630864
2023-07-10	842535556	0	0	860728	1221200136	11332884	319482516
2023-07-17	2447771928	201350180	200609925	899016	462130376	485817200	2264518416
2023-07-24	1338840196	805400720	200609925	0	928874876	1031140520	1185601656
