week_start	sub-Temp-pref-F34-B34-5dpf-01-unsorted-nac/sub-Temp-pref-F34-B34-5dpf-01-unsorted-nac_ses-20230705T120200_behavior.nwb	sub-Temp-pref-F34-B34-5dpf-02-unsorted-nac/sub-Temp-pref-F34-B34-5dpf-02-unsorted-nac_ses-20230705T123600_behavior.nwb	sub-Temp-pref-F34-B34-5dpf-03-unsorted-nac/sub-Temp-pref-F34-B34-5dpf-03-unsorted-nac_ses-20230705T131900_behavior.nwb	sub-Temp-pref-F34-B34-5dpf-04-unsorted-nac/sub-Temp-pref-F34-B34-5dpf-04-unsorted-nac_ses-20230705T135300_behavior.nwb	sub-Temp-pref-F34-B34-5dpf-05-unsorted-nac/sub-Temp-pref-F34-B34-5dpf-05-unsorted-nac_ses-20230705T142500_behavior.nwb	sub-Temp-pref-F34-B34-5dpf-06-unsorted-nac/sub-Temp-pref-F34-B34-5dpf-06-unsorted-nac_ses-20230705T145700_behavior.nwb	sub-Temp-pref-F34-B34-5dpf-07-unsorted-nac/sub-Temp-pref-F34-B34-5dpf-07-unsorted-nac_ses-20230705T153000_behavior.nwb	sub-Temp-pref-F34-B34-5dpf-08-unsorted-nac/sub-Temp-pref-F34-B34-5dpf-08-unsorted-nac_ses-20230705T160300_behavior.nwb	sub-Temp-pref-F34-B34-6dpf-09-unsorted-nac/sub-Temp-pref-F34-B34-6dpf-09-unsorted-nac_ses-20230706T102500_behavior.nwb	sub-Temp-pref-F34-B34-6dpf-10-unsorted-nac/sub-Temp-pref-F34-B34-6dpf-10-unsorted-nac_ses-20230706T105700_behavior.nwb	sub-Temp-pref-F34-B34-6dpf-11-unsorted-nac/sub-Temp-pref-F34-B34-6dpf-11-unsorted-nac_ses-20230706T113000_behavior.nwb	sub-Temp-pref-F34-B34-6dpf-12-unsorted-nac/sub-Temp-pref-F34-B34-6dpf-12-unsorted-nac_ses-20230706T120200_behavior.nwb	sub-Temp-pref-F34-B34-6dpf-13-unsorted-nac/sub-Temp-pref-F34-B34-6dpf-13-unsorted-nac_ses-20230706T123400_behavior.nwb	sub-Temp-pref-F34-B34-6dpf-14-unsorted-nac/sub-Temp-pref-F34-B34-6dpf-14-unsorted-nac_ses-20230706T130500_behavior.nwb	sub-Temp-pref-F34-B34-6dpf-15-unsorted-nac/sub-Temp-pref-F34-B34-6dpf-15-unsorted-nac_ses-20230706T160600_behavior.nwb	sub-Temp-pref-F34-B34-6dpf-16-unsorted-nac/sub-Temp-pref-F34-B34-6dpf-16-unsorted-nac_ses-20230706T163800_behavior.nwb
2025-03-10	31635096	6659282	6674782	6583790	7187151	7264590	6682493	6608543	7558961	6737041	6716521	6468470	7150466	4394530	8083616	7142377
2025-04-14	9765864	9741238	9756850	9600294	9154855	9560226	9240329	9690499	9723637	9622473	9667573	9550426	9446270	9572798	9724116	9634705
2025-06-23	351162	350502	350892	350736	351354	350664	351150	350874	350742	351174	350976	351228	350766	349860	350712	350808
2025-07-14	351162	350502	350892	350736	351354	350664	351150	350874	350742	351174	350976	351228	350766	349860	350712	350808
2025-07-21	0	0	9756850	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	9765864	9741238	0	9600294	9154855	0	0	0	9723637	0	0	0	0	9572798	0	0
2025-08-04	0	0	0	0	0	9560226	9240329	0	0	0	0	0	0	0	0	0
2025-08-11	0	0	0	0	0	0	0	9690499	0	0	0	9550426	9446270	0	9724116	0
2025-08-18	0	0	0	0	0	0	0	0	0	9622473	0	0	0	0	0	0
2025-08-25	9765864	9741238	0	0	0	0	0	9690499	0	0	0	0	9446270	0	0	0
2025-09-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9634705
2025-09-08	0	0	0	9600294	9154855	0	9240329	0	0	0	9667573	0	0	0	0	0
2025-09-29	0	0	5916994	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	0	0	26432918	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	20967732	23937020	30060488	25649754	23108059	20107014	23652089	23512687	24593953	23371950	24537889	20293738	22089314	20971190	20205396	22146733
2025-12-29	0	0	0	0	0	0	0	0	9723637	0	0	0	0	0	9724116	0
2026-01-05	0	0	0	0	0	0	0	0	0	0	0	9550426	0	9572798	0	0
2026-01-12	0	0	29270550	0	0	28680678	0	0	0	28867419	0	0	0	0	29172348	0
2026-01-19	29297592	0	0	0	0	0	0	0	29170911	0	0	0	0	0	0	0
2026-01-26	9765864	0	0	0	9154855	9560226	9240329	0	0	9622473	9667573	0	9446270	0	0	9634705
2026-02-02	0	9741238	0	9600294	0	0	0	9690499	0	0	0	0	0	0	0	0
2026-02-16	19674124	16991400	18232210	17551590	17695723	19734852	13981733	13714782	18170544	18024049	0	0	0	0	0	0
2026-02-23	6241484	6151350	0	0	6625859	6605078	0	0	0	0	0	0	6528014	0	0	0
2026-03-02	0	0	5851486	5563914	0	0	5584933	7554551	0	6069477	7420949	5550938	0	6961742	7104784	6224789
2026-03-09	0	0	0	0	0	0	0	0	12611590	0	0	0	0	0	0	0
