week_start	sub-1/sub-1_ses-2_ecephys+image.nwb	sub-10/sub-10_ses-1_ecephys+image.nwb	sub-11/sub-11_ses-1_ecephys+image.nwb	sub-12/sub-12_ses-1_ecephys+image.nwb	sub-12/sub-12_ses-2_ecephys+image.nwb	sub-13/sub-13_ses-1_ecephys+image.nwb	sub-14/sub-14_ses-1_ecephys+image.nwb	sub-15/sub-15_ses-1_ecephys+image.nwb	sub-16/sub-16_ses-1_ecephys+image.nwb	sub-16/sub-16_ses-2_ecephys+image.nwb	sub-17/sub-17_ses-1_ecephys+image.nwb	sub-18/sub-18_ses-1_ecephys+image.nwb	sub-19/sub-19_ses-1_ecephys+image.nwb	sub-19/sub-19_ses-2_ecephys+image.nwb	sub-2/sub-2_ses-1_ecephys+image.nwb	sub-2/sub-2_ses-2_ecephys+image.nwb	sub-20/sub-20_ses-1_ecephys+image.nwb	sub-21/sub-21_ses-1_ecephys+image.nwb	sub-22/sub-22_ses-1_ecephys+image.nwb	sub-23/sub-23_ses-1_ecephys+image.nwb	sub-24/sub-24_ses-2_ecephys+image.nwb	sub-24/sub-24_ses-3_ecephys+image.nwb	sub-25/sub-25_ses-1_ecephys+image.nwb	sub-26/sub-26_ses-1_ecephys+image.nwb	sub-27/sub-27_ses-1_ecephys+image.nwb	sub-27/sub-27_ses-2_ecephys+image.nwb	sub-28/sub-28_ses-1_ecephys+image.nwb	sub-29/sub-29_ses-1_ecephys+image.nwb	sub-3/sub-3_ses-2_ecephys+image.nwb	sub-30/sub-30_ses-1_ecephys+image.nwb	sub-31/sub-31_ses-1_ecephys+image.nwb	sub-32/sub-32_ses-2_ecephys+image.nwb	sub-33/sub-33_ses-1_ecephys+image.nwb	sub-34/sub-34_ses-1_ecephys+image.nwb	sub-35/sub-35_ses-1_ecephys+image.nwb	sub-36/sub-36_ses-1_ecephys+image.nwb	sub-37/sub-37_ses-1_ecephys+image.nwb	sub-38/sub-38_ses-1_ecephys+image.nwb	sub-39/sub-39_ses-1_ecephys+image.nwb	sub-4/sub-4_ses-1_ecephys+image.nwb	sub-5/sub-5_ses-1_ecephys+image.nwb	sub-5/sub-5_ses-2_ecephys+image.nwb	sub-6/sub-6_ses-1_ecephys+image.nwb	sub-7/sub-7_ses-1_ecephys+image.nwb	sub-8/sub-8_ses-1_ecephys+image.nwb	sub-9/sub-9_ses-1_ecephys+image.nwb
2024-09-02	2059864899	4439349312	1543391904	2602631159	1061198400	1284379424	2630690072	1363818989	1757387379	684863248	2185573668	4483544960	7474997432	3383205068	3121950865	3651335263	7183067068	2491229836	2362826968	1999010539	1707329444	2133428816	1511371420	1884781115	2715286482	2470302878	3550779757	2916804471	3044317597	3366562144	1702388985	2230389988	2035461952	2689928742	1153037684	1994563106	2099740414	754018742	1309678872	3010677073	3094562920	1692492264	5855073676	1441119870	4422492165	1747429052
2024-09-09	163758252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	732982780	0	0	188743680	0	0	0	0	0	194598355	266333237	233107415	0	0	0	0	0	0	130718484	0	0	0	0	146800640	0	0	0	0	0	0
2024-09-16	19134496	557495908	360609008	369896985	13762560	240521856	27970676	4389036	27152919	220856644	23740597	607148612	6878340	614014812	4651068	367714348	251162892	45900672	9764112	18753785	13107200	0	34075976	0	16674170	20575112	17496236	10497611	16847733	7767129	4913100	13107200	10602464	15885122	4716576	17234204	18001594	20227078	19658000	19723508	6878340	6812832	7827460	5502672	8038173	7858607
2024-09-23	0	0	0	0	0	0	0	172511595	182866455	0	157286400	0	183068084	0	58604657	183378665	186494288	179269148	155516176	142223609	181178416	183316810	178257920	148602825	182873466	182818115	182447157	179973707	178527929	180520025	152043520	0	0	0	0	0	0	0	0	0	31919462	0	0	0	0	178776495
2024-09-30	437534103	557495908	457328	0	195230083	228460864	474862648	209211755	0	189664196	0	597143280	0	614014812	567164017	0	0	0	359988496	566896889	301764656	0	0	0	496312918	296892183	0	413193287	148957028	229803097	36881004	256295531	361351136	377793396	176675432	305628238	244562262	0	414763778	266900100	0	257869024	113222912	0	519350045	0
2024-10-07	0	15828972	17877484	0	196581344	0	0	0	0	95997892	0	0	0	0	0	0	0	0	0	97766608	102221152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102024628	0
2024-10-14	1791584561	2229983632	1365575808	1109690955	976150415	913843456	949725296	627635265	696668695	189664196	620711241	0	0	1842044436	567164017	0	1261284688	630156828	719976992	1133793778	603529312	801608670	1248445941	559349650	952949492	564865670	428725368	0	2140175076	728041650	1188688404	256295531	1084053408	1217844860	176675432	611256476	733686786	350051708	1514675480	710050322	965614284	515738048	685338628	949542747	519350045	1527233805
2024-10-21	438056172	0	0	369896985	0	0	0	0	0	0	620711241	597143280	0	0	0	0	0	0	0	566896889	301764656	0	0	0	476474746	0	748678197	510275147	535043769	0	297172101	0	0	0	176675432	305628238	0	0	0	0	482807142	257869024	0	316514249	0	0
2024-10-28	180632983	190096780	178864672	181153305	145419363	181274944	181261368	189613663	153416948	189463192	19914432	0	191387600	80671708	179190897	191239625	196517012	179269148	155516176	142223609	191135632	189474562	185987864	155808705	36700160	10022724	10088232	7860960	10088232	0	8188500	0	83478496	147548990	2161764	0	6223260	85896894	0	182010121	178720102	179225824	182022148	188060329	178562845	178776495
2024-11-04	437534103	557495908	341393952	369896985	195230083	228460864	474862648	209211755	696668695	189664196	620711241	597143280	1048143284	614014812	567164017	587080425	1261284688	630156828	359988496	566896889	301764656	267202890	416148647	279674825	476474746	282432835	748678197	510275147	535043769	364020825	297172101	256295531	361351136	608922430	176675432	305628238	244562262	175025854	378668870	355025161	482807142	257869024	685338628	316514249	519350045	509077935
2024-11-18	56555580	56686652	79558968	16447772	31588352	4651068	43514112	37224448	61274172	40565020	0	26607616	43515904	69597496	17234092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9564168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-02	437534103	0	341393952	580410418	195230083	228460864	0	209211755	0	189664196	620711241	0	528049588	951205560	281951345	0	1261284688	293601280	359988496	0	301764656	0	416148647	0	476474746	564865670	748678197	510275147	0	218103808	297172101	512591062	0	243269632	353350864	0	0	0	378668870	0	0	257869024	970551300	316514249	519350045	0
