region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/NY	106559504506	5409	358	114
USA/NH	157686935279	691501	4376	3360
HKG/KKC	25552661533	633	46	8
NLD	8160886228	360	13	13
USA/VT	16604989623	72266	460	108
AWS/us-west-2	23517903608	2290	150	99
USA/CA	349911442730	2370	838	73
GH-actions	117965516088	70353	680	370
DEU/BW	8759512189	24	24	0
VPN	70843581662	4433	510	257
GBR/SCT	20665003724	46	46	0
CHN	40057328582	2365	5	51
USA/MT	20665003724	46	46	0
GBR/ENG	29731993615	72	72	0
USA/WA	1132044508	776	88	88
USA/MA	52614604048	701	58	94
USA	30064305211	1766	47	19
DEU/SN	58956599704	138	133	5
AWS/us-east-1	49863712963	4157	92	92
POL/14	20882499023	52	46	6
USA/AZ	36238863743	84	83	1
USA/OR	20665003724	46	46	0
GBR	20906047080	52	47	4
ITA/45	8172363387	1580	0	46
AWS/ap-southeast-1	552690996	101	101	0
CAN/ON	20665003724	46	46	0
JPN/28	20665003724	46	46	0
ESP/CT	20682687300	47	46	1
USA/TX	21102537827	47	47	0
USA/IL	731420401	320	28	4
GCP/us-central1	22425623622	216	52	1
USA/UT	20722545400	221	92	46
MEX/CMX	123137916	2065	71	50
FRA/ARA	20668417560	48	46	1
DEU/HE	20847756528	342	48	7
CHE/VD	7695406608	4896	129	98
ROU	20671292492	47	46	1
KOR/44	20701966028	187	46	46
BEL/BRU	106083280	237	54	30
DEU/BE	640565351	3659	294	188
POL/10	20679248628	48	46	2
COL/DC	20665003724	46	46	0
CHN/SH	22042492062	1145	57	46
SGP	21015286966	70	48	13
USA/MD	48060144	36	10	10
CHE/ZH	55843532	40	11	11
AWS/us-east-2	733917810	2	2	0
RUS/MOW	20802906	14	1	2
CHN/SN	235435752	6	6	0
USA/VA	1855354489	12	12	0
NGA/LA	2030748	1	1	0
VNM/SG	26399724	3	3	0
VNM/DN	24827532	2	2	0
UKR/30	14411760	2	2	0
BGD/C	18800796	2	2	0
KEN/30	1441176	1	1	0
CHL/RM	1675125977	8	8	0
NLD/ZH	1218985762	51	11	4
BRA/BA	12446520	1	1	0
IRQ/KI	19914432	1	1	0
GUY/DE	15656412	1	1	0
QAT/DA	52537416	1	1	0
ECU/P	12446520	2	2	0
ETH/OR	9695184	1	1	0
VNM/13	3537432	1	1	0
MAR/02	1441176	1	1	0
PAK/SD	5633688	1	1	0
MEX/NLE	3406416	1	1	0
RUS/NVS	917112	1	1	0
SAU/02	2620320	1	1	0
COL/VAC	10022724	3	3	0
DEU/NW	12407492	28	1	1
VNM/HN	22534752	2	2	0
USA/GA	8909088	1	1	0
VEN/A	2685828	1	1	0
SEN/DK	1113636	1	1	0
ETH/AA	917112	1	1	0
IDN/BA	3995988	1	1	0
ALB/11	7205880	1	1	0
HKG	17097588	3	3	0
VNM/HP	14084220	2	2	0
IRQ/BG	1375668	1	1	0
BGD/D	5306148	1	1	0
PAK/BA	1113636	1	1	0
DOM/25	1113636	1	1	0
USA/IA	28102932	1	1	0
IND/GJ	1768716	1	1	0
IRQ	4454544	1	1	0
JPN/26	434129416	79	3	1
TUR/44	10874328	1	1	0
BGD	2685828	1	1	0
GCP/us-east1	271352358	1155	7	5
GCP/us-east4	82928976	331	3	2
GCP/us-west1	121609374	495	3	2
POL/12	37328858	163	1	1
GCP/us-west3	38287350	165	1	1
EST/37	175025854	1	1	0
JPN/13	437534119	2	1	1
FRA/IDF	5900208	9	3	3
PRY/11	3995988	1	1	0
DOM/06	7205880	1	1	0
KAZ/75	3733956	1	1	0
RUS	784683	18	0	2
KOR/11	4127004	1	1	0
NLD/LI	437534103	1	1	0
ITA	272443200	686	2	1
ARG/B	2096256	1	1	0
PRY/10	7205880	1	1	0
DZA/35	2685828	1	1	0
MAR/04	1113636	1	1	0
HND/FM	12381012	1	1	0
ARE/DU	13560156	1	1	0
