region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
AWS/us-east-1	1600135850595	190940	225	160
VPN	2194356891	755	335	118
USA/MA	1744775178319	36095	0	188
AWS/ap-southeast-1	1748080980	307	307	0
GitHub	7806341092	26336	1804	1129
USA/CA	1080771150680	338	136	11
MEX/CMX	87130905	328	67	47
GCP/us-central1	4645459690	1068	2	21
USA	298161664768	38	38	0
USA/MD	46607942	50	10	5
AWS/us-west-2	2896923596	383	9	6
JPN/13	7991093228	1	1	0
IND/MH	8010614612	2	2	0
CHE/VD	2657480	10	2	1
USA/DC	3863045	1	0	1
ESP/CT	3733956	1	1	0
USA/IL	9364989	9	2	2
ARE/DU	146066577	78	1	1
FRA/IDF	10274988	15	3	3
