date	bytes_sent
2024-11-19	117425913266
2024-11-20	6463585576
2024-11-22	141780764
2024-11-27	16770048
2024-12-03	4742539693
2024-12-04	1209802083
2024-12-05	820119893
2024-12-06	745026487
2024-12-07	4760908
2024-12-09	7390835199
2024-12-10	2097411742
2024-12-11	1607720379
2024-12-12	1303249297
2024-12-13	9011200
2024-12-16	163743960
2024-12-18	55058336
2024-12-20	98059076
2024-12-28	23956420
2024-12-30	65031568
2025-01-15	162881280
2025-01-16	43425704
2025-01-23	56252779
2025-02-10	328850160
2025-02-18	18800796
2025-02-26	63400984
2025-03-13	409600
2025-03-14	398666
2025-03-17	213818112
2025-04-02	55183428
2025-04-06	1831000864
2025-04-11	31270651
2025-05-15	10485760
2025-05-28	83762828
2025-05-30	4221784
2025-06-03	39632340
2025-07-26	2778726400
2025-07-27	524288000
2025-07-29	4928307200
2025-07-30	2778726400
2025-07-31	10615986055
2025-08-01	3452736334
2025-08-02	13560458242
2025-08-03	10118758400
2025-08-04	21581599327
2025-08-05	4852919963
2025-08-07	1992294400
2025-08-12	3061666766
2025-08-13	10322772409
2025-08-14	4968345537
2025-08-15	12163297301
2025-08-16	2726297600
2025-08-19	5085593600
2025-08-21	5872025600
2025-08-22	4238265718
2025-08-28	1360787783
2025-08-29	10385404138
2025-08-31	4572731069
2025-09-01	10949383310
2025-09-03	5846500842
2025-09-04	3263402189
2025-09-08	3827302400
2025-09-10	3651531605
2025-09-12	6710886400
2025-10-08	63437127
2025-12-15	2432696320
2025-12-16	172220532
2025-12-18	24268334573
2025-12-19	93316422998
2025-12-21	5662310400
2025-12-22	5932881967
2025-12-24	3453071003
2025-12-26	5929697280
2025-12-28	5155283864
2026-01-01	7642770408
2026-01-03	4720164956
2026-01-16	15320870920
2026-01-17	21586501340
2026-01-18	4224362316
2026-01-19	14607729828
2026-01-23	10879034501
2026-01-27	11778901086
2026-01-28	5866733398
2026-01-29	3535925848
2026-01-30	13579059200
2026-02-01	11310631842
2026-02-02	3753405210
2026-02-05	14076134099
2026-02-20	78045585
2026-02-24	310293164
2026-02-26	229794063
2026-02-27	79857836
2026-02-28	75167203
2026-03-01	104404555
2026-03-02	179380312
2026-03-03	223684100
2026-03-04	146349942
2026-03-06	86062239
2026-03-07	49766400
2026-03-08	108407421
2026-03-10	54917404
2026-03-19	75596232
2026-03-26	25417995
2026-03-28	30723253
2026-03-29	250318433
2026-03-30	10301308
2026-04-01	4127004
2026-04-02	20438496
2026-04-04	8843580
2026-04-05	1
2026-04-06	5699196
2026-04-07	6550800
2026-04-11	6550800
2026-04-18	1
2026-04-20	9891708
2026-04-21	2947860
