date	bytes_sent
2023-06-29	1277285853
2023-06-30	6507001
2023-07-01	8544797
2023-07-02	365468
2023-07-04	1538006
2023-07-06	400558
2023-07-11	300733
2023-07-12	8130701
2023-07-15	3097348
2023-07-16	788937
2023-07-17	1639535
2023-07-18	111086
2023-07-19	855686
2023-07-20	1791506
2023-07-21	260967
2023-07-22	966655
2023-07-23	1044595
2023-07-24	6394804
2023-07-25	9281736
2023-07-26	1232252
2023-07-29	1394319
2023-07-31	516941
2023-08-02	2100928
2023-08-04	6758199
2023-08-07	446584
2023-08-09	620437
2023-08-10	1045910204
2023-08-12	599034
2023-08-13	794228
2023-08-16	7303951
2023-08-18	643707407
2023-08-19	1031543
2023-08-22	115993
2023-08-25	856171
2023-08-28	134519666
2023-08-29	25973972
2023-08-30	639522
2023-08-31	79546060
2023-09-02	951104
2023-09-03	8861757
2023-09-04	1013335
2023-09-08	1201639
2023-09-11	356631
2023-09-16	983601
2023-09-17	5242880
2023-09-18	651295
2023-09-21	1039021
2023-09-22	699434
2023-09-24	7568759
2023-09-25	2384022
2023-09-27	90707
2023-09-29	68233
2023-10-01	91858
2023-10-09	8813872
2023-10-16	274332
2023-10-21	76643286
2023-10-22	25432626
2023-10-23	18579020
2023-10-24	25646859
2023-10-25	16777216
2023-10-26	54877338
2023-10-27	1759556
2023-10-29	870278
2023-10-31	16491412
2023-11-01	10686355
2023-11-02	29276691
2023-11-03	25973972
2023-11-04	1984112
2023-11-05	50331648
2023-11-10	460130
2023-11-14	1395261
2023-11-17	25973972
2023-11-18	25646859
2023-11-19	2153472332
2023-11-21	2451207883
2023-11-23	517507
2023-11-27	1623095971
2023-11-29	7271134
2023-12-04	2041054
2023-12-11	1751445184
2024-01-04	25973972
2024-01-22	102186614
2024-01-23	62270553
2024-01-24	119256154
2024-01-25	27679557
2024-01-26	128561934
2024-01-27	69642501
2024-01-28	23686508
2024-01-29	38471784
2024-01-30	76064912
2024-01-31	61009920
2024-02-01	28474561
2024-02-02	49934349
2024-02-03	64778249
2024-02-04	49241369
2024-02-21	397773536
2024-02-22	312807420
2024-02-23	174321268
2024-03-08	113671700
2024-03-10	57778056
2024-03-11	30068172
2024-03-12	590815736
2024-03-13	2316038512
2024-03-14	551062865
2024-03-15	526405701
2024-03-16	468328483
2024-03-17	831531346
2024-03-18	976505528
2024-03-19	378905054
2024-03-20	807376495
2024-03-21	586674865
2024-03-22	172097028
2024-03-25	392900784
2024-03-26	264024786
2024-03-27	251556329
2024-03-28	1033899291
2024-03-29	329417665
2024-03-30	111997260
2024-04-02	135168788
2024-04-03	114729852
2024-04-04	223552459
2024-04-05	324335252
2024-04-06	53812834
2024-04-07	354354639
2024-04-08	99539250
2024-04-09	163070285
2024-04-10	515906533
2024-04-11	106417290
2024-04-12	81099572
2024-04-13	33389272
2024-04-14	65923916
2024-04-15	180465052
2024-04-16	20803584
2024-04-17	104975648
2024-04-18	132324756
2024-04-19	303324338
2024-04-20	36029400
2024-04-21	89466192
2024-04-22	163532988
2024-04-23	600806658
2024-04-24	404519482
2024-04-25	261261999
2024-04-26	222936395
2024-04-27	191738136
2024-04-28	29478984
2024-04-29	132035946
2024-04-30	73588736
2024-05-01	124442125
2024-05-02	587613654
2024-05-03	69491832
2024-05-04	85885052
2024-05-05	286993772
2024-05-06	62363616
2024-05-07	166233593
2024-05-08	44551776
2024-05-09	136079878
2024-05-10	329303364
2024-05-11	30879264
2024-05-12	87421455
2024-05-13	92307183
2024-05-14	64120164
2024-05-15	108588304
2024-05-16	307642966
2024-05-17	141698788
2024-05-18	178271787
2024-05-21	119443326
2024-05-22	104732092
2024-05-23	52864956
2024-05-24	85229384
2024-05-25	229677439
2024-05-26	170525242
2024-05-27	103954101
2024-05-28	118598304
2024-05-29	67610592
2024-05-30	207553336
2024-05-31	293664842
2024-06-01	127819972
2024-06-02	247496156
2024-06-03	66303692
2024-06-04	110647447
2024-06-05	57214170
2024-06-06	190913206
2024-06-07	25926476
2024-06-08	94478336
2024-06-09	115469500
2024-06-11	626312098
2024-06-12	94711254
2024-06-23	7795452
2024-07-09	768336420
2024-07-10	176771223
2024-07-13	331442415
2024-07-14	278276013
2024-07-15	234202657
2024-07-16	264769491
2024-07-17	211235542
2024-07-18	160039586
2024-07-19	272824384
2024-07-20	29724944
2024-07-25	294523968
2024-07-28	101013024
2024-08-04	53361986
2024-08-10	60218518
2024-08-11	12184488
2024-08-17	9564168
2024-08-23	22141704
2024-08-24	51012266
2024-08-26	7795452
2024-08-27	56171003
2024-08-29	21486624
2024-08-30	396585432
2024-08-31	45649794
2024-09-02	48673540
2024-09-03	32894475
2024-09-04	49379239
2024-09-05	54380202
2024-09-07	36610012
2024-09-08	217027115
2024-09-09	137039196
2024-09-10	190581183
2024-09-11	242939504
2024-09-20	83915748
2024-09-21	399064895
2024-09-22	148887970
2024-09-23	130804377
2024-09-24	102047180
2024-09-25	1144920094
2024-09-26	132289717
2024-09-27	4520052
2024-09-29	52341055
2024-09-30	29478600
2024-10-03	4061496
2024-10-18	13101600
2024-10-23	1458081572
2024-10-30	170451816
2024-11-03	15132348
2024-11-04	6026736
2024-11-12	20897052
2024-11-13	19914432
2024-11-14	12905076
2024-11-26	1516699583
2024-11-28	4127004
2024-12-02	113847224
2024-12-03	41943040
