date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2025-07-14	1561986	29	29	0
2025-07-21	914056	14	14	0
2025-08-08	1428177645	1200	1200	0
2025-10-07	5573803598	3798	0	1
2025-10-11	4794252358	3799	0	1
2025-10-12	55975863	44	0	1
2025-10-22	4947242272	3787	0	1
2026-02-05	779733736	626	612	3
2026-03-02	12523633	84	84	0
2026-04-13	15283535132	11361	11361	0
2026-05-29	8502	3	0	3
2026-06-29	15283535132	11361	11361	0
2026-07-30	151783	67	67	0
2026-07-31	5668	2	2	0
