week_start	sub-01/sub-01_ses-01.nwb	sub-01/sub-01_ses-02.nwb	sub-01/sub-01_ses-03.nwb	sub-01/sub-01_ses-04.nwb	sub-01/sub-01_ses-20161214T171300_behavior+ecephys.nwb	sub-01/sub-01_ses-20161214T173600_behavior+ecephys.nwb	sub-01/sub-01_ses-20161217T121400_behavior+ecephys.nwb	sub-01/sub-01_ses-20161217T122800_behavior+ecephys.nwb	sub-02/sub-02_ses-01.nwb	sub-02/sub-02_ses-02.nwb	sub-02/sub-02_ses-03.nwb	sub-02/sub-02_ses-04.nwb	sub-02/sub-02_ses-05.nwb	sub-02/sub-02_ses-06.nwb	sub-02/sub-02_ses-07.nwb	sub-02/sub-02_ses-20160211T115600_behavior+ecephys.nwb	sub-02/sub-02_ses-20160211T120600_behavior+ecephys.nwb	sub-02/sub-02_ses-20160211T153300_behavior+ecephys.nwb	sub-02/sub-02_ses-20160212T165900_behavior+ecephys.nwb	sub-02/sub-02_ses-20160213T153700_obj-136ipd1_behavior+ecephys.nwb	sub-02/sub-02_ses-20160213T153700_obj-1f4urbp_behavior+ecephys.nwb	sub-02/sub-02_ses-20160213T153700_obj-1qctcfn_behavior+ecephys.nwb	sub-02/sub-02_ses-20160213T153700_obj-1s87l12_behavior+ecephys.nwb	sub-02/sub-02_ses-20160213T153700_obj-1uo96nx_behavior+ecephys.nwb	sub-02/sub-02_ses-20160213T153700_obj-lcaqlc_behavior+ecephys.nwb	sub-03/sub-03_ses-01.nwb	sub-03/sub-03_ses-02.nwb	sub-03/sub-03_ses-03.nwb	sub-03/sub-03_ses-20150304T165900_behavior+ecephys.nwb	sub-03/sub-03_ses-20150305T085500_behavior+ecephys.nwb	sub-03/sub-03_ses-20150306T173300_behavior+ecephys.nwb	sub-04/sub-04_ses-01.nwb	sub-04/sub-04_ses-02.nwb	sub-04/sub-04_ses-20170118T103700_behavior+ecephys.nwb	sub-04/sub-04_ses-20170118T104700_behavior+ecephys.nwb	sub-05/sub-05_ses-01.nwb	sub-05/sub-05_ses-02.nwb	sub-05/sub-05_ses-03.nwb	sub-05/sub-05_ses-20170706T115300_obj-17gax9n_behavior+ecephys.nwb	sub-05/sub-05_ses-20170706T115300_obj-18w1jo9_behavior+ecephys.nwb	sub-05/sub-05_ses-20170706T115300_obj-1m3bzkg_behavior+ecephys.nwb	sub-05/sub-05_ses-20170706T115300_obj-1uq55tf_behavior+ecephys.nwb	sub-05/sub-05_ses-20170706T141100_behavior+ecephys.nwb	sub-06/sub-06_ses-01.nwb	sub-06/sub-06_ses-02.nwb	sub-06/sub-06_ses-03.nwb	sub-06/sub-06_ses-04.nwb	sub-06/sub-06_ses-05.nwb	sub-06/sub-06_ses-06.nwb	sub-06/sub-06_ses-07.nwb	sub-06/sub-06_ses-20140827T165900_behavior+ecephys.nwb	sub-06/sub-06_ses-20140827T171200_behavior+ecephys.nwb	sub-06/sub-06_ses-20140827T172100_behavior+ecephys.nwb	sub-06/sub-06_ses-20140828T102600_behavior+ecephys.nwb	sub-06/sub-06_ses-20140828T145500_behavior+ecephys.nwb	sub-06/sub-06_ses-20140828T151000_behavior+ecephys.nwb	sub-06/sub-06_ses-20140828T152100_behavior+ecephys.nwb	sub-07/sub-07_ses-01.nwb	sub-07/sub-07_ses-02.nwb	sub-07/sub-07_ses-03.nwb	sub-07/sub-07_ses-04.nwb	sub-07/sub-07_ses-20160302T170100_behavior+ecephys.nwb	sub-07/sub-07_ses-20160303T164000_behavior+ecephys.nwb	sub-07/sub-07_ses-20160305T103200_obj-1d0jeko_behavior+ecephys.nwb	sub-07/sub-07_ses-20160305T103200_obj-1wdu15t_behavior+ecephys.nwb	sub-07/sub-07_ses-20160305T103200_obj-9hzkt8_behavior+ecephys.nwb	sub-07/sub-07_ses-20160305T103200_obj-boqvfp_behavior+ecephys.nwb	sub-08/sub-08_ses-01.nwb	sub-08/sub-08_ses-02.nwb	sub-08/sub-08_ses-03.nwb	sub-08/sub-08_ses-04.nwb	sub-08/sub-08_ses-05.nwb	sub-08/sub-08_ses-20170111T115400_behavior+ecephys.nwb	sub-08/sub-08_ses-20170111T120500_behavior+ecephys.nwb	sub-08/sub-08_ses-20170113T121400_behavior+ecephys.nwb	sub-08/sub-08_ses-20170113T121600_behavior+ecephys.nwb	sub-09/sub-09_ses-01.nwb	sub-09/sub-09_ses-02.nwb	sub-09/sub-09_ses-20150115T144300_obj-106jgmp_behavior+ecephys.nwb	sub-09/sub-09_ses-20150115T144300_obj-13cfy3x_behavior+ecephys.nwb	sub-09/sub-09_ses-20150115T144300_obj-1qba6e_behavior+ecephys.nwb	sub-09/sub-09_ses-20150115T144300_obj-u2fzwy_behavior+ecephys.nwb
2023-09-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8870829642	9290568028	11219915446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	679477248	1106784989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1643286350	4539896989	0	0	0	0	0	0	0	0	0	0	0	0	4030932850	0	9454479214
2023-09-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1375220445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-09	0	0	0	0	2622485374	1138087270	1249042491	1241513984	0	0	0	0	0	0	0	1959184418	3915656655	1384120320	2134276755	9793884508	3841982464	3332313917	126792	0	0	0	0	0	1207959552	1485024814	1006558119	0	0	1768937888	1834251893	0	0	0	1123564805	805306368	0	0	553648128	0	0	0	0	0	0	0	2290947275	1517252482	1484783616	1567763491	1474843962	1452492172	1499102735	0	0	0	0	2042433316	1764208514	1886555934	2140755053	0	0	0	0	0	0	0	1947321320	1906835754	1434451968	1688090417	0	0	4127712902	0	4037122645	0
2023-10-16	0	0	0	0	2853536472	0	1391648827	0	0	0	0	0	0	0	0	2665166322	5912145359	0	0	0	6373323651	0	278288	0	6373321051	0	0	0	1541642104	1543745070	1560206247	0	0	2507135392	2555672181	0	0	0	0	1355186134	1377259730	0	1378846404	0	0	0	0	0	0	0	3457206903	2565828482	0	0	2447922490	0	2497347087	0	0	0	0	4378467912	0	2708639518	0	0	2694403229	0	0	0	0	0	2442249192	0	0	2384344881	0	0	5939393347	0	5823896149	0
2023-10-23	0	0	0	0	0	2762713804	1391648827	0	0	0	0	0	0	0	0	4092205134	9752304542	2714684855	0	6186783068	0	0	5538706061	0	6373321051	0	0	0	1541642104	0	1560206247	0	0	0	2555672181	0	0	0	1375223045	1355186134	1355183534	2750440890	1378846404	0	0	0	0	0	0	0	2623617603	2565828482	2518435740	0	2447922490	0	1501560832	0	0	0	0	2528972580	2527571842	2708639518	2694403181	0	0	0	0	0	0	0	0	0	2386821460	2384344881	0	0	0	0	3170893824	0
2023-10-30	0	0	0	0	820509119	1381356902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173432	0	0	0	0	0	929273720	0	0	0	0	0	0	0	0	0	905969664	1355186134	1031798784	0	752815496	0	0	0	0	0	0	0	1332105180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-06	0	0	0	0	1427925039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1147962192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-13	0	0	0	0	1423815895	1381356902	0	0	0	0	0	0	0	0	0	2778652406	0	0	0	41917752	0	0	238035838	29413092	0	0	0	0	0	0	0	0	0	51920628	0	0	0	0	0	1355186134	28299456	30068172	0	0	0	0	0	0	0	0	567037248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28758012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-20	0	0	0	0	0	0	1391648827	1392505007	0	0	0	0	0	0	0	0	0	2714684855	2662759059	6186783068	6373323651	11077035642	232657667	6186783068	6373321051	0	0	0	0	1543745070	1560206247	0	0	2528516528	0	0	0	0	1375223045	1355186134	0	1375220445	1378846404	0	0	0	0	0	0	0	5126176422	0	2518435740	2574396451	2447922490	2442347916	0	0	0	0	0	2528972580	2527571842	2708639518	2694403181	2708639566	0	0	0	0	0	0	2442249192	0	0	2384344881	0	0	0	5823894457	5823896149	5939393463
2023-11-27	0	0	0	0	1382545855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7821744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1088584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
