week_start	sub-anm101105/sub-anm101105_ses-20100619_behavior+icephys.nwb	sub-anm101105/sub-anm101105_ses-20100620_behavior+icephys.nwb	sub-anm101105/sub-anm101105_ses-20100621_behavior+icephys.nwb	sub-anm106213/sub-anm106213_ses-20100822_behavior+icephys.nwb	sub-anm106213/sub-anm106213_ses-20101214_behavior+icephys.nwb	sub-anm106213/sub-anm106213_ses-20101215_obj-1copi4i_behavior+icephys.nwb	sub-anm106213/sub-anm106213_ses-20101215_obj-1ykz3wz_behavior+icephys.nwb	sub-anm131970/sub-anm131970_ses-20110511_behavior+icephys.nwb	sub-anm134333/sub-anm134333_ses-20110601_behavior+icephys.nwb	sub-anm134333/sub-anm134333_ses-20110606_behavior+icephys.nwb	sub-anm134333/sub-anm134333_ses-20110607_behavior+icephys.nwb	sub-anm17702/sub-anm17702_ses-20100430_behavior+icephys.nwb	sub-anm17702/sub-anm17702_ses-20100507_behavior+icephys.nwb	sub-anm211295/sub-anm211295_ses-20131015_behavior+icephys+ogen.nwb	sub-anm215592/sub-anm215592_ses-20131015_obj-8s1awh_behavior+icephys+ogen.nwb	sub-anm215592/sub-anm215592_ses-20131015_obj-odx8px_behavior+icephys+ogen.nwb	sub-anm215592/sub-anm215592_ses-20131017_behavior+icephys+ogen.nwb	sub-anm215592/sub-anm215592_ses-20131023_behavior+icephys+ogen.nwb	sub-anm217330/sub-anm217330_ses-20131126_behavior+icephys+ogen.nwb	sub-anm226692/sub-anm226692_ses-20140224_behavior+icephys+ogen.nwb	sub-anm226694/sub-anm226694_ses-20140222_obj-1noi7y3_behavior+icephys+ogen.nwb	sub-anm226694/sub-anm226694_ses-20140222_obj-cj20ns_behavior+icephys+ogen.nwb	sub-anm226694/sub-anm226694_ses-20140225_behavior+icephys+ogen.nwb	sub-anm226695/sub-anm226695_ses-20140224_obj-1d0uka0_behavior+icephys+ogen.nwb	sub-anm226695/sub-anm226695_ses-20140224_obj-y42tpg_behavior+icephys+ogen.nwb	sub-anm226695/sub-anm226695_ses-20140225_behavior+icephys+ogen.nwb	sub-anm234230/sub-anm234230_ses-20140119_behavior+icephys+ogen.nwb	sub-anm234231/sub-anm234231_ses-20140126_behavior+icephys+ogen.nwb	sub-anm234232/sub-anm234232_ses-20140108_behavior+icephys+ogen.nwb	sub-anm244024/sub-anm244024_ses-20141111_behavior+icephys+ogen.nwb	sub-anm244024/sub-anm244024_ses-20141112_obj-1otlhm2_behavior+icephys+ogen.nwb	sub-anm244024/sub-anm244024_ses-20141112_obj-8tj80c_behavior+icephys+ogen.nwb	sub-anm244024/sub-anm244024_ses-20141112_obj-jyoa6b_behavior+icephys+ogen.nwb	sub-anm244025/sub-anm244025_ses-20141026_obj-1q7bmz0_behavior+icephys+ogen.nwb	sub-anm244025/sub-anm244025_ses-20141026_obj-gspsia_behavior+icephys+ogen.nwb	sub-anm244028/sub-anm244028_ses-20141021_obj-15ygrjz_behavior+icephys+ogen.nwb	sub-anm244028/sub-anm244028_ses-20141021_obj-1a5sqoc_behavior+icephys+ogen.nwb	sub-anm244028/sub-anm244028_ses-20141022_behavior+icephys+ogen.nwb	sub-anm266945/sub-anm266945_ses-20141221_behavior+icephys+ogen.nwb	sub-anm266945/sub-anm266945_ses-20141222_obj-14qffnp_behavior+icephys+ogen.nwb	sub-anm266945/sub-anm266945_ses-20141222_obj-1574tgg_behavior+icephys+ogen.nwb	sub-anm266951/sub-anm266951_ses-20141201_obj-10p0o3z_behavior+icephys+ogen.nwb	sub-anm266951/sub-anm266951_ses-20141201_obj-1i6vt6d_behavior+icephys+ogen.nwb	sub-jf35892/sub-jf35892_ses-20100219_behavior+icephys.nwb	sub-jf35892/sub-jf35892_ses-20100308_behavior+icephys.nwb	sub-jf35892/sub-jf35892_ses-20100310_behavior+icephys.nwb	sub-jf35892/sub-jf35892_ses-20100311_behavior+icephys.nwb	sub-jf37166/sub-jf37166_ses-20100304_behavior+icephys.nwb	sub-jf42400/sub-jf42400_ses-20100612_behavior+icephys.nwb	sub-jf42400/sub-jf42400_ses-20100613_behavior+icephys.nwb	sub-jf42400/sub-jf42400_ses-20100615_behavior+icephys.nwb
2022-08-01	0	243269632	169742632	0	0	218356672	0	131392644	0	0	0	0	0	0	0	0	0	209715200	0	0	0	0	0	0	0	185745920	100663296	205199208	159417272	50331648	0	155854248	1055543808	0	0	0	0	0	50331648	75497472	0	646324224	0	0	0	0	0	0	0	0	0
2022-08-08	209819910	0	0	0	0	0	0	0	201239666	0	0	0	401426600	342510480	0	243015536	408192656	0	294757856	477849944	0	0	314659328	125596392	0	0	0	0	0	0	0	0	767668224	173347496	109674664	95743320	127569024	199449328	0	0	59919248	760381440	0	216937600	0	354855208	0	168567520	0	165022032	0
2022-08-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335854848	0	0	0	0	0	0	0	0	418209792	0	0	0	0	0	0	0	0	0
2022-08-22	419639820	0	186519848	177562230	211611372	0	0	190112900	201239666	213197378	601353724	172149624	0	342510480	175337576	243015536	0	479840020	294757856	477849944	0	0	0	0	0	227090688	0	205199208	159417272	0	51959304	0	479792640	0	0	95743320	0	0	125596392	410398416	59919248	494247936	0	216937600	0	354855208	175731744	168567520	0	0	166813482
2022-08-29	0	0	0	0	0	0	0	0	0	0	3006768620	0	0	0	0	0	408192656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	767668224	2426864944	0	0	0	0	0	0	1018627216	0	0	0	261718344	0	0	0	0	0	0
2022-09-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	719688960	0	0	0	0	0	0	0	1018627216	0	0	0	0	0	0	0	0	0	0
2022-09-12	0	0	0	0	0	0	0	190112900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-11-14	0	0	0	0	0	0	0	0	0	0	5242880	0	5242880	5242880	5242880	1843056	5242880	0	5242880	14750668	9058217	0	0	0	0	0	0	0	0	20307384	0	5242880	0	0	0	0	0	5352824	5242880	0	0	0	0	6403657	0	17055672	0	0	5209105	5242880	5242880
2022-11-21	0	0	8428228	0	6437308	0	0	0	0	0	0	0	0	0	0	0	0	0	13206436	0	7133661	0	6636400	0	0	0	0	0	0	0	0	0	0	0	0	0	107805035	0	0	0	0	0	18249162	0	150575226	0	128972392	0	0	0	0
2022-11-28	209819910	256402090	0	177562230	0	344185792	335218330	190112900	201239666	0	601353724	172149624	401426600	0	175337576	243015536	0	479840020	294757856	477849944	288786824	191268496	314659328	125596392	195248560	0	195248560	0	159417272	95743320	51959304	264906152	47979264	173347496	109674664	95743320	255138048	99724664	251192784	205199208	59919248	38019072	135758592	216937600	261718344	709710416	175731744	168567520	213402834	165022032	333626964
2022-12-12	286289606	373523732	207183718	293788738	154426214	282541447	203931937	242753939	224405645	210171036	188072762	172443626	212723760	216011068	349600048	414470389	169322821	426116733	274875936	256892230	175563617	176127242	103060478	148122572	173240877	234891212	214915593	136476159	169425416	162821729	373753716	233996650	381022864	239302073	180870033	175065418	219293851	176457241	183757281	187176379	336921641	0	301685116	136807041	268568542	227990239	174731777	223507441	226163877	163813547	226892060
2022-12-26	0	0	0	0	0	0	0	190112900	0	0	0	172149624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-01-02	335894351	10186405	327234318	248397638	193346465	155322597	205525556	341534408	217834726	231175711	201210075	287084098	241592100	246834856	242789466	298766038	305600647	306397898	362008226	334069865	319568807	383310077	353246247	246766616	245908519	273082397	260374298	171246315	208909182	205525556	213622019	319040709	187771834	243552128	190062799	210103734	89688656	224604792	88659545	243121231	234623935	0	271155910	145135254	204861916	318873392	203996425	345187242	278160540	281113214	210136447
2023-01-09	0	0	0	0	0	0	0	2183537019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
