region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
GitHub	29313767444	147327	8117	6112
AWS/us-east-1	21106554451786	2517303	1063	434
USA/MA	20466360445391	391610	2	1409
AWS/ap-southeast-1	1808936348	1971	1971	0
USA	636116932	1180	1180	0
AWS/us-east-2	304600808	196	196	0
VPN	732522160	1479	145	131
CAN/BC	4329022881	6550	161	26
KOR/11	53186220	206	3	2
USA/NY	12383620	64	8	7
MEX/CMX	9149064	41	10	9
GCP/us-central1	2524980	5	5	0
FRA/IDF	2643912	12	3	3
CHE/VD	87380764	334	7	2
GBR/SCT	588664	1	1	0
USA/IL	2311952	11	2	2
VNM/HP	2976607	11	3	1
