week_start	sub-0004/sub-0004.nwb
2024-07-01	599259604
2024-07-08	183728252
2024-07-22	821498536
2024-07-29	9629676
2024-08-26	80447828
2024-09-09	410749268
2024-09-16	180780392
2024-09-23	90470552
2024-10-21	417955148
2024-10-28	80447828
2025-01-20	410749268
2025-01-27	538125492
2025-04-21	410749268
2025-05-26	410749268
2025-06-30	52571608
2025-07-28	410749268
2025-08-11	1966590264
2025-08-25	410749268
2025-09-01	410749268
2025-10-06	325806424
2025-12-15	835255216
2026-01-12	1232247804
2026-01-19	821498536
2026-01-26	410749268
2026-02-16	15083392
2026-02-23	8229320
2026-03-23	65843816
2026-04-06	6379804
2026-04-27	5969504
2026-05-11	426545112
2026-05-18	836074416
2026-05-25	6314296
2026-06-01	11490828
2026-06-08	431684892
2026-06-15	4029092
2026-06-22	3038196
2026-06-29	18106308
2026-07-06	1316399189
2026-07-13	422151728
2026-07-20	5282020
