week_start	Neurophysiology	Miscellaneous
2024-01-22	18697544278	0
2024-01-29	15656412	0
2024-02-12	18693630318	0
2024-02-26	18608927811	0
2024-03-11	14043015	0
2024-03-18	30025120	0
2024-03-25	17163561	66406
2024-04-01	11420383	4686
2024-04-15	20531595	0
2024-04-29	21804489	0
2024-06-10	0	2484
2024-07-01	1104732205	0
2024-07-08	70137620	568
2024-07-15	0	1136
2024-07-22	10153740	73514
2024-07-29	0	16822
2024-08-19	0	3072
2024-08-26	39026459	125
2024-09-02	347066922	18387
2024-09-09	9486201479	33206
2024-09-16	22719503	0
2024-09-23	7189571	0
2024-09-30	0	568
2024-10-07	0	1742
2024-10-14	0	24358
2024-10-28	7189571	24279
2024-11-04	10153740	91267
2024-11-11	0	205
2024-11-18	0	24426
2024-11-25	0	207
2024-12-16	10938941686	0
2024-12-30	76524099	0
2025-01-13	551544292	0
2025-01-20	1643572014	0
2025-01-27	1773720933	0
2025-02-10	9171120	0
2025-02-17	0	125
2025-02-24	0	17532
2025-03-03	1442901410	363
2025-03-10	0	24360
2025-04-07	0	568
2025-04-14	18608927811	17035
2025-04-21	0	568
2025-05-12	10485760	0
2025-06-30	0	24
2025-07-07	81114912	0
2025-07-21	300663546	194
2025-07-28	18608927811	8774
2025-08-04	0	31611
2025-08-11	0	9559
2025-08-18	0	2
2025-08-25	0	10778
2025-09-01	0	6821
2025-09-08	0	64205
2025-09-22	0	69
2025-09-29	0	213
2025-10-06	19155738	8148
2025-10-13	0	2
2025-10-20	0	6
2025-10-27	0	4
2025-11-03	0	4
2025-12-01	0	12
2025-12-08	0	224
2025-12-15	16770048	361362
2025-12-22	18608927811	7373
2025-12-29	0	8272
2026-01-05	0	424
2026-01-12	0	198725
2026-01-19	0	15347
2026-01-26	0	34435
2026-02-02	18608927811	121
2026-02-09	0	16
2026-02-16	13488974	0
2026-02-23	9296462	205
2026-03-02	5188847	0
2026-03-09	2795754996	73931
2026-03-16	0	31914
2026-03-23	5237803	15825
2026-03-30	0	476
2026-04-06	0	32
2026-04-13	0	391
2026-04-20	0	33050
2026-04-27	21514215	377
2026-05-11	18608927811	8238
2026-05-18	0	34163
