region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/NH	4802306975	4689	1091	960
HKG/KKC	1076905341	73	1	2
AWS/us-east-1	1859324487	230	43	20
USA/VT	159274130	151	35	25
VPN	4562313390	104	75	13
AWS/us-west-2	21418392	22	6	2
MEX/CMX	263101458	307	89	43
USA	887225412	177	2	6
USA/CA	1374892735	19	13	3
USA/NY	1360390639	10	10	0
GitHub	1001723177	1892	564	519
AWS/us-east-2	599803261	4	2	1
GCP/us-central1	2089202901	7	7	0
ITA/45	81127919	20	0	10
USA/MA	4487766748	397	1	25
USA/WA	8794624	6	2	2
USA/DC	123417072	20	20	0
CAN/QC	2417467530	5	5	0
AWS/ap-southeast-1	112084188	24	24	0
CHN	3099965377	123	0	10
GCP/us-west4	483493506	1	1	0
USA/MD	95961832	38	10	11
USA/IL	249254676	12	7	2
CHE/VD	8289665	24	7	6
USA/NJ	20190463	56	17	14
FRA/IDF	48040713	13	4	4
CAN/ON	183019462	2	2	0
CHL/RM	374407347	5	5	0
USA/RI	183348934	3	3	0
NLD	240255160	11	2	2
USA/VA	26596248	4	4	0
CHN/SH	271223406	2	2	0
DEU/NW	14257316	39	13	3
NOR/50	50197623	14	0	2
EST/37	36029099	1	1	0
CHN/GD	787798	6	0	1
