week_start	sub-1/sub-1_ses-1_ecephys+image.nwb	sub-1/sub-1_ses-2_ecephys+image.nwb	sub-10/sub-10_ses-1_ecephys+image.nwb	sub-11/sub-11_ses-1_ecephys+image.nwb	sub-12/sub-12_ses-1_ecephys+image.nwb	sub-12/sub-12_ses-2_ecephys+image.nwb	sub-13/sub-13_ses-1_ecephys+image.nwb	sub-14/sub-14_ses-1_ecephys+image.nwb	sub-15/sub-15_ses-1_ecephys+image.nwb	sub-16/sub-16_ses-1_ecephys+image.nwb	sub-17/sub-17_ses-1_ecephys+image.nwb	sub-18/sub-18_ses-1_ecephys+image.nwb	sub-19/sub-19_ses-1_ecephys+image.nwb	sub-19/sub-19_ses-2_ecephys+image.nwb	sub-2/sub-2_ses-1_ecephys+image.nwb	sub-20/sub-20_ses-1_ecephys+image.nwb	sub-21/sub-21_ses-1_ecephys+image.nwb	sub-22/sub-22_ses-1_ecephys+image.nwb	sub-22/sub-22_ses-2_ecephys+image.nwb	sub-22/sub-22_ses-3_ecephys+image.nwb	sub-23/sub-23_ses-1_ecephys+image.nwb	sub-24/sub-24_ses-1_ecephys+image.nwb	sub-25/sub-25_ses-1_ecephys+image.nwb	sub-26/sub-26_ses-1_ecephys+image.nwb	sub-26/sub-26_ses-2_ecephys+image.nwb	sub-27/sub-27_ses-1_ecephys+image.nwb	sub-28/sub-28_ses-1_ecephys+image.nwb	sub-29/sub-29_ses-1_ecephys+image.nwb	sub-3/sub-3_ses-1_ecephys+image.nwb	sub-30/sub-30_ses-1_ecephys+image.nwb	sub-31/sub-31_ses-1_ecephys+image.nwb	sub-31/sub-31_ses-2_ecephys+image.nwb	sub-32/sub-32_ses-1_ecephys+image.nwb	sub-33/sub-33_ses-1_ecephys+image.nwb	sub-34/sub-34_ses-1_ecephys+image.nwb	sub-35/sub-35_ses-1_ecephys+image.nwb	sub-36/sub-36_ses-1_ecephys+image.nwb	sub-4/sub-4_ses-1_ecephys+image.nwb	sub-5/sub-5_ses-1_ecephys+image.nwb	sub-5/sub-5_ses-2_ecephys+image.nwb	sub-6/sub-6_ses-1_ecephys+image.nwb	sub-7/sub-7_ses-1_ecephys+image.nwb	sub-8/sub-8_ses-1_ecephys+image.nwb	sub-9/sub-9_ses-1_ecephys+image.nwb
2024-04-22	3038071380	2274474708	555355741	2054603472	1062595342	1641737400	2198720100	1600226284	1216442488	3576063952	2657311136	1083061236	0	1862698914	1443445778	1100192000	1110389464	436196162	1742988688	591076952	1028196525	525100570	723724038	1270656840	608787338	673372462	700732752	1074916266	1318889753	664741262	701642134	580664026	772571040	1005255562	63153296	280531040	514880299	1633897892	1507734786	859574056	892515090	3656592678	1399693564	1217321120
2024-04-29	746023151	690697464	519460941	0	19193844	0	569987505	400056571	764330764	41139024	1020324040	0	0	0	0	0	0	0	1172916080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-06	0	2762789856	519460941	0	1037964334	810878730	1099360050	0	764330764	894015988	2040648080	722040824	0	0	2165168667	660115200	555194732	436196162	797343776	294892744	342732175	262550285	0	441545144	325945801	695579674	721105740	557110533	932707749	684328154	350821067	310508477	0	765191242	649440128	0	212097237	2179961576	20438496	19783416	410836135	22469244	475594736	618583230
2024-05-13	746023151	1381394928	519460941	679365152	518982167	405439365	1099360050	0	764330764	1788031976	2040648080	722040824	0	1627817890	1443445778	440076800	555194732	436196162	1607680984	589785488	685464350	525100570	241241346	419993012	304393669	673372462	0	1074916266	911876205	332370631	350821067	290332013	386285520	743704618	314697340	280531040	0	1578973664	755974401	510130292	410836135	2480946490	632422368	596965590
2024-05-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1017832896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-27	0	714738900	0	0	24696516	0	0	800113142	0	0	0	0	0	0	0	0	0	0	821734304	17556144	0	53520036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24303468	0	0
2024-06-03	7800430462	5259349596	7272453174	6793651520	7265750338	4459833015	5496800250	4400622281	9171969168	8940159880	12243888480	4693265356	12479606440	9313494570	7938951779	2200384000	4763761044	5216467378	3422052340	2359141952	3770053925	2100402280	2738778370	3727027432	2739543021	4057845672	3120031740	3800445683	8220249477	2339565001	3179269275	3209505079	3862855200	2974818472	2517578720	1122124160	1529601480	7629865516	8066316115	5101302920	3286689080	9855438616	4280352624	5969655900
2024-06-10	1291616383	1096896393	701299575	1874849883	1285395931	738412871	1518383621	697658200	2183314720	1523597236	1738782417	635030618	1288783974	931349457	721722889	440076800	1110389464	872392324	671661864	294892744	685464350	262550285	482482692	419993012	304393669	673372462	350366376	1074916266	911876205	664741262	0	580664026	386285520	743704618	328650544	140265520	191200185	1089980788	733301465	1020260584	410836135	1231929827	951189472	1193931180
2024-06-17	0	0	0	0	0	0	0	0	0	0	0	0	867396615	604098602	373912026	162776234	335495678	201896617	174291656	236162355	344858126	275354487	97082589	432497487	252607239	257203930	256935095	454502877	1070910679	321843558	504709262	330245318	272957796	303107064	438790609	188884405	305991789	954891379	206372052	202109941	123503704	881888959	24228347	74707292
2024-06-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	702437924	674662409	467588927	0	399729677	411009523
