region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
VPN	15972881441	126	27	6
CAN/QC	278762727	8	3	1
ITA	1552799714	291	5	4
USA/CA	5714909620	17	4	3
MEX/CMX	89128220	128	16	12
AWS/us-east-1	15600786889	1854	15	4
NLD	21257635078	1000	2	2
AWS/ap-southeast-1	44872980	7	7	0
USA/VA	15778017918	37	10	2
CHN	15548748311	2912	0	2
AWS/us-east-2	1247861676	159	5	6
HKG/KKC	105329192	13	0	1
USA/NY	715360267	43	3	2
JPN/13	6138112	11	1	1
USA	30781509046	25	3	2
MYS/14	17945182375	4	4	0
USA/NV	17425128	2	2	0
USA/MA	42163100922	3300	0	8
TWN/TPE	30570850662	3	3	0
USA/IL	62166559	11	2	1
USA/PA	77542715	41	5	2
KOR/30	15471194511	7	5	1
KOR/47	1904793328	3	2	1
USA/MD	30605219023	21	8	2
USA/NH	602538876	1188	108	97
USA/OK	90682112	29	0	1
USA/TX	212729295	25	4	1
GitHub	345923897	1500	32	32
USA/VT	25991947	55	5	4
NOR/50	202881520	48	0	2
HUN/BU	36143331	12	3	1
GBR/ENG	10485760	1	0	1
USA/RI	46331710	10	0	1
CHE/VD	20342563	35	3	1
FRA/IDF	4802680	18	4	3
