region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/MD	39221600	38	10	5
VPN	12757246716	96	36	13
USA/CA	3585468	11	3	3
USA/MI	971104	5	1	1
CHN	14532371872	1748	3	3
USA/MA	24781862831	522	0	23
USA	3483293136	664	6	2
GitHub	19951897468	741	41	110
AWS/ap-southeast-1	70517568	12	12	0
AWS/us-east-1	12592059460	1511	12	4
EST/37	485552	1	1	0
MEX/CMX	5222141148	348	21	20
DEU/NW	3763820	13	3	3
CHE/VD	7893686008	217	13	6
GCP/us-central1	485552	1	1	0
AWS/us-east-2	485552	1	1	0
FRA/IDF	8934792	30	8	8
JPN/26	13816408	26	6	5
CAN/BC	868704	4	1	1
USA/VA	140000000	7	0	3
FRA/ARA	976785584	1	1	0
USA/IL	2530684	8	2	2
