week_start	dataset_description.json	derivatives/sub-Ha1/dwi/sub-Ha1_sample-hemi_desc-CIT168_to_dwi_0GenericAffine.mat	derivatives/sub-Ha1/dwi/sub-Ha1_sample-hemi_desc-CIT168_to_dwi_1InverseWarp.nii.gz	derivatives/sub-Ha1/dwi/sub-Ha1_sample-hemi_desc-CIT168_to_dwi_1Warp.nii.gz	derivatives/sub-Ha1/dwi/sub-Ha1_sample-hemi_desc-CSD_ODFs.nii.gz	derivatives/sub-Ha1/dwi/sub-Ha1_sample-hemi_desc-CSD_l0.nii.gz	derivatives/sub-Ha1/dwi/sub-Ha1_sample-hemi_desc-CSD_peakV1.bvecs	derivatives/sub-Ha1/dwi/sub-Ha1_sample-hemi_desc-CSD_peakV2.bvecs	derivatives/sub-Ha1/dwi/sub-Ha1_sample-hemi_desc-CSD_peakV3.bvecs	derivatives/sub-Ha1/dwi/sub-Ha1_sample-hemi_desc-DTI_FA.nii.gz	derivatives/sub-Ha1/dwi/sub-Ha1_sample-hemi_desc-DWI_biascorr.nii.gz	derivatives/sub-Ha1/dwi/sub-Ha1_sample-hemi_desc-NextBrain_seg.nii.gz	derivatives/sub-Ha1/dwi/sub-Ha1_sample-hemi_desc-b0_mean.nii.gz	derivatives/sub-Ha1/dwi/sub-Ha1_sample-hemi_desc-highb_mean.nii.gz	derivatives/sub-Ha1/dwi/sub-Ha1_sample-hemi_desc-preproc_dwi.bvecs	derivatives/sub-Ha1/dwi/sub-Ha1_sample-hemi_space-CIT168_desc-CSD_tractography.trk	derivatives/sub-Hb1/dwi/sub-Hb1_sample-hemi_desc-CIT168_to_dwi_0GenericAffine.mat	derivatives/sub-Hb1/dwi/sub-Hb1_sample-hemi_desc-CIT168_to_dwi_1InverseWarp.nii.gz	derivatives/sub-Hb1/dwi/sub-Hb1_sample-hemi_desc-CIT168_to_dwi_1Warp.nii.gz	derivatives/sub-Hb1/dwi/sub-Hb1_sample-hemi_desc-CSD_ODFs.nii.gz	derivatives/sub-Hb1/dwi/sub-Hb1_sample-hemi_desc-CSD_l0.nii.gz	derivatives/sub-Hb1/dwi/sub-Hb1_sample-hemi_desc-CSD_peakV1.bvecs	derivatives/sub-Hb1/dwi/sub-Hb1_sample-hemi_desc-CSD_peakV2.bvecs	derivatives/sub-Hb1/dwi/sub-Hb1_sample-hemi_desc-CSD_peakV3.bvecs	derivatives/sub-Hb1/dwi/sub-Hb1_sample-hemi_desc-CSD_tractography.trk	derivatives/sub-Hb1/dwi/sub-Hb1_sample-hemi_desc-DTI_FA.nii.gz	derivatives/sub-Hb1/dwi/sub-Hb1_sample-hemi_desc-DWI_biascorr.nii.gz	derivatives/sub-Hb1/dwi/sub-Hb1_sample-hemi_desc-b0_mean.nii.gz	derivatives/sub-Hb1/dwi/sub-Hb1_sample-hemi_desc-highb_mean.nii.gz	derivatives/sub-Hb1/dwi/sub-Hb1_sample-hemi_desc-highb_norm.nii.gz	derivatives/sub-Hb1/dwi/sub-Hb1_sample-hemi_desc-preproc_dwi.bvecs	derivatives/sub-Hb1/dwi/sub-Hb1_sample-hemi_space-CIT168_desc-CSD_tractography.trk
2026-03-23	1212	193	138474980	537525992	3031865691	38652994	224395264	101740862	136992785	76378514	23873449444	2733889	66188168	54300293	26114	11395369344	579	241827560	340564957	968884224	59316760	99051622	57464703	59309828	3560896796	54520516	23006566233	117485269	42004964	4192512	13058	11949697160
2026-03-30	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-13	0	0	0	0	2618730331	0	0	0	0	0	0	0	0	78286973	13057	12756420992	0	422171151	0	1232114392	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-20	0	0	0	0	0	0	0	0	0	0	15721920	2733889	0	0	0	9957216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
