date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2025-06-24	89467056	30	3	6
2025-06-25	162257580	32	6	6
2025-06-26	57160688	8	8	0
2025-07-03	15937300	1	1	0
2025-07-09	15937300	1	1	0
2025-07-15	73128304	15	0	4
2025-07-29	27647058	1	0	1
2025-07-30	30217256	1	0	1
2025-08-23	15937300	1	0	1
2025-08-28	27647058	1	0	1
2025-08-29	30217256	1	0	1
2025-10-08	39037396	28	2	2
2025-12-16	16049460	3	3	0
2025-12-18	73801614	3	3	0
2025-12-19	30461220	3	3	0
2026-01-18	47811900	6	0	1
2026-01-22	15937300	4	0	1
2026-01-30	30217256	6	0	1
2026-02-05	27647058	6	0	1
2026-02-12	15937300	1	1	0
2026-02-19	73801614	3	3	0
2026-02-20	50933520	30	6	6
2026-02-25	5068736	7	1	1
2026-02-26	27829536	27	6	3
2026-02-27	4937720	7	1	1
2026-02-28	4975800	6	1	1
2026-03-05	15937300	1	1	0
2026-03-06	4965602	6	1	1
2026-03-19	20831544	2	2	0
2026-03-26	11292204	8	2	2
2026-03-29	17221804	32	6	2
2026-03-30	2252100	8	2	2
2026-04-06	30217256	1	1	0
2026-04-07	57864314	2	2	0
2026-04-08	30217256	1	1	0
2026-04-10	34950384	6	2	1
2026-04-11	27647058	1	1	0
2026-04-12	15937300	1	1	0
2026-04-13	69441163	6	5	1
2026-04-14	40919680	8	2	1
2026-04-17	27647058	1	1	0
2026-04-19	27647058	1	1	0
2026-04-22	27647058	1	1	0
2026-04-24	27647058	1	1	0
2026-05-01	118610980	5	5	0
2026-05-02	14346252	1	1	0
2026-05-03	73801614	3	3	0
2026-05-12	15937300	1	1	0
2026-05-15	14638292	18	1	1
2026-05-17	30217256	1	0	1
2026-05-18	4258020	1	1	0
2026-05-19	1048128	1	1	0
2026-05-20	10205012	14	1	1
2026-05-26	6585588	12	1	1
2026-05-27	12201740	26	6	3
2026-05-28	6571840	17	4	3
2026-05-29	43584358	2	2	0
2026-05-30	15937300	1	1	0
2026-06-03	6381204	11	1	1
2026-06-06	29151060	3	3	0
2026-06-10	3587088	15	3	3
2026-06-13	2485516	9	2	1
2026-06-14	39357656	13	2	1
2026-06-27	73801614	3	3	0
2026-06-28	47727476	12	0	1
2026-06-29	5292484	26	4	2
2026-07-02	10270520	14	1	1
2026-07-05	51678846	14	0	2
2026-07-06	213986183	62	2	5
2026-07-07	96641889	21	0	0
2026-07-15	60434512	2	2	0
2026-07-16	10904336	18	1	1
2026-07-18	30217256	1	1	0
2026-07-20	15937300	1	1	0
2026-07-27	10139504	14	1	1
2026-07-28	47534212	56	2	1
2026-08-06	73801614	3	3	0
2026-08-07	7210368	11	2	2
