week_start	sub-10F-0/sub-10F-0_ses-20240928T165427_ecephys.nwb	sub-10F-1/sub-10F-1_ses-20240928T165018_ecephys.nwb	sub-10F-2/sub-10F-2_ses-20240928T165008_ecephys.nwb	sub-10F-3/sub-10F-3_ses-20240928T165423_ecephys.nwb	sub-10F-4/sub-10F-4_ses-20240928T165229_ecephys.nwb	sub-10F-5/sub-10F-5_ses-20240928T165424_ecephys.nwb	sub-10F-6/sub-10F-6_ses-20240928T165427_ecephys.nwb	sub-10F-7/sub-10F-7_ses-20240928T165426_ecephys.nwb	sub-10F-8/sub-10F-8_ses-20240928T165425_ecephys.nwb	sub-11G-0/sub-11G-0_ses-20240928T192015_ecephys.nwb	sub-11G-1/sub-11G-1_ses-20240928T165430_ecephys.nwb	sub-11G-2/sub-11G-2_ses-20240928T165427_ecephys.nwb	sub-11G-3/sub-11G-3_ses-20240928T165427_ecephys.nwb	sub-11G-4/sub-11G-4_ses-20240928T165426_ecephys.nwb	sub-12G-0/sub-12G-0_ses-20240928T165425_ecephys.nwb	sub-12G-1/sub-12G-1_ses-20240928T165245_ecephys.nwb	sub-12G-2/sub-12G-2_ses-20240928T165429_ecephys.nwb	sub-12G-3/sub-12G-3_ses-20240928T165243_ecephys.nwb	sub-1A-0/sub-1A-0_ses-20240928T165245_ecephys.nwb	sub-2B-0/sub-2B-0_ses-20240928T165049_ecephys.nwb	sub-2B-1/sub-2B-1_ses-20240928T165427_ecephys.nwb	sub-2B-2/sub-2B-2_ses-20240928T165424_ecephys.nwb	sub-3C-0/sub-3C-0_ses-20240928T165422_ecephys.nwb	sub-3C-1/sub-3C-1_ses-20240928T165241_ecephys.nwb	sub-3C-2/sub-3C-2_ses-20240928T192008_ecephys.nwb	sub-3C-3/sub-3C-3_ses-20240928T165421_ecephys.nwb	sub-3C-4/sub-3C-4_ses-20240928T165422_ecephys.nwb	sub-3C-5/sub-3C-5_ses-20240928T165422_ecephys.nwb	sub-3C-6/sub-3C-6_ses-20240928T165423_ecephys.nwb	sub-3C-7/sub-3C-7_ses-20240928T165425_ecephys.nwb	sub-4C-0/sub-4C-0_ses-20240928T165242_ecephys.nwb	sub-4C-1/sub-4C-1_ses-20240928T165426_ecephys.nwb	sub-4C-2/sub-4C-2_ses-20240928T164959_ecephys.nwb	sub-4C-3/sub-4C-3_ses-20240928T165423_ecephys.nwb	sub-4C-4/sub-4C-4_ses-20240928T165427_ecephys.nwb	sub-4C-5/sub-4C-5_ses-20240928T192016_ecephys.nwb	sub-5C-0/sub-5C-0_ses-20240928T165424_ecephys.nwb	sub-5C-1/sub-5C-1_ses-20240928T165106_ecephys.nwb	sub-5C-2/sub-5C-2_ses-20240928T165241_ecephys.nwb	sub-5C-3/sub-5C-3_ses-20240928T165243_ecephys.nwb	sub-5C-4/sub-5C-4_ses-20240928T165050_ecephys.nwb	sub-5C-5/sub-5C-5_ses-20240928T165426_ecephys.nwb	sub-6C-0/sub-6C-0_ses-20240928T165425_ecephys.nwb	sub-6C-1/sub-6C-1_ses-20240928T165420_ecephys.nwb	sub-6C-2/sub-6C-2_ses-20240928T165241_ecephys.nwb	sub-6C-3/sub-6C-3_ses-20240928T165422_ecephys.nwb	sub-6C-4/sub-6C-4_ses-20240928T192014_ecephys.nwb	sub-7D-0/sub-7D-0_ses-20240928T165425_ecephys.nwb	sub-7D-1/sub-7D-1_ses-20240928T165425_ecephys.nwb	sub-7D-2/sub-7D-2_ses-20240928T165426_ecephys.nwb	sub-7D-3/sub-7D-3_ses-20240928T165424_ecephys.nwb	sub-7D-4/sub-7D-4_ses-20240928T165241_ecephys.nwb	sub-7D-5/sub-7D-5_ses-20240928T165048_ecephys.nwb	sub-7D-6/sub-7D-6_ses-20240928T165421_ecephys.nwb	sub-7D-7/sub-7D-7_ses-20240928T165241_ecephys.nwb	sub-8D-0/sub-8D-0_ses-20240928T165424_ecephys.nwb	sub-8D-1/sub-8D-1_ses-20240928T165423_ecephys.nwb	sub-8D-2/sub-8D-2_ses-20240928T165045_ecephys.nwb	sub-8D-3/sub-8D-3_ses-20240928T165422_ecephys.nwb	sub-8D-4/sub-8D-4_ses-20240928T165242_ecephys.nwb	sub-9E-0/sub-9E-0_ses-20240928T165047_ecephys.nwb	sub-9E-1/sub-9E-1_ses-20240928T165422_ecephys.nwb	sub-9E-2/sub-9E-2_ses-20240928T165423_ecephys.nwb	sub-9E-3/sub-9E-3_ses-20240928T165423_ecephys.nwb	sub-9E-4/sub-9E-4_ses-20240928T165422_ecephys.nwb	sub-9E-5/sub-9E-5_ses-20240928T165423_ecephys.nwb	sub-9E-6/sub-9E-6_ses-20240928T165422_ecephys.nwb	sub-9E-7/sub-9E-7_ses-20240928T165425_ecephys.nwb	sub-9E-8/sub-9E-8_ses-20240928T165424_ecephys.nwb
2024-12-16	4198257923	353832962	318474611	334470575	0	1276151214	294571568	0	0	320366896	0	239379234	103349828	0	0	150288297	0	0	0	0	97749002	0	0	0	0	0	0	0	0	0	0	323410704	6500573	0	0	0	20922055	0	78829499	0	0	0	0	0	0	0	0	0	0	644838465	407738315	470881554	665929174	509801671	457301502	0	0	462624088	442313882	638523039	28317239	988627422	584847211	354043668	666751528	354270784	410782399	0	0
2025-01-13	3872506104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-20	360157432	0	44639899	0	0	0	0	14608284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66506629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-27	563772506	115933636	156072581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232440775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-03	3872340166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3519715472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-10	885884692	1768928157	19914432	2637241128	4083102912	4242953960	4849769581	5066094847	1007188832	2284244655	0	748485844	95923793	3644906552	2508136263	1009286532	6308587650	4042090677	5273757290	0	262773096	11791440	295636434	0	0	757350239	759159085	1329281695	2235649843	3502122350	0	1888027450	1879800265	814226422	4580971231	2259636487	2531735881	571984812	0	3519715472	4412648174	0	2559372084	0	1144477706	1132975774	1037330957	0	3647944814	3614194709	0	0	0	932556685	0	3908908725	2691354472	27185820	2613356592	2983186529	2365440019	0	1916362825	0	1927700858	0	1971742023	3889473735	13822188
2025-02-17	7827216848	3537856314	5514811536	5251554456	4068167088	12869420408	4913945341	10119868010	3154640672	4568489310	8950073162	11820591712	4186034233	3614634688	5016272526	4877720862	6308587650	8025085970	10525241860	2179439801	6525462135	5156820056	3157977412	2270526399	1502792888	2272050717	1518318170	2658563390	12868350	3502122350	1861371153	1941471558	3759600530	1628452844	9161942462	4519272974	5066476872	1143969624	1767359415	7039430944	8757692092	4934092354	5118744168	2302576766	1144477706	2265951548	1037330957	7276596682	0	7205985682	2377699876	4778149662	2794462442	1865113370	924440660	3896003649	2666068384	2607929798	2592066492	2971460597	2365440019	3782124516	0	4843346678	3855401716	4826224386	1971742023	3874668927	7745690094
2025-02-24	32128435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116947771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-03	7612986943	2077051016	763815620	2136363524	8165595652	1049284526	4329829208	21891328	4322827924	2284244655	4306234672	2815239544	4186034233	931099648	2508136263	1498048062	736192840	2221155060	263955824	2098586008	61060624	130676712	1061005422	134265316	139174832	74445760	92169756	146242528	438031088	2959279458	425646492	452752468	871993512	103018000	574538012	2276654231	1024865576	328715180	1153637728	3234408620	2998834972	4308003388	0	1151288383	1144477706	1132975774	1037330957	2495984216	14174450	977053012	2089383240	65430415	435596540	932556685	0	897373780	2632642352	430818040	2619395048	66957312	88464472	1891062258	1916362825	800168072	264214272	0	208008408	769051772	0
2025-03-10	409600	0	0	0	0	0	0	0	409600	0	0	0	0	0	4061496	0	0	0	0	0	0	0	0	0	0	0	0	4127004	0	4061496	0	0	0	0	0	0	0	0	0	0	409600	0	0	0	0	0	0	0	0	0	0	0	0	409485	0	0	0	0	0	0	0	0	4389036	0	0	0	0	0	0
2025-03-17	12118980	0	0	0	12905076	10219248	14870316	13232616	12381012	0	10612296	0	9760692	0	0	11398392	10284756	11594916	13298124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11922456	0	0	0	0	0	8843580	13298124	0	0	0	0	0	0	0	0	0	0	0	0	0	11660424	0	0	0	0	0	0	0	0	0	0	0	11267376	10743312
2025-03-24	442351032	2639349477	2757405768	3643153500	4534166508	5392058656	0	5039495015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
