week_start	sub-1/sub-1_ses-1_ecephys+image.nwb	sub-1/sub-1_ses-1_ecephys.nwb	sub-10/sub-10_ses-10_ecephys+image.nwb	sub-10/sub-10_ses-10_ecephys.nwb	sub-11/sub-11_ses-11_ecephys+image.nwb	sub-11/sub-11_ses-11_ecephys.nwb	sub-12/sub-12_ses-12_ecephys+image.nwb	sub-12/sub-12_ses-12_ecephys.nwb	sub-13/sub-13_ses-13_ecephys+image.nwb	sub-13/sub-13_ses-13_ecephys.nwb	sub-14/sub-14_ses-14_ecephys+image.nwb	sub-14/sub-14_ses-14_ecephys.nwb	sub-15/sub-15_ses-15_ecephys+image.nwb	sub-15/sub-15_ses-15_ecephys.nwb	sub-16/sub-16_ses-16_ecephys+image.nwb	sub-16/sub-16_ses-16_ecephys.nwb	sub-17/sub-17_ses-17_ecephys+image.nwb	sub-17/sub-17_ses-17_ecephys.nwb	sub-18/sub-18_ses-18_ecephys+image.nwb	sub-18/sub-18_ses-18_ecephys.nwb	sub-19/sub-19_ses-19_ecephys+image.nwb	sub-19/sub-19_ses-19_ecephys.nwb	sub-2/sub-2_ses-2_ecephys+image.nwb	sub-2/sub-2_ses-2_ecephys.nwb	sub-3/sub-3_ses-3_ecephys+image.nwb	sub-3/sub-3_ses-3_ecephys.nwb	sub-4/sub-4_ses-4_ecephys+image.nwb	sub-4/sub-4_ses-4_ecephys.nwb	sub-5/sub-5_ses-5_ecephys+image.nwb	sub-5/sub-5_ses-5_ecephys.nwb	sub-6/sub-6_ses-6_ecephys+image.nwb	sub-6/sub-6_ses-6_ecephys.nwb	sub-7/sub-7_ses-7_ecephys+image.nwb	sub-7/sub-7_ses-7_ecephys.nwb	sub-8/sub-8_ses-8_ecephys+image.nwb	sub-8/sub-8_ses-8_ecephys.nwb	sub-9/sub-9_ses-9_ecephys+image.nwb	sub-9/sub-9_ses-9_ecephys.nwb
2022-02-14	30924048	0	0	0	1354356	0	4934586	0	4393710	0	0	0	4934364	0	2673412	0	8557212	0	3499052	0	3490602	0	5751472	0	4214462	0	4140346	0	1799431	0	2782236	0	4855160	0	2969624	0	4012046	0
2022-03-07	31396058	0	2912608	0	1354356	0	2467293	0	4393710	0	0	0	9868728	0	5346824	0	4278606	0	3499052	0	1745301	0	5751472	0	2107231	0	6210519	0	1799431	0	1391118	0	2427580	0	5939248	0	2006023	0
2022-04-11	159655010	0	1491186	0	1425266	0	2470892	0	2339024	0	2980650	0	5041466	0	2669794	0	292464	0	3560410	0	1829260	0	3019106	0	2329704	0	2065988	0	319696	0	367624	0	303136	0	2856062	0	2113056	0
2022-04-18	15462024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-05-02	5154008	0	0	0	0	0	0	0	0	0	0	0	0	0	2673412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-05-09	5154008	0	1456304	0	0	0	2467293	0	0	0	0	0	0	0	2673412	0	4278606	0	0	0	1745301	0	2875736	0	2107231	0	0	0	1799431	0	1391118	0	2427580	0	2969624	0	0	0
2022-05-16	5154008	0	1456304	0	0	0	2467293	0	4393710	0	2938344	0	0	0	248656	0	4278606	0	3499052	0	1745301	0	2875736	0	2107231	0	2070173	0	1799431	0	1391118	0	2427580	0	2969624	0	2006023	0
2022-06-13	5154008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-06-20	5154008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-06-27	15462024	0	2912608	0	1354356	0	2467293	0	2196855	0	0	0	14803092	0	0	0	8557212	0	0	0	3490602	0	5751472	0	4214462	0	4140346	0	3598862	0	1391118	0	2427580	0	2969624	0	2006023	0
2022-07-11	5154008	0	1456304	0	2708712	0	4934586	0	4393710	0	5876688	0	9868728	0	2673412	0	8557212	0	3499052	0	3490602	0	5751472	0	4214462	0	4140346	0	3598862	0	2782236	0	4855160	0	5939248	0	4012046	0
2022-07-18	5154008	0	0	0	1354356	0	0	0	0	0	0	0	0	0	2673412	0	0	0	0	0	0	0	2875736	0	2107231	0	4140346	0	0	0	0	0	0	0	0	0	0	0
2022-07-25	0	0	1456304	0	0	0	7401879	0	0	0	0	0	4934364	0	2673412	0	0	0	0	0	1745301	0	2875736	0	2107231	0	2070173	0	1799431	0	2782236	0	0	0	2969624	0	2006023	0
2022-08-01	5154008	0	1456304	0	32504544	0	0	0	2196855	0	0	0	0	0	0	0	0	0	3499052	0	5235903	0	0	0	0	0	2070173	0	0	0	27822360	0	0	0	2969624	0	0	0
2022-08-08	36078056	0	0	0	25732764	0	0	0	0	0	0	0	0	0	2673412	0	0	0	0	0	0	0	0	0	0	0	0	0	1799431	0	23649006	0	2427580	0	0	0	0	0
2022-08-15	396858616	0	0	0	12189204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15302298	0	0	0	0	0	0	0
2022-08-22	510246792	0	1456304	0	5417424	0	0	0	0	0	2938344	0	0	0	0	0	4278606	0	3499052	0	1745301	0	0	0	2107231	0	0	0	1799431	0	4173354	0	0	0	2969624	0	2006023	0
2022-08-29	427782664	0	18931952	0	2708712	0	4934586	0	6590565	0	5876688	0	14803092	0	16040472	0	8557212	0	10497156	0	3490602	0	2875736	0	4214462	0	2070173	0	1799431	0	11128944	0	2427580	0	2969624	0	0	0
2022-09-05	278316432	0	18931952	0	2708712	0	0	0	4393710	0	2938344	0	14803092	0	5346824	0	0	0	3499052	0	1745301	0	5751472	0	2107231	0	4140346	0	1799431	0	18084534	0	2427580	0	2969624	0	2006023	0
2022-09-12	242238376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-09-19	231930360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-09-26	288624448	0	0	0	1354356	0	2467293	0	2196855	0	0	0	4934364	0	0	0	4278606	0	0	0	1745301	0	2875736	0	2107231	0	2070173	0	1799431	0	0	0	2427580	0	2969624	0	2006023	0
2022-10-03	309240480	0	0	0	1354356	0	2467293	0	2196855	0	2938344	0	4934364	0	2673412	0	4278606	0	3499052	0	1745301	0	0	0	2107231	0	2070173	0	1799431	0	1391118	0	2427580	0	2969624	0	2006023	0
2022-10-10	314394488	0	0	0	0	0	2467293	0	2196855	0	2938344	0	4934364	0	2673412	0	4278606	0	3499052	0	0	0	2875736	0	2107231	0	2070173	0	1799431	0	1391118	0	0	0	2969624	0	2006023	0
2022-10-17	288624448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8280692	0	0	0	0	0	0	0	0	0	0	0
2022-10-24	242238376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-10-31	247392384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-11-07	257700400	0	1456304	0	1354356	0	2467293	0	2196855	0	2938344	0	4934364	0	2673412	0	4278606	0	3499052	0	1745301	0	2875736	0	2107231	0	2070173	0	1799431	0	1391118	0	2427580	0	2969624	0	2006023	0
2022-11-14	268008416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1391118	0	0	0	0	0	0	0
2022-11-21	288624448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-11-28	278316432	0	1456304	0	1354356	0	4934586	0	2196855	0	2938344	0	0	0	0	0	4278606	0	3499052	0	1745301	0	0	0	0	0	2070173	0	0	0	0	0	4855160	0	2969624	0	2006023	0
2022-12-05	128850200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-12-12	520554808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-12-19	855565328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-12-26	278316432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-01-02	329856512	0	1456304	0	1354356	0	0	0	2196855	0	0	0	4934364	0	2673412	0	4278606	0	0	0	0	0	2875736	0	2107231	0	2070173	0	1799431	0	2782236	0	0	0	2969624	0	2006023	0
2023-01-09	15462024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-01-16	5154008	0	1456304	0	1354356	0	0	0	2196855	0	2938344	0	4934364	0	0	0	4278606	0	3499052	0	1745301	0	2875736	0	2107231	0	2070173	0	1799431	0	1391118	0	2427580	0	2969624	0	2006023	0
2023-01-30	5154008	0	1456304	0	1354356	0	2467293	0	2196855	0	2938344	0	4934364	0	2673412	0	4278606	0	3499052	0	1745301	0	2875736	0	2107231	0	2070173	0	1799431	0	1391118	0	2427580	0	2969624	0	2006023	0
2023-02-13	30924048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-04-03	10308016	0	2912608	0	1354356	0	2467293	0	6590565	0	5876688	0	9868728	0	5346824	0	4278606	0	3499052	0	3490602	0	5751472	0	4214462	0	2070173	0	3598862	0	2782236	0	0	0	0	0	4012046	0
2023-04-10	5154008	0	2912608	0	0	0	0	0	2196855	0	8815032	0	0	0	0	0	4278606	0	6998104	0	0	0	2875736	0	0	0	2070173	0	0	0	1391118	0	0	0	0	0	2006023	0
2023-04-24	0	0	0	0	0	0	0	0	0	0	0	0	4934364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-05-08	5154008	0	1456304	0	1354356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1391118	0	0	0	0	0	0	0
2023-05-15	5154008	0	1456304	0	1354356	0	2467293	0	2196855	0	2938344	0	4934364	0	2673412	0	4278606	0	3499052	0	1745301	0	2875736	0	2107231	0	2070173	0	1799431	0	1391118	0	2427580	0	2969624	0	2006023	0
2023-05-22	41232064	0	7281520	0	9480492	0	17271051	0	15377985	0	20568408	0	34540548	0	15523844	0	38507454	0	20994312	0	13962408	0	20130152	0	14750617	0	14491211	0	7197724	0	9737826	0	21848220	0	23756992	0	14042161	0
2023-05-29	0	5145816	0	2964528	0	1351084	0	4927714	0	4387724	0	2979816	0	4927264	494112	2667796	0	8551982	0	3495881	0	1742029	0	2869600	0	2103815	0	2067525	0	1796607	0	1388774	0	2423318	0	2966992	0	1997159
2023-06-05	0	0	0	1813240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-12	15462024	5145816	2912608	2460168	4063068	0	4934586	0	4393710	0	8815032	0	14803092	0	8020236	0	8557212	0	6998104	0	5235903	0	5751472	0	6321693	0	4140346	0	5398293	0	4173354	0	2427580	0	8908872	0	6018069	0
2023-06-19	5154008	0	0	7087728	1354356	0	2467293	0	0	0	2938344	0	4934364	0	2673412	0	4278606	0	3499052	0	1745301	0	2875736	0	2107231	0	0	0	1799431	0	1391118	0	0	0	2969624	0	2006023	0
2023-06-26	0	5145816	1456304	11854584	1354356	2702168	0	0	2196855	2193862	2938344	2979816	0	4927264	0	0	4278606	0	3499052	3495881	1745301	1742029	2875736	0	0	2103815	0	2067525	0	1796607	1391118	0	0	2423318	2969624	2966992	2006023	1997159
