week_start	dataset_description.json
2026-03-02	2848
2026-03-09	1424
2026-03-16	712
2026-03-30	356
2026-04-20	712
2026-05-18	1068
2026-06-01	1068
2026-06-15	356
2026-06-22	712
2026-06-29	356
