date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2026-03-05	1068	3	3	0
2026-03-06	1780	5	4	1
2026-03-12	1424	4	4	0
2026-03-19	712	2	2	0
2026-04-02	356	1	1	0
2026-04-21	712	2	2	0
2026-05-18	712	2	2	0
2026-05-19	356	1	1	0
2026-06-01	712	2	2	0
2026-06-03	356	1	1	0
2026-06-15	356	1	1	0
2026-06-26	712	2	2	0
2026-06-29	356	1	1	0
2026-07-09	356	1	1	0
2026-07-28	712	2	2	0
