week_start	sub-30524-002/sub-30524-002_obj-167ukca_image.nwb	sub-30524-002/sub-30524-002_obj-8zwu48_image.nwb
2025-06-23	38969166259	49097923523
2025-06-30	535728604	0
2025-07-28	2097152	21290996
2025-08-18	77907748662	49079975233
2025-08-25	109754572	0
2025-09-01	0	49079975233
2025-09-29	226481664	0
2025-10-06	39108952279	0
2025-12-15	11725932	18407748
2025-12-22	38951548713	49079975233
2026-01-05	38951548713	0
2026-01-26	0	49079975233
2026-02-16	17048632	16531494
2026-02-23	13324925	9325614
2026-03-02	0	3795001
2026-03-16	16442508	0
2026-03-23	14628782	17013528
2026-03-30	4397312	4564545
2026-04-20	16180476	0
2026-05-18	14225485	0
2026-05-25	2252100	2930658
2026-06-01	1224312	1698745
2026-06-08	1981792	1092621
