region	bytes_sent	number_of_requests	number_of_downloads
US/California	1313587432	160	<50
CN/Shanghai	2955589564	360	<50
AWS/ap-southeast-1	323544012	<50	<50
US/Wyoming	5108156	<50	<50
undetermined	5189305560	160	100
CN/Shandong	3221321088	100	80
VPN	3062191960	400	200
GitHub	700226708	1180	160
US/Massachusetts	2051393952	<50	<50
AWS/us-east-1	2791343032	380	120
US/Georgia	3105183424	60	60
US/New York	466613484	60	60
MX/Mexico City	50231596	160	<50
missing	2855814692	320	80
TW/Taiwan	1052104992	<50	<50
US/Illinois	8642652	<50	<50
HK/Hong Kong	8581548	<50	<50
CH/Vaud	2633236	<50	<50
US/Virginia	6919520	<50	<50
ES/Catalonia	42776724	<50	<50
