week_start	sub-Godzilla/sub-Godzilla_ecephys.nwb
2024-06-17	241941708
2024-07-08	4429652
2024-07-22	6616308
2024-08-26	165256732
2024-09-02	756098748
2024-09-16	7508528
2024-10-07	100452436
2024-10-21	6616308
2024-12-02	165256732
2025-02-24	165256732
2025-08-04	165256732
2025-10-06	15475612
2025-12-15	510640512
2026-01-12	495770196
2026-02-16	11528776
2026-02-23	4781768
2026-03-16	14018712
2026-03-23	1768400
2026-04-20	28299456
2026-04-27	59153724
2026-05-11	165256732
2026-05-18	177048172
2026-05-25	1047812
2026-06-01	1309844
2026-06-08	32360636
2026-06-15	21683148
2026-06-22	6811884
2026-06-29	195979724
2026-07-06	6485292
2026-07-20	13756048
