week_start	sub-YinMPscMs1mm/ses-20230531h21m54s56/micr/sub-YinMPscMs1mm_ses-20230531h21m54s56_sample-ACERNADAPI_DAPI_stain-DAPI.tiff	sub-YinMPscMs1mm/ses-20230531h21m54s56/micr/sub-YinMPscMs1mm_ses-20230531h21m54s56_sample-ACERNAneun_NEUN_stain-NEUN.tiff	sub-YinMPscMs1mm/ses-20230531h21m54s56/micr/sub-YinMPscMs1mm_ses-20230531h21m54s56_sample-ACERNAvglut1_VGLUT1_stain-VGLUT1.tiff	sub-YinMPscMs1mm/ses-20230531h21m54s56/micr/sub-YinMPscMs1mm_ses-20230531h21m54s56_sample-ACERNAvglut2_VGLUT2_stain-VGLUT2.tiff	sub-YinMPscMs1mm/ses-20230601h01m54s54/micr/sub-YinMPscMs1mm_ses-20230601h01m54s54_sample-ACERNApdp1_PDP1_stain-PDP1.tiff	sub-YinMPscMs1mm/ses-20230602h12m46s00/micr/sub-YinMPscMs1mm_ses-20230602h12m46s00_sample-ACERNAcnp_CNP_stain-CNP.tiff	sub-YinMPscMs1mm/ses-20230602h12m46s00/micr/sub-YinMPscMs1mm_ses-20230602h12m46s00_sample-ACERNActgf_CTGF_stain-CTGF.tiff	sub-YinMPscMs1mm/ses-20230603h09m37s08/micr/sub-YinMPscMs1mm_ses-20230603h09m37s08_sample-ACERNAcar8_CAR8_stain-CAR8.tiff	sub-YinMPscMs1mm/ses-20230603h23m01s08/micr/sub-YinMPscMs1mm_ses-20230603h23m01s08_sample-ACERNAtox_TOX_stain-TOX.tiff	sub-YinMPscMs1mm/ses-20230604h07m06s16/micr/sub-YinMPscMs1mm_ses-20230604h07m06s16_sample-ACERNAhomer_HOMER1_stain-HOMER1.tiff	sub-YinMPscMs1mm/ses-20230604h11m09s34/micr/sub-YinMPscMs1mm_ses-20230604h11m09s34_sample-ACERNAslc6a1_SLC6A1_stain-SLC6A1.tiff	sub-YinMPscMs1mm/ses-20230605h21m25s56/micr/sub-YinMPscMs1mm_ses-20230605h21m25s56_sample-ACERNApolyA_POLYA_stain-POLYA.tiff	sub-YinMPscMs1mm/ses-20230608h21m39s10/micr/sub-YinMPscMs1mm_ses-20230608h21m39s10_sample-ACEProteinGFAP_GFAP_stain-GFAP.tiff	sub-YinMPscMs1mm/ses-20230608h21m39s10/micr/sub-YinMPscMs1mm_ses-20230608h21m39s10_sample-ACEProteinNeuN_NEUN_stain-NEUN.tiff	sub-YinMPscMs1mm/ses-20230609h03m36s04/micr/sub-YinMPscMs1mm_ses-20230609h03m36s04_sample-ACEProteinIba1_IBA1_stain-IBA1.tiff	sub-YinMPscMs1mm/ses-20230609h08m22s38/micr/sub-YinMPscMs1mm_ses-20230609h08m22s38_sample-ACEProteinTH_TH_stain-TH.tiff	sub-YinMPscMs1mm/ses-20230609h23m34s18/micr/sub-YinMPscMs1mm_ses-20230609h23m34s18_sample-ACEProteinMBP_MBP_stain-MBP.tiff	sub-YinMPscMs1mm/ses-20230609h23m34s18/micr/sub-YinMPscMs1mm_ses-20230609h23m34s18_sample-ACEProteinNBRN2_BRN2_stain-BRN2.tiff	sub-YinMPscMs1mm/ses-20230610h02m36s22/micr/sub-YinMPscMs1mm_ses-20230610h02m36s22_sample-ACEProteinVIM_VIM_stain-VIM.tiff	sub-YinMPscMs1mm/ses-20230610h05m38s48/micr/sub-YinMPscMs1mm_ses-20230610h05m38s48_sample-ACEProteinSMI_SMI_stain-SMI.tiff	sub-YinMPscMs1mm/ses-20230610h13m26s14/micr/sub-YinMPscMs1mm_ses-20230610h13m26s14_sample-ACEProteinNFM_NFM_stain-NFM.tiff	sub-YinMPscMs1mm/ses-20230610h19m40s46/micr/sub-YinMPscMs1mm_ses-20230610h19m40s46_sample-ACEProteinCalretinin_CALRETININ_stain-CALRETININ.tiff	sub-YinMPscMs1mm/ses-20230611h01m22s54/micr/sub-YinMPscMs1mm_ses-20230611h01m22s54_sample-ACEProteinMAP2_MAP2_stain-MAP2.tiff	sub-YinMPscMs1mm/ses-20230611h01m56s56/micr/sub-YinMPscMs1mm_ses-20230611h01m56s56_sample-ACEProteinSox10_SOX10_stain-SOX10.tiff	sub-YinMPscMs1mm/ses-20230611h22m30s24/micr/sub-YinMPscMs1mm_ses-20230611h22m30s24_sample-ACEProteinAQP4_AQP4_stain-AQP4.tiff
2025-12-22	0	513171308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	513107480	0	0
2025-12-29	0	0	0	0	0	513105827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-05	513445732	0	0	513171308	0	0	0	0	0	0	0	513105827	0	0	0	0	0	0	0	0	0	513107480	0	0	0
2026-01-12	0	1539513924	0	0	0	0	0	0	0	0	0	0	1368635876	0	0	0	0	0	0	0	0	1539322440	0	1450746072	1539319824
2026-01-19	0	0	0	0	0	1539317481	513105827	0	0	0	513105827	0	0	0	0	0	0	0	0	0	0	0	1357341572	0	0
2026-01-26	0	0	513171308	0	513105999	0	0	0	513105826	513105827	0	0	0	513106608	0	0	0	513106608	513106608	513106608	0	0	0	513106608	513106608
2026-02-02	0	0	0	0	0	0	0	513105827	0	0	0	0	0	0	513106608	513106608	513106608	0	0	0	513106608	0	0	0	0
2026-03-16	23255340	17752668	0	16114968	0	24631008	26203200	0	0	0	0	20045448	22731276	0	0	0	0	0	0	0	0	19979940	20307480	0	0
2026-03-23	0	0	0	0	0	59481264	60398376	0	0	0	0	0	0	0	0	17687160	0	56009340	0	0	35963892	0	0	0	0
2026-03-30	0	0	0	0	43628328	0	0	0	0	52013352	0	0	0	0	0	0	0	0	0	35439828	0	0	0	0	0
2026-04-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43562820	0	0	0	0	0	0
2026-04-13	513445732	513171308	513171308	513171308	513105999	513105827	513105827	513105827	513105826	513105827	513105827	513105827	513106608	513106608	513106608	513106608	513106608	513106608	513106608	513106608	513106608	513107480	513107480	513106608	513106608
2026-04-20	18342240	29740632	0	68390352	0	16704540	0	0	0	0	0	9826200	21028068	0	0	0	0	0	0	0	0	11136360	21945180	0	53716560
2026-04-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60725916	0	0
2026-05-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10612296	0
2026-05-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	491265004	0	0	0	0
2026-05-18	9957216	15787428	14149728	5306148	0	15132348	10284756	0	0	0	0	21683148	13298124	0	0	0	0	0	0	0	0	2947860	8319516	0	0
2026-06-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3209892	0	0	0	0	0	0	0	0
2026-06-08	1244652	0	0	0	0	0	0	0	0	0	0	0	20962560	0	17359620	39828864	0	0	0	0	0	0	0	0	0
2026-06-15	0	0	0	0	0	0	0	0	0	0	0	0	18473256	0	68390352	23386356	0	0	0	1048128	0	0	0	0	0
2026-06-22	1310160	4061496	0	2947860	0	4847592	0	0	0	0	0	3013368	3406416	0	0	0	0	0	0	8778072	0	0	2423796	0	0
2026-06-29	0	513171308	0	0	0	0	0	0	0	0	0	0	513106608	0	0	0	0	0	0	0	1113636	0	0	0	0
2026-07-06	2685828	2685828	0	2423796	0	2685828	0	0	0	0	0	4651068	3668448	0	0	1506684	0	0	0	0	0	0	2227272	0	0
2026-07-13	0	0	0	0	0	0	1113636	0	0	1375668	1048128	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-07-20	0	0	0	0	0	1441176	0	0	0	0	0	0	0	0	1965240	0	0	0	0	0	0	0	0	0	0
