week_start	Microscopy
2023-10-09	13062180503
2023-10-16	513106608
2023-10-23	513171308
2023-10-30	513445732
2024-02-05	513445732
2024-03-04	513105999
2024-03-11	520902060
2024-05-20	1026617040
2024-06-03	24762024
2024-06-17	3079171310
2024-07-08	7795452
2024-07-22	273233868
2024-08-19	12839568
2024-08-26	1484309852
2024-09-02	5194130957
2024-09-09	4789571566
2024-09-30	4127004
2024-10-07	96390940
2024-10-14	287207580
2024-10-21	180138836
2024-10-28	711595067
2024-11-11	104972488
2024-11-25	15852936
2024-12-02	2052894956
2025-02-24	513106608
2025-03-10	609038992
2025-07-21	513106608
2025-07-28	7228105773
2025-08-04	2565936955
2025-08-11	3078637567
2025-08-25	3078638867
2025-09-01	1539319043
2025-09-08	1539384524
2025-09-29	8119904
2025-12-08	513106608
2025-12-15	26003515074
2025-12-22	1026278788
2025-12-29	513105827
2026-01-05	2052830347
2026-01-12	7437538136
2026-01-19	3922870707
2026-01-26	5131128608
2026-02-02	2565532259
2026-03-16	191021328
2026-03-23	229540032
2026-03-30	131081508
2026-04-06	43562820
2026-04-13	12828194091
2026-04-20	250830132
2026-04-27	60725916
2026-05-04	10612296
2026-05-11	491265004
2026-05-18	116866272
2026-06-01	3209892
2026-06-08	79395696
2026-06-15	111298092
2026-06-22	30788760
2026-06-29	1027391552
2026-07-06	22534752
2026-07-13	3537432
2026-07-20	3406416
2026-07-27	48737952
2026-08-03	851604
2026-08-10	2227273
